"Metric","Value"
"Version","improved"
"Phase","pilot"
"Model","gpt-4o-mini-2024-07-18"
"Prompt version","Prompts_Improved_Final_V18_PilotCandidate"
"Prediction file","C:\Users\mayum\Desktop\SWT301\SWT301_SE1925_G6\Results\Improved\pilot_llm_output_improved.csv"
"Ground truth file","C:\Users\mayum\Desktop\SWT301\SWT301_SE1925_G6\Data\Improved\pilot_ground_truth_improved.csv"
"Total prediction rows","26"
"Valid JSON outputs","26"
"Valid label predictions","26"
"Ground truth cases","26"
"Matched cases","26"
"Evaluated cases","26"
"Missing predictions","0"
"Extra predictions","0"
"Invalid labels","0"
"Mismatches","0"
"Correct","26"
"Incorrect","0"
"Accuracy","1.0000"
"Cohen Kappa","1.0000"
"Kappa threshold","0.70"
"Threshold passed","True"
"Kappa band","Perfect agreement (Kappa = 1.00)"
"Kappa interpretation","Perfect agreement. This passes the minimum threshold, but it should be reviewed carefully for possible overfitting, data leakage, or overly specific rules before running the full evaluation."
"GT Executable -> LLM Executable","19"
"GT Executable -> LLM Non-Executable","0"
"GT Non-Executable -> LLM Executable","0"
"GT Non-Executable -> LLM Non-Executable","7"
"Total input tokens","129165"
"Total cached input tokens","0"
"Total output tokens","5902"
"Total tokens","135067"
"Total cost USD","0.02291595"
