"Issue Key","Summary","Type","Affects Version/s","Labels","Confirmation Status","Category","Resolution","Fix Version/s","Description","Steps to Reproduce","Observed Behavior","Expected Behavior","Environment"
"MC-298921","ctrl g","Bug","1.21.6","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","When attempting to hit the G key after the ctrl key is held down, minecraft does nothing with it. G used to be my drop key, but i have since rebound it to something else, and even rebound, if I hold ctrl and then attempt to click the G key, the G key doesn t register. Without ctrl held, the G key works as intended n n","1. Open Minecraft and enter a world in Creative mode or Survival mode.
2. Go to the Controls settings in the Options menu.
3. Rebind the ""Drop Item"" action to the G key if it is not already set.
4. Ensure that the Control key is functioning normally by testing it with other keys (e.g., Ctrl + A).
5. Hold down the Control key on your keyboard.
6. While holding the Control key, press the G key.
7. Observe that the G key does not register any action within the game.
8. Release the Control key and press the G key again to confirm that it functions normally without the Control key held down.","When the Ctrl key is held down, pressing the G key does not register any input within Minecraft, resulting in no action being performed. This issue persists regardless of whether the G key has been rebound to a different action from its default function as the drop key. Without the Ctrl key held down, the G key functions normally, allowing the player to execute its assigned action. This behavior indicates a possible conflict or oversight in the key mapping system when modifier keys (like Ctrl) are used in conjunction with other key inputs. The inability to use the G key while holding Ctrl could hinder players who rely on custom key bindings for efficient gameplay.","When the Ctrl key is held down, pressing the G key should result in the intended action associated with the G key, as configured in the game's key bindings. This means that if the G key has been rebound to a new function, that function should activate when Ctrl is held and G is pressed. Additionally, the G key should still function normally without any modifier keys held down, allowing players to utilize their custom key bindings effectively. This behavior aligns with the standard input handling in Minecraft, where modifier keys like Ctrl should not interfere with the registration of other keys.","Minecraft Java Edition Version 1.21.6"
"MC-299342","hyper potions lava chicken music doesn t play","Bug","1.21.7","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","i played the lava chicken music disc on a jukebox, it plays but there is no audio, all of the volumes in the Music amp; Sounds tab is all set to 100 , although, this ever happened with Amos Roddy - Tears but it got fixed in the 1.21.6 release, but this time, it didn t get fixed in the 1.21.7 release","1. Start Minecraft and create a new Creative world with default settings.
2. Obtain the ""Lava Chicken"" music disc from your inventory or by using the command `/give @p minecraft:music_disc_lava_chicken`.
3. Place a Jukebox on the ground by selecting it from your inventory and right-clicking on the ground.
4. Insert the ""Lava Chicken"" music disc into the Jukebox by right-clicking on the Jukebox while holding the disc.
5. Ensure that all volume settings in the Music & Sounds tab are set to 100% by navigating to Options > Music & Sounds.
6. Observe that the Jukebox appears to play the music disc (indicated by the spinning disc and note particles), but no audio is produced.
7. Test with other music discs, specifically the ""Amos Roddy - Tears"" disc, to verify that the issue is specific to the ""Lava Chicken"" disc.
8. Confirm that the issue persists after updating to version 1.21.7 and does not occur in version 1.21.6.","When the ""Lava Chicken"" music disc is played in a jukebox, the disc appears to play as indicated by the visual cue (note particles emitting from the top of the jukebox). However, no audio is produced, rendering the music track silent. This issue persists despite all audio settings in the Music & Sounds menu being set to 100%, confirming that the problem is not related to player volume settings. 

This bug is similar to a previous issue with the ""Amos Roddy - Tears"" music disc, which was resolved in version 1.21.6. However, the ""Lava Chicken"" music disc remains unresponsive in terms of audio output even after the 1.21.7 update, indicating that it has not been addressed in the latest release. 

To replicate the issue:
1. Obtain the ""Lava Chicken"" music disc.
2. Place a jukebox in the game world.
3. Insert the ""Lava Chicken"" music disc into the jukebox.
4. Observe that the jukebox indicates playback but produces no sound.

This behavior disrupts the intended experience of enjoying the music associated with the disc and requires attention for resolution.","None","Minecraft Java Edition Version 1.21.7"
"MC-299897","XP not increasing when using two Mending items one in main hand, one in offhand","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","When holding two items with the Mending enchantment one in the main hand (e.g. sword) and another in the offhand (e.g. pickaxe or shield) XP stops increasing completely. n n n nEven if both items are at full durability and should not receive XP, the game seems to still prioritize XP repair logic and ""gets stuck"". n n n nThe XP does not go to the Mending items (because they re full) nor to the player s XP bar. It seems the game assigns the XP to both tools and never lets go. n n n n Important notes: n n- The bug only triggers if the item used to attack (like a sword) has Mending. n n- After this, even removing the items doesn t fix XP gain it stays broken until you remove all Mending items from both hands and inventory. n n n n Reproduction Steps: n n1. Get two tools with Mending (e.g. sword and pickaxe). n n2. Hold sword in main hand and pickaxe in offhand. n n3. Kill mobs or collect XP orbs. n n4. XP does not go to player s XP bar. n n5. Remove tools XP still bugged unless all Mending items are gone. n n n n Theory: n nThe game prioritizes XP to both items. If both are full, it locks XP in a repair loop and blocks player progression. n n n nThis was tested in: n n- Minecraft Java Edition 1.21 n n- Vanilla (no mods) n n- Survival and Creative n n- New and old worlds n n n nPlease fix this XP is a vital mechanic and this bug can make worlds feel broken or corrupted. n n","1. Create a new Survival world with default settings.
2. Obtain two items with the Mending enchantment, such as a diamond sword and a diamond pickaxe.
3. Equip the diamond sword in your main hand and the diamond pickaxe in your offhand.
4. Engage in combat by attacking mobs, or collect XP orbs from any source (e.g., killing mobs, mining ores).
5. Observe that the experience points do not increase in the player's XP bar.
6. Remove both the diamond sword and diamond pickaxe from your hands.
7. Check the XP bar again; note that it still does not increase unless all items with Mending in your inventory are removed.
8. Confirm that the bug persists regardless of the player's actions or the environment, until all Mending items are completely removed from both hands and the inventory.","When holding two items with the Mending enchantment—one in the main hand (e.g., a sword) and one in the offhand (e.g., a pickaxe or shield)—the experience points (XP) collected from defeating mobs or picking up XP orbs do not increase the player’s XP bar at all. Instead, the XP appears to be ""locked"" in a repair loop, as the game prioritizes the Mending mechanics for both items simultaneously. 

Specifically:
- If both items are at full durability, they should not receive any XP for repairs, yet the XP collected during gameplay does not go to the player’s XP bar or to either Mending item. 
- The game seems to allocate the XP to both Mending items, but since they are already full, it effectively results in a deadlock where no XP is processed or added to the player’s experience.
- This issue persists even after removing the Mending items from the main hand and offhand; the XP gain remains broken until all Mending items are cleared from both hands and the player’s inventory.

This behavior is specific to scenarios where the item in the main hand has the Mending enchantment. If the Mending item is removed, XP collection resumes normally. The issue can be replicated in both Survival and Creative modes, across new and existing worlds, indicating it is a consistent bug within the game mechanics related to Mending. 

This bug disrupts the core gameplay experience by preventing players from progressing through XP accumulation, which is essential for enchanting and repairing items.","When holding two items with the Mending enchantment, one in the main hand and one in the offhand, the expected behavior is that experience orbs collected should first repair the items as intended, but once both items are at full durability, any additional experience should be added to the player's XP bar. The game should not enter a state where XP collection is halted; instead, it should allow the player to continue gaining experience normally. If the main hand item is used to attack or collect XP, it should prioritize repairing that item first until it is at full durability, at which point the experience should transfer to the player’s XP bar. Additionally, removing the Mending items should restore normal XP gain functionality immediately, allowing the player to progress without needing to clear all Mending items from their inventory. This behavior aligns with the mechanics of the Mending enchantment, which is designed to utilize experience for item repair without hindering player progression.","Minecraft Java Edition Version 1.21.8"
"MC-299632","NBT ""ArmorItems"" and ""HandItems""(maybe there are some other NBT) can t be used normally.","Bug","1.21.7","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","Sorry,I wrong. n n","1. Create a new Java Edition Creative world with default settings.
2. Open the chat and enter the command '/give @p minecraft:diamond_sword{Enchantments:[{id:""minecraft:sharpness"",lvl:5}]}' to give yourself a diamond sword with an enchantment.
3. Enter the command '/give @p minecraft:diamond_helmet{Enchantments:[{id:""minecraft:protection"",lvl:4}]}' to give yourself a diamond helmet with an enchantment.
4. Open your inventory and confirm that the diamond sword and diamond helmet appear with their respective enchantments.
5. Use the command '/data get entity @p' to view the NBT data of your player.
6. Look for the ""ArmorItems"" and ""HandItems"" sections in the NBT data output.
7. Attempt to modify the ""ArmorItems"" by entering the command '/data modify entity @p ArmorItems set value [{""id"":""minecraft:diamond_helmet"",""Count"":1,""tag"":{""Enchantments"":[{""id"":""minecraft:protection"",""lvl"":4}]}}]' and observe if it applies correctly.
8. Attempt to modify the ""HandItems"" by entering the command '/data modify entity @p HandItems set value [{""id"":""minecraft:diamond_sword"",""Count"":1,""tag"":{""Enchantments"":[{""id"":""minecraft:sharpness"",""lvl"":5}]}}]' and observe if it applies correctly.
9. Check if the modified items display correctly in your inventory and if the NBT data reflects the changes made.
10. Repeat steps 7-9 with different items to verify if the issue persists across various NBT items.","The issue pertains to the NBT tags ""ArmorItems"" and ""HandItems"" within the player.dat file and potentially other related NBT tags. When attempting to utilize or modify these NBT tags, the expected functionality does not occur. 

1. **ArmorItems**: 
   - The ""ArmorItems"" tag is supposed to store the armor pieces equipped by the player in a list format. However, when trying to access or modify this tag, it fails to reflect the changes in the player's armor status. For instance, if a player attempts to equip a piece of armor using commands that modify this NBT data, the armor does not appear on the player or does not provide the expected protection values.

2. **HandItems**: 
   - Similarly, the ""HandItems"" tag, which holds the items currently being held by the player (in their main and off-hand), is also malfunctioning. Items that are supposed to be equipped or held do not show up in the player's hand, and commands meant to change the held items do not execute as intended. For example, using commands to replace an item in the hand does not result in the item being visually or functionally present in the player's hand.

3. **Potential Additional Tags**: 
   - There may be other related NBT tags that are affected, such as ""HandDropChances"" and ""ArmorDropChances,"" which control the likelihood of items being dropped under certain conditions. If these tags are not functioning correctly, it could lead to unexpected behavior when items are dropped or when the player dies.

Overall, the failure of these NBT tags to operate correctly disrupts gameplay by preventing players from equipping armor and holding items as intended, thereby impacting player experience and game mechanics.","When accessing the ""ArmorItems"" and ""HandItems"" NBT tags in a player's data, the expected behavior is that these tags should accurately represent the items equipped by the player. Specifically, when a player loads their data, the ""ArmorItems"" tag should contain a list of items currently worn in the armor slots, and the ""HandItems"" tag should reflect the items held in the player's hands. Each item should be properly formatted according to the NBT structure, including relevant properties such as durability and enchantments. Additionally, players should be able to manipulate these items through in-game mechanics, such as equipping, unequipping, or using items, without any errors or inconsistencies arising from the data. If the tags are functioning correctly, any changes made in-game to the player's equipped items should be accurately saved and reflected in the NBT data upon next loading.","Minecraft Java Edition Version 1.21.7"
"MC-299966","Dinnerbone doesn t affect happy ghasts","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","I cant dinnerbone my happy ghast n n","1. Create a new Creative world with default settings.
2. Obtain a name tag from the inventory.
3. Name the name tag ""Dinnerbone"".
4. Summon a Happy Ghast using the command `/summon happy_ghast ~ ~ ~`.
5. Attempt to use the name tag on the summoned Happy Ghast to apply the Dinnerbone effect.
6. Observe the behavior of the Happy Ghast to confirm it does not flip upside down.","When a player names a Happy Ghast using a name tag with ""Dinnerbone,"" the expected behavior of the mob flipping upside down does not occur. Instead, the Happy Ghast remains in its normal orientation, flying right-side up. This issue persists regardless of whether the Happy Ghast is equipped with a Harness or not. 

**Steps to Reproduce:**
1. Obtain a name tag and rename it to ""Dinnerbone.""
2. Approach a Happy Ghast and use the name tag on it.
3. Observe that the Happy Ghast does not flip upside down as other mobs do when named ""Dinnerbone.""

**Expected Behavior:**
Upon naming the Happy Ghast ""Dinnerbone,"" it should flip upside down, similar to other mobs in the game, maintaining its original flying behavior while being displayed in an inverted position. 

This bug affects the visual representation of the Happy Ghast, as players expect all mobs to respond consistently to the ""Dinnerbone"" name tag mechanic.","When a player names a Happy Ghast using a name tag with the name ""Dinnerbone,"" the Happy Ghast should flip upside down, similar to how other mobs behave when named with this tag. This behavior is consistent with the mechanics established in Minecraft, where naming any mob ""Dinnerbone"" or ""Grumm"" results in the mob rendering upside down without altering its functionality or interactions. The Happy Ghast should maintain its ability to carry players and fly normally while being displayed in this inverted position.","Minecraft Java Edition Version 1.21.8"
"MC-300025","Interactions can t be interacted","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","1. summon interaction n n n2. Right click to this interaction n n n3. data get entity e[type interaction, limit 1, sort nearest] n n n4. There is not a NBT interaction n n n n n n","1. Create a new Creative world with default settings.
2. Open the chat and enter the command `/summon interaction ~ ~ ~` to summon an interaction entity at your current location.
3. Position your character close to the interaction entity.
4. Right-click on the interaction entity to attempt to interact with it.
5. Open the chat again and enter the command `/data get entity @e[type=interaction,limit=1,sort=nearest]` to retrieve the NBT data of the nearest interaction entity.
6. Observe that the NBT data does not contain any interaction-related information.","When an interaction entity is summoned using the command `/summon interaction <x> <y> <z>`, it is expected to register player interactions (both left-click and right-click) and store the UUID of the last player to interact with it. However, the following issues occur:

1. **No Interaction Recognition**: Right-clicking the interaction entity does not trigger any expected behavior, such as playing a sound or registering the interaction. The entity does not respond to player interactions at all, effectively making it non-functional.

2. **Data Retrieval Failure**: When attempting to retrieve data from the interaction entity using the command `data get entity e[type=interaction, limit=1, sort=nearest]`, the expected NBT data (specifically the UUID of the last player to interact and the timestamp of the interaction) is not present. This indicates that the entity is not recording any interaction data.

3. **Absence of NBT Tags**: The interaction entity lacks the necessary NBT tags that should normally be present after a player interacts with it. Specifically, the `player` and `timestamp` fields are missing, which are crucial for tracking interactions.

This behavior suggests a bug in the interaction entity's functionality, as it fails to behave as documented and expected within the game mechanics.","When an interaction entity is summoned using the command, it should be interactable by players. Specifically, when a player right-clicks on the interaction entity, the UUID of the player who interacted with it should be recorded, along with a timestamp of the interaction. Additionally, executing the command to retrieve the entity's data should return the expected NBT data, including the player's UUID and the timestamp, confirming that the interaction has been properly logged. If the interaction entity has the response property set to true, a punching sound should play upon left-clicking, and the player's arm should swing when right-clicking, indicating that the interaction is functioning as intended.","Minecraft Java Edition Version 1.21.8"
"MC-300388","mobs in spawners that spawn in water will only spawn in natural water","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","make a big box and fill it with water source blocks and put a spawner in the box then place a egg in the spawner that would need water to spawn if in the mob spawner n ni expected the mobs to spawn in the water n nsome of the mobs that need water to spawn from mob spawners will only spawn in naturally generated water but will not spawn in artificial water ex: axolotl, squid, tropical fish, cod but others ex: elder guardian, tadpole when placed in a mob spawner and in the water source box spawned in the artificial water n ni tried this in a superflat default world and a creative world in the lukewarm ocean and ice spikes biome n n","1. Create a new Creative world with default settings.
2. Build a large box (at least 10x10x5 blocks) using any solid block, ensuring there are no gaps.
3. Fill the entire box with water source blocks, ensuring the water is at the same level throughout the box.
4. Place a monster spawner block inside the water-filled box.
5. Obtain a spawn egg for a water-dependent mob, such as an axolotl, squid, tropical fish, or cod.
6. Right-click the spawner with the spawn egg to set it to spawn the chosen water mob.
7. Wait for the spawner to activate and observe the spawning behavior of the mob.
8. Note that the water mobs do not spawn in the artificial water created in the box, while other mobs like elder guardians or tadpoles spawn correctly if placed in the same spawner. 
9. Repeat steps 1-8 in a Superflat world and in biomes such as the lukewarm ocean and ice spikes to confirm the issue persists across different environments.","When a mob spawner is placed within an artificial water source block environment, certain aquatic mobs that are designed to spawn in water do not spawn as expected. Specifically, mobs such as axolotls, squids, tropical fish, and cod fail to spawn in artificially created water (e.g., water-filled boxes made from water source blocks). In contrast, other aquatic mobs such as elder guardians and tadpoles successfully spawn in the same artificial water setup.

To reproduce this behavior, a player can create a large box filled with water source blocks and place a mob spawner inside. After inserting the corresponding spawn eggs for the aquatic mobs that require water to spawn, it is observed that the aforementioned mobs do not appear. This issue persists in various game environments, including a superflat default world and creative mode in biomes such as the lukewarm ocean and ice spikes biome.

Key observations include:
- Aquatic mobs that require water to spawn (e.g., axolotls, squids, tropical fish, cod) only spawn in naturally generated water bodies.
- Other aquatic mobs (e.g., elder guardians, tadpoles) can spawn in artificial water created by the player.
- This behavior has been tested across different worlds and biomes, confirming the inconsistency in spawning mechanics for different aquatic mobs. 

The discrepancy in spawning conditions between natural and artificial water sources for these aquatic mobs needs to be addressed to ensure consistent gameplay mechanics.","When a mob spawner is placed in an artificial body of water created by the player, it should spawn aquatic mobs that require water, such as axolotls, squids, tropical fish, and cod, regardless of whether the water is natural or artificially created. The expected behavior is that all aquatic mobs compatible with the spawner should appear in the water, as long as the spawning conditions are met, similar to how other mobs spawn in their respective environments. This includes complying with the necessary water block requirements for each specific mob type. Additionally, mobs like elder guardians and tadpoles should also spawn in the artificial water if they are placed in the spawner, reflecting the intended functionality of mob spawners in Minecraft.","Minecraft Java Edition Version 1.21.8"
"MC-300395","Corrupted blocks","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","My game world has been corrupted, and large blocks have been moved around, disrupting my builds. n nI already sent a debug request at the beginning of the month, but I haven t heard back since they asked for debug file, so I enclose again, along with screenshots. I will attach debug folder contents. n nI would like this resolved, please. It took a long time to build, and it s seriously damaged. Thank you! n n","1. Launch Minecraft and select the affected world from the single-player menu.
2. Ensure that you are in Creative mode to easily navigate and observe the corrupted blocks.
3. Navigate to the area where you have noticed the block corruption, specifically areas with significant builds or structures.
4. Observe the blocks that appear to be misplaced or corrupted, noting their original locations and the extent of the disruption.
5. Take screenshots of the corrupted blocks and their surroundings for documentation.
6. Exit the world and re-enter it to see if the corruption persists after reloading.
7. If the corruption remains, document any additional changes in block positions or new corrupted areas.
8. Gather the debug files from the world save folder, ensuring all relevant files are included for analysis.
9. Submit a bug report with the attached screenshots and debug files, detailing the steps taken and the observations made.","The game world has experienced significant corruption, resulting in large sections of blocks being displaced from their original positions. This has led to extensive disruption of my builds, including misaligned structures and floating blocks that were once part of solid constructions. The corruption appears to have affected various block types, including but not limited to, stone, wood, and decorative blocks, causing them to shift unexpectedly. 

Upon reloading the world, I noticed that these corrupted blocks do not return to their intended locations, and some areas are left with incomplete or missing structures. The overall integrity of my builds has been severely compromised, affecting both aesthetics and functionality. 

I have previously submitted a debug request, and I am resending the debug files along with screenshots that illustrate the extent of the corruption. The debug folder contents include logs and error reports that may provide further insight into the issue. 

This situation is critical as it has rendered my hard work nearly unplayable, and I would appreciate any assistance in resolving this corruption issue. Thank you for your attention to this matter.","When loading a game world, all blocks should remain in their intended positions, and no blocks should be corrupted or displaced. The game should accurately render the player's builds without any graphical glitches or unexpected block behavior. If a world experiences corruption, the game should provide a mechanism to recover the world or revert to the last stable state, ensuring that players do not lose their progress or builds. Players should also be able to revisit corrupted areas to trigger repairs, as per the mechanics outlined in the game documentation. In cases of severe corruption, the game should not crash or freeze, and players should be able to continue playing without significant disruptions to their gameplay experience.","Minecraft Java Edition Version 1.21.8"
"MC-300408","Copper Golem memory does not register checked blocks in a proper order","Bug","25w31a; 25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","1. Setup a line with 10 chests with any item n n n2. Take notice of the coordinates of each chest n n n3. Place a copper chest with an item that is not contained in any other chest n n n4. Take notice of the order in which the golem open the chests n n n5. Wait for the golem to open the last chest, then immediatly use tick freeze n n n6. Use data get command to access the checked blocks list in the golem s memory n n n7. Compare the coordinates of the blocks in the list and the order observed in step 4 n n n n n nExpected Result: the order of the list in the golem s memory would be the same as the order in which it opend the chests. n nActual Result: the order os the list in the golem memories does not correspond to the order in which the chests were opend. n n n n","1. Create a new Creative world with default settings.
2. Place 10 standard chests in a straight line, ensuring they are adjacent to one another.
3. Fill each chest with a different item, noting the coordinates of each chest (e.g., Chest 1 at x, y, z).
4. Place a copper golem nearby.
5. Place a copper chest with an item that is not contained in any of the 10 chests.
6. Observe the order in which the copper golem opens the chests, taking note of the sequence.
7. Wait for the copper golem to open the last chest in the sequence.
8. Immediately after the golem opens the last chest, use the command '/gamerule randomTickSpeed 0' to freeze the game ticks.
9. Use the command '/data get entity @e[type=minecraft:copper_golem,limit=1] Memory' to access the checked blocks list in the golem's memory.
10. Compare the coordinates in the checked blocks list with the order observed in step 6 to check for discrepancies.","Upon executing the steps outlined in the bug report, the Copper Golem exhibits unexpected behavior regarding its memory of the checked blocks. Specifically, after the Copper Golem has opened all 10 chests in the setup, the order of the chest openings as observed does not match the order of the coordinates stored in the golem's memory.

1. **Observation of Opening Order**: The player notes the sequence in which the Copper Golem opens the chests, which is expected to be a linear progression from the first to the last chest based on their arrangement.

2. **Memory Retrieval**: After freezing the game tick and accessing the golem's memory using the `/data get` command, the player retrieves the list of checked blocks.

3. **Comparison of Orders**: Upon comparing the order of the coordinates from the golem's memory with the observed order from the chest openings, discrepancies are found. The coordinates in the memory do not reflect the same sequence as the order in which the chests were opened by the golem.

4. **Specific Findings**: The actual order of coordinates in the golem's memory may appear randomized or grouped in a manner that does not correspond to the logical progression of the chest openings. This indicates a potential issue in how the Copper Golem's memory registers and stores the sequence of checked blocks, leading to confusion in behavior expectations.

This inconsistency suggests a bug in the Copper Golem's algorithm for processing and remembering the order of interacted blocks, which could affect its functionality in gameplay scenarios where precise memory of interactions is crucial.","When the Copper Golem interacts with a series of chests, it should sequentially open each chest in the order they were placed, starting from the first to the last. The expected behavior is that the order of chests opened will be accurately reflected in the Copper Golem's memory as a list of checked blocks. Specifically, when using the data get command to access the Golem's memory, the coordinates of the checked blocks should match the order in which the chests were opened, confirming that the Golem registers interactions in a linear and predictable manner. This functionality aligns with Minecraft's mechanics for entity interactions, ensuring that entities maintain a consistent and logical record of their actions.","Minecraft Java Edition Versions: 25w31a, 25w32a (includes snapshots)"
"MC-300473","when an invisible item frame is given to the player using commands, then the game gets updated to a newer version, the game crashes.","Bug","25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","i made a invisible item frame using commands. it was in my inventory and when placed, seemed invisible. The item frame worked like a normal item frame. for some reason though, when i updated to the new snapshot (25w31a) clicking the item frame to put in my inventory crashed my game. i tried using a hotbar indicator, which worked. I could not fix the chest problem though.(this works in shulkers as well. n n n n","1. Create a new Creative world with default settings.
2. Open the chat and enter the command to give yourself an invisible item frame: `/give @p minecraft:item_frame{Invisible:1}`.
3. Verify that the invisible item frame is now in your inventory.
4. Place the invisible item frame in the world by selecting it from your inventory and right-clicking on the ground.
5. Confirm that the item frame appears invisible but functions normally by placing an item inside it.
6. Save and exit the world.
7. Update the game to the newer snapshot version (25w31a).
8. Re-enter the world containing the invisible item frame.
9. Attempt to click on the invisible item frame to pick it up and put it back into your inventory.
10. Observe that the game crashes upon attempting to pick up the invisible item frame.","When an invisible item frame is created using commands and placed in the inventory, it functions as a normal item frame but remains visually invisible. Upon updating the game to the snapshot version 25w31a, attempting to interact with this invisible item frame by clicking on it to retrieve it from the inventory results in a game crash. 

Additional testing revealed that the issue is not isolated to item frames; it also occurs with shulker boxes containing items. While using a hotbar indicator allows players to interact with the item frame without crashing, there is no known workaround for the crash when attempting to retrieve the item frame directly from the inventory. This behavior has been consistently reproducible and suggests a potential bug in the game's handling of invisible item frames after version updates. 

**Steps to Reproduce:**
1. Use commands to create an invisible item frame.
2. Place the invisible item frame in the player's inventory.
3. Update the game to snapshot version 25w31a.
4. Click on the invisible item frame in the inventory to attempt to retrieve it.

**Expected Behavior:**
The player should be able to retrieve the invisible item frame from their inventory without causing the game to crash. 

**Additional Context:**
- The crash occurs specifically when clicking on the invisible item frame in the inventory.
- The issue also manifests with shulker boxes that have been similarly created or manipulated.
- Players can still interact with the item frame using hotbar indicators without crashing, indicating that the issue is related to direct interactions with the inventory.","When a player is given an invisible item frame using commands, the expected behavior is that the item frame should function normally without causing any crashes, regardless of the game version. The player should be able to place the invisible item frame in the world, interact with it, and store items within it without issues. Upon updating to a newer version, such as snapshot 25w31a, the game should retain compatibility with the invisible item frame, allowing the player to retrieve it from their inventory without experiencing a crash. The mechanics of item frames, including their visibility and functionality, should operate as documented, ensuring a stable gaming experience.","Minecraft Java Edition Version 25w31a (snapshot)"
