"BUG-ID","S2R Label","S2R Irrep Category","Reason","OB Category","OB Label","Reason_2","EB Category","EB Label","Reason_3"
"MC-298921 Improved","Executable","","","Present","Sufficient","","Present","Inaccurate","CTRL + G and G are different commands can result in different actions in some cases"
"MC-299342 Improved","Executable","","Good Improvement to reproduce the bug","Present","Sufficient","","Present","Accurate",""
"MC-299897 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-299632 Improved","Non-Executable","Wrong Information","There is no command in 1.21.7 as'/give @p minecraft:diamond_sword{Enchantments:[{id:""minecraft:sharpness"",lvl:5}]}","Present","Insufficient","with no information provided, LLM tried to guess the bug, which is a hallucination","Present","Accurate","LLM explained the items user stated in the summary which is a sufficient behavior when no information for the bug provided by user in default"
"MC-299966 Improved","Executable","","","Present","Insufficient","LLM gives extra misleading details in OB ""This issue persists regardless of whether the Happy Ghast is equipped with a Harness or not""","Present","Accurate",""
"MC-300025 Improved","Executable","","","Present","Insufficient","LLM gives extra misleading details particulary about UUID not present","Present","Accurate",""
"MC-300388 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300395 Improved","Executable","","","Present","Insufficient","LLM created an extra assumption making the bug harder to understand ""The corruption appears to have affected various block types, including but not limited to, stone, wood, and decorative blocks, causing them to shift unexpectedly.""    those items are not specified in raw version","Present","Accurate",""
"MC-300408 Improved","Non-Executable","Ambiguous Information","Chest positioning is not specified, starting line with combination or separate. Ambiguity exist","Present","Sufficient","","Present","Accurate",""
"MC-300473 Improved","Non-Executable","Wrong Information","Wrong Command /give @p minecraft:item_frame{Invisible:1}","Present","Insufficient","Gave extra redundant information in OB","Present","Accurate",""
"MC-300497 Improved","Executable","","","Present","Insufficient","Lots of assumptions made by the LLM, causing bug scope alters","Present","Accurate",""
"MC-300519 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300524 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300526 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300529 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300535 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300546 Improved","Executable","","","Present","Sufficient","","Present","Inaccurate","Patrol captains are not equipped with a banner and dont drop one. They drop an Ominous Bottle instead."
"MC-300574 Improved","Executable","","","Present","Insufficient","Lots of extra information added which may cause ambugiuity","Present","Accurate",""
"MC-300599 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300602 Improved","Executable","","","Present","Sufficient","","Not Present","",""
"MC-300611 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300612 Improved","Non-Executable","Missing Information","Missing step related to observing the mobs without an attack movement occur","Present","Sufficient","","Present","Accurate",""
"MC-300614 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300618 Improved","Executable","","","Present","Insufficient","Assumed only 1 level left c","Present","Accurate",""
"MC-300647 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300649 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300659 Improved","Non-Executable","Missing Information","The game is missing from where it was purchased.","Present","Insufficient","The game is missing from where it was purchased.","Present","Inaccurate","The game is missing from where it was purchased."
"MC-300683 Improved","Non-Executable","Wrong Information","When UI is opened, it is impossible to click on block","Present","Insufficient","Game mechanical issue leading extra assumtion.","Present","Inaccurate","Mechanical issue exists. We can not click"
"MC-300715 Improved","Executable","","Minor miss information about going to the end dimension.","Present","Sufficient","Assume photo exist","Present","Accurate",""
"MC-300731 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300736 Improved","Non-Executable","Wrong Information","Survival mode default summon command will not work","Present","Sufficient","","Present","Accurate",""
"MC-300760 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300761 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300789 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300792 Improved","Executable","","","Present","Sufficient","","Present","Accurate","Look Non minecraft"
"MC-300793 Improved","Executable","","","Present","Insufficient","Does not tell anything about overworld which is misleading","Present","Accurate",""
"MC-300807 Improved","Non-Executable","Wrong Information","LLM tried to specify the data generator but forgot to use --report command before starting the server","Present","Insufficient","Underscore assumption not correct","Present","Inaccurate","Underscore assumption not correct"
"MC-300815 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300843 Improved","Non-Executable","Wrong Information","creative world with default setting does not support multiplayer","Present","Sufficient","","Present","Accurate",""
