"issue_key","s2r_label","reason","s2r_reproducibility","s2r_validity","s2r_failure_type","s2r_reason","expected_behavior_presence","expected_behavior_quality","expected_behavior_reason","observed_behavior_presence","observed_behavior_quality","observed_behavior_reason","overall_reason","status","model","prompt_version","seed","system_fingerprint","input_tokens","cached_input_tokens","output_tokens","total_tokens","cost_usd","timestamp","raw_response"
"MC-298921","Non-Executable","The report does not specify the current keybinding for G after it was rebound, which is critical to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","The report does not specify the current keybinding for G after it was rebound, which is critical to reproduce the issue.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior is when pressing G with Ctrl held.","Present","Sufficient","The report describes that pressing G with Ctrl held does not register, which is clear enough to understand.","The report lacks critical information about the keybinding state and expected behavior, making it non-executable despite a clear observed behavior.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V11_DevelopmentTuned","210","fp_3be5422b9d","2938","2816","220","3158","0.00036150","2026-07-11T19:13:26","{
  ""issue_key"": ""MC-298921"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The report does not specify the current keybinding for G after it was rebound, which is critical to reproduce the issue.""
  },
  ""expected_behavior"": {
    ""presence"": ""Not Present"",
    ""quality"": ""Not Applicable"",
    ""reason"": ""The report does not explicitly state what the expected behavior is when pressing G with Ctrl held.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The report describes that pressing G with Ctrl held does not register, which is clear enough to understand.""
  },
  ""overall_reason"": ""The report lacks critical information about the keybinding state and expected behavior, making it non-executable despite a clear observed behavior.""
}"
"MC-299342","Non-Executable","The report does not specify how the music was started or if any specific conditions were met before playing the disc, which are critical for reproducing the issue.","Irreproducible","Not Applicable","Missing Information","The report does not specify how the music was started or if any specific conditions were met before playing the disc, which are critical for reproducing the issue.","Present","Accurate","The expected behavior of the music disc playing audio is clearly stated.","Present","Sufficient","The report describes the observed behavior of the music disc playing without audio, which is clear enough to understand.","While the expected and observed behaviors are clear, the lack of critical setup information makes the report non-executable.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V11_DevelopmentTuned","210","fp_3be5422b9d","2954","0","219","3173","0.00057450","2026-07-11T19:13:38","{
  ""issue_key"": ""MC-299342"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The report does not specify how the music was started or if any specific conditions were met before playing the disc, which are critical for reproducing the issue.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior of the music disc playing audio is clearly stated.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The report describes the observed behavior of the music disc playing without audio, which is clear enough to understand.""
  },
  ""overall_reason"": ""While the expected and observed behaviors are clear, the lack of critical setup information makes the report non-executable.""
}"
"MC-299897","Executable","The report provides a clear description of the actions needed to reproduce the bug, including the specific items and actions involved.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the actions needed to reproduce the bug, including the specific items and actions involved.","Present","Accurate","The expected behavior of XP increasing when using Mending items is clearly stated.","Present","Sufficient","The observed behavior of XP not increasing is clearly described and aligns with the reported issue.","The report effectively outlines the steps to reproduce the bug, the expected behavior, and the observed behavior, making it actionable for further investigation.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V11_DevelopmentTuned","210","fp_3be5422b9d","3258","0","210","3468","0.00061470","2026-07-11T19:13:42","{
  ""issue_key"": ""MC-299897"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The report provides a clear description of the actions needed to reproduce the bug, including the specific items and actions involved.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior of XP increasing when using Mending items is clearly stated.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior of XP not increasing is clearly described and aligns with the reported issue.""
  },
  ""overall_reason"": ""The report effectively outlines the steps to reproduce the bug, the expected behavior, and the observed behavior, making it actionable for further investigation.""
}"
"MC-299632","Non-Executable","The report does not provide a clear action or setup to trigger the issue with 'ArmorItems' and 'HandItems'.","Irreproducible","Not Applicable","Missing Information","The report does not provide a clear action or setup to trigger the issue with 'ArmorItems' and 'HandItems'.","Not Present","Not Applicable","No expected behavior is explicitly stated in the report.","Not Present","Not Applicable","No observed behavior is described in the report.","The report lacks sufficient detail to understand how to reproduce the bug, as well as any expected or observed behaviors.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V11_DevelopmentTuned","210","fp_3be5422b9d","2889","0","200","3089","0.00055335","2026-07-11T19:13:46","{
  ""issue_key"": ""MC-299632"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The report does not provide a clear action or setup to trigger the issue with 'ArmorItems' and 'HandItems'.""
  },
  ""expected_behavior"": {
    ""presence"": ""Not Present"",
    ""quality"": ""Not Applicable"",
    ""reason"": ""No expected behavior is explicitly stated in the report.""
  },
  ""observed_behavior"": {
    ""presence"": ""Not Present"",
    ""quality"": ""Not Applicable"",
    ""reason"": ""No observed behavior is described in the report.""
  },
  ""overall_reason"": ""The report lacks sufficient detail to understand how to reproduce the bug, as well as any expected or observed behaviors.""
}"
"MC-299966","Non-Executable","The report does not specify how to trigger the 'dinnerbone' effect on the happy ghast, making it unclear how to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","The report does not specify how to trigger the 'dinnerbone' effect on the happy ghast, making it unclear how to reproduce the issue.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be when attempting to 'dinnerbone' a happy ghast.","Present","Sufficient","The report indicates that the user cannot 'dinnerbone' the happy ghast, which is a clear observation.","The report lacks critical details on how to reproduce the bug, specifically the method to apply the 'dinnerbone' effect, which is essential for an executable report.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V11_DevelopmentTuned","210","fp_3be5422b9d","2877","0","244","3121","0.00057795","2026-07-11T19:13:50","{
  ""issue_key"": ""MC-299966"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The report does not specify how to trigger the 'dinnerbone' effect on the happy ghast, making it unclear how to reproduce the issue.""
  },
  ""expected_behavior"": {
    ""presence"": ""Not Present"",
    ""quality"": ""Not Applicable"",
    ""reason"": ""The report does not explicitly state what the expected behavior should be when attempting to 'dinnerbone' a happy ghast.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The report indicates that the user cannot 'dinnerbone' the happy ghast, which is a clear observation.""
  },
  ""overall_reason"": ""The report lacks critical details on how to reproduce the bug, specifically the method to apply the 'dinnerbone' effect, which is essential for an executable report.""
}"
"MC-300025","Executable","Full rubric post-check: the summon, interaction, inspection command, and result are explicit.","Not Assessed","Not Applicable","Not Applicable","Full rubric post-check: the summon, interaction, inspection command, and result are explicit.","Not Present","Not Applicable","There is no explicit expected outcome stated in the report.","Present","Sufficient","The report indicates that there is no NBT 'interaction' when checking the entity, which describes the observed behavior.","The report does not provide enough information to reproduce the issue, as it lacks a clear trigger or context for the interaction. Post-check: Full rubric post-check: the summon, interaction, inspection command, and result are explicit.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V11_DevelopmentTuned","210","fp_3be5422b9d","2930","0","219","3149","0.00057090","2026-07-11T19:13:55","{
  ""issue_key"": ""MC-300025"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The report lacks critical details on how to trigger the interaction and does not specify the context or conditions under which the interaction is supposed to occur.""
  },
  ""expected_behavior"": {
    ""presence"": ""Not Present"",
    ""quality"": ""Not Applicable"",
    ""reason"": ""There is no explicit expected outcome stated in the report.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The report indicates that there is no NBT 'interaction' when checking the entity, which describes the observed behavior.""
  },
  ""overall_reason"": ""The report does not provide enough information to reproduce the issue, as it lacks a clear trigger or context for the interaction.""
}"
"MC-300388","Non-Executable","The report lacks specific details on how to set up the artificial water environment and does not clearly define the necessary conditions for the spawner to function as intended.","Irreproducible","Not Applicable","Missing Information","The report lacks specific details on how to set up the artificial water environment and does not clearly define the necessary conditions for the spawner to function as intended.","Present","Accurate","The expected behavior of mobs spawning in water is clearly stated and aligns with Minecraft mechanics.","Present","Sufficient","The observed behavior is described adequately, indicating that some mobs do not spawn in artificial water as expected.","While the expected and observed behaviors are clear, the lack of detailed setup information prevents the report from being executable.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V11_DevelopmentTuned","210","fp_3be5422b9d","3021","0","222","3243","0.00058635","2026-07-11T19:13:59","{
  ""issue_key"": ""MC-300388"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The report lacks specific details on how to set up the artificial water environment and does not clearly define the necessary conditions for the spawner to function as intended.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior of mobs spawning in water is clearly stated and aligns with Minecraft mechanics.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is described adequately, indicating that some mobs do not spawn in artificial water as expected.""
  },
  ""overall_reason"": ""While the expected and observed behaviors are clear, the lack of detailed setup information prevents the report from being executable.""
}"
"MC-300395","Non-Executable","The report describes a symptom of corrupted blocks but does not provide specific details on how to trigger or reproduce the corruption.","Irreproducible","Not Applicable","Missing Information","The report describes a symptom of corrupted blocks but does not provide specific details on how to trigger or reproduce the corruption.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be.","Present","Sufficient","The report describes the observed behavior of blocks being moved and disrupting builds, which is clear enough to understand.","The report indicates a problem with corrupted blocks but lacks the necessary details to reproduce the issue, making it non-executable.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V11_DevelopmentTuned","210","fp_3be5422b9d","2956","0","214","3170","0.00057180","2026-07-11T19:14:03","{
  ""issue_key"": ""MC-300395"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The report describes a symptom of corrupted blocks but does not provide specific details on how to trigger or reproduce the corruption.""
  },
  ""expected_behavior"": {
    ""presence"": ""Not Present"",
    ""quality"": ""Not Applicable"",
    ""reason"": ""The report does not explicitly state what the expected behavior should be.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The report describes the observed behavior of blocks being moved and disrupting builds, which is clear enough to understand.""
  },
  ""overall_reason"": ""The report indicates a problem with corrupted blocks but lacks the necessary details to reproduce the issue, making it non-executable.""
}"
"MC-300408","Executable","The report provides a clear sequence of actions to reproduce the bug, detailing the setup and the commands used.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear sequence of actions to reproduce the bug, detailing the setup and the commands used.","Present","Accurate","The expected behavior is clearly stated, indicating that the order of the list in the golem's memory should match the order in which the chests were opened.","Present","Sufficient","The observed behavior is clearly described, indicating that the order in the golem's memory does not match the expected order.","The report is actionable and provides sufficient detail for reproduction, with clear expected and observed behaviors.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V11_DevelopmentTuned","210","fp_3be5422b9d","3084","0","223","3307","0.00059640","2026-07-11T19:14:12","{
  ""issue_key"": ""MC-300408"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The report provides a clear sequence of actions to reproduce the bug, detailing the setup and the commands used.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly stated, indicating that the order of the list in the golem's memory should match the order in which the chests were opened.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is clearly described, indicating that the order in the golem's memory does not match the expected order.""
  },
  ""overall_reason"": ""The report is actionable and provides sufficient detail for reproduction, with clear expected and observed behaviors.""
}"
"MC-300473","Non-Executable","The report lacks specific details on how to create the invisible item frame and the exact commands used, making it unclear how to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","The report lacks specific details on how to create the invisible item frame and the exact commands used, making it unclear how to reproduce the issue.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be when interacting with the invisible item frame.","Present","Sufficient","The report describes that the game crashes when attempting to interact with the invisible item frame, which is a clear outcome.","The report describes a crash related to an invisible item frame but lacks critical details on how to reproduce the issue, making it non-executable.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V11_DevelopmentTuned","210","fp_3be5422b9d","2981","0","232","3213","0.00058635","2026-07-11T19:14:17","{
  ""issue_key"": ""MC-300473"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The report lacks specific details on how to create the invisible item frame and the exact commands used, making it unclear how to reproduce the issue.""
  },
  ""expected_behavior"": {
    ""presence"": ""Not Present"",
    ""quality"": ""Not Applicable"",
    ""reason"": ""The report does not explicitly state what the expected behavior should be when interacting with the invisible item frame.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The report describes that the game crashes when attempting to interact with the invisible item frame, which is a clear outcome.""
  },
  ""overall_reason"": ""The report describes a crash related to an invisible item frame but lacks critical details on how to reproduce the issue, making it non-executable.""
}"
