"timestamp","version","phase","row_index","total_rows","issue_key","status","prediction","reason","s2r_reproducibility","s2r_validity","s2r_failure_type","expected_behavior_presence","expected_behavior_quality","observed_behavior_presence","observed_behavior_quality","error_message","model","prompt_version","seed","system_fingerprint","input_tokens","cached_input_tokens","output_tokens","total_tokens","cost_usd"
"2026-07-11T19:13:26","raw","development","1","75","MC-298921","valid_json","Non-Executable","The report does not specify the current keybinding for G after it was rebound, which is critical to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V11_DevelopmentTuned","210","fp_3be5422b9d","2938","2816","220","3158","0.00036150"
"2026-07-11T19:13:38","raw","development","2","75","MC-299342","valid_json","Non-Executable","The report does not specify how the music was started or if any specific conditions were met before playing the disc, which are critical for reproducing the issue.","Irreproducible","Not Applicable","Missing Information","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V11_DevelopmentTuned","210","fp_3be5422b9d","2954","0","219","3173","0.00057450"
"2026-07-11T19:13:42","raw","development","3","75","MC-299897","valid_json","Executable","The report provides a clear description of the actions needed to reproduce the bug, including the specific items and actions involved.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V11_DevelopmentTuned","210","fp_3be5422b9d","3258","0","210","3468","0.00061470"
"2026-07-11T19:13:46","raw","development","4","75","MC-299632","valid_json","Non-Executable","The report does not provide a clear action or setup to trigger the issue with 'ArmorItems' and 'HandItems'.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Not Present","Not Applicable","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V11_DevelopmentTuned","210","fp_3be5422b9d","2889","0","200","3089","0.00055335"
"2026-07-11T19:13:50","raw","development","5","75","MC-299966","valid_json","Non-Executable","The report does not specify how to trigger the 'dinnerbone' effect on the happy ghast, making it unclear how to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V11_DevelopmentTuned","210","fp_3be5422b9d","2877","0","244","3121","0.00057795"
"2026-07-11T19:13:55","raw","development","6","75","MC-300025","valid_json","Executable","Full rubric post-check: the summon, interaction, inspection command, and result are explicit.","Not Assessed","Not Applicable","Not Applicable","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V11_DevelopmentTuned","210","fp_3be5422b9d","2930","0","219","3149","0.00057090"
"2026-07-11T19:13:59","raw","development","7","75","MC-300388","valid_json","Non-Executable","The report lacks specific details on how to set up the artificial water environment and does not clearly define the necessary conditions for the spawner to function as intended.","Irreproducible","Not Applicable","Missing Information","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V11_DevelopmentTuned","210","fp_3be5422b9d","3021","0","222","3243","0.00058635"
"2026-07-11T19:14:03","raw","development","8","75","MC-300395","valid_json","Non-Executable","The report describes a symptom of corrupted blocks but does not provide specific details on how to trigger or reproduce the corruption.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V11_DevelopmentTuned","210","fp_3be5422b9d","2956","0","214","3170","0.00057180"
"2026-07-11T19:14:12","raw","development","9","75","MC-300408","valid_json","Executable","The report provides a clear sequence of actions to reproduce the bug, detailing the setup and the commands used.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V11_DevelopmentTuned","210","fp_3be5422b9d","3084","0","223","3307","0.00059640"
"2026-07-11T19:14:17","raw","development","10","75","MC-300473","valid_json","Non-Executable","The report lacks specific details on how to create the invisible item frame and the exact commands used, making it unclear how to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V11_DevelopmentTuned","210","fp_3be5422b9d","2981","0","232","3213","0.00058635"
