"Issue Key","Summary","Type","Affects Version/s","Labels","Confirmation Status","Category","Resolution","Fix Version/s","Description"
"MC-300962","Unable to exchange the same items in the backpack normally.","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Take fireworks as an example. When you press the E key to open your inventory and swap the positions of two sets of fireworks, you will find that if the number of fireworks selected with the mouse is less than the number being swapped, the exchange cannot be completed, no matter how many times you left-click. If the number of fireworks selected with the mouse is greater than the number of fireworks being swapped, the two sets of items can be exchanged normally. This issue only occurs with certain blocks, such as fireworks and scaffolding.\n\n"
"MC-299218","full screen bug","Bug","1.21.6; 1.21.7 Release Candidate 2","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","When turning the full screen on or off, the game freezes for a while, about five seconds, and then the jukebox goes silent, and I don't notice anything else.\n\n"
"MC-301018","Pausing the game does only pause the game Igt","Bug","25w33a","None","Unconfirmed","(Unassigned)","Incomplete","None","Pausing the game does only pause the game Igt\n\n"
"MC-300634","It some time lag aur hang for some mili seconds near trapdoor or while climbing on stairs ","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","It some time lag aur hang for some mili seconds near trapdoor or while climbing on stairs . My device is samsung m31 . It happens in my device and as well as with my friends also.\n\n"
"MC-299909"," Failed to load texture for profile","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","Cant load skin texture. Use vanilla. Skin selected in browser/launcher. After start play in singleplayer/multiplayer, after some time i got an error in console\n\n> `java.util.concurrent.CompletionException: java.io.UncheckedIOException: java.net.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond`\n> \n> \n\nhttp - protocol not work for downloading, replace it with httpsWhen try to download skin from java application with http - connection time out always, with https downloading process is done\n\n"
"MC-300861","Infinite blocks","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Blocks that are pushed by a piston when placed in creative mode will cause them to respawn after destruction and will not fall\n\n"
"MC-300776"," Players do not gain immediate acceleration when flying downwards using an elytra with fireworks as a result of gravity.","Bug","1.21.8; 25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Currently, when flying downward with fireworks using an elytra, the player does not gain immediate acceleration like they would with a Riptide trident. Instead, they must wait for the firework boost to expire before gravity takes full effect. It would improve control and consistency if downward boosts provided immediate acceleration, similar to Riptide tridents. Not sure if this is intended behavior or an oversight.\n\n\n\n(This probably affects all versions with elytra but i don’t know how to choose all versions in the 'affects versions' section above)\n\n"
"MC-300107","Oxidised Copper Golem doesn't turn into Oxidised Copper Golem Statue","Bug","25w31a","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","**Description:** Oxidised Copper Golem doesn't turn into Oxidised Copper Golem Statue\n\n**Ways to Reproduce:** Create a new creative world, and use the “Oxidised Copper Block” and “Carved Pumpking” items to create multiple Copper Golems\n\nAdditionally you can do /tick rate 400 or something like that (note: changing the randomtickspeed doesn’t affect Copper Golems and it is already reported as a bug)\n\n**Expected Result:** The Oxidised Copper Golems would become Oxidised Copper Golem Statues\n\n**Observed Result:** They don’t\n\n"
"MC-300598","fire animation on mobs","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","In a lava flow, when a mob is burning the fire animation appears, only the damage animation\n\n"
"MC-300539","Phantoms spawn during the first night on a world.","Bug","25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Phantoms will spawn in the overworld night sky regardless of the amount of time passed in the world. \n\nSteps to reproduce:\n\n1. Create a world\n\n2. Wait for the game to turn to night\n\n\n\nExpected result: Phantoms spawn at night if the player has not slept for three in-game days.\n\nActual result: Phantoms spawn on the first night if the player hasn’t slept once.\n\n\n\n\n\n"
