"Issue Key","Summary","Type","Affects Version/s","Labels","Confirmation Status","Category","Resolution","Fix Version/s","Description"
"MC-298921","ctrl + g","Bug","1.21.6","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","When attempting to hit the G key after the ctrl key is held down, minecraft does nothing with it. G used to be my drop key, but i have since rebound it to something else, and even rebound, if I hold ctrl and then attempt to click the G key, the G key doesn’t register. Without ctrl held, the G key works as intended\n\n"
"MC-299342","hyper potions lava chicken music doesn't play","Bug","1.21.7","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","i played the “lava chicken” music disc on a jukebox, it plays but there is no audio, all of the volumes in the “Music & Sounds“ tab is all set to 100%, although, this ever happened with Amos Roddy - Tears but it got fixed in the 1.21.6 release, but this time, it didn’t get fixed in the 1.21.7 release\n\n"
"MC-299897","XP not increasing when using two Mending items – one in main hand, one in offhand","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","When holding two items with the Mending enchantment — one in the main hand (e.g. sword) and another in the offhand (e.g. pickaxe or shield) — XP stops increasing completely.\n\n\n\nEven if both items are at full durability and should not receive XP, the game seems to still prioritize XP repair logic and ""gets stuck"".\n\n\n\nThe XP does not go to the Mending items (because they’re full) nor to the player’s XP bar. It seems the game assigns the XP to both tools and never lets go.\n\n\n\n⚠️ Important notes:\n\n- The bug only triggers if the item used to **attack (like a sword)** has Mending.\n\n- After this, even removing the items doesn’t fix XP gain — it stays broken until you remove **all Mending items** from both hands and inventory.\n\n\n\n🎯 Reproduction Steps:\n\n1. Get two tools with Mending (e.g. sword and pickaxe).\n\n2. Hold sword in main hand and pickaxe in offhand.\n\n3. Kill mobs or collect XP orbs.\n\n4. XP does not go to player’s XP bar.\n\n5. Remove tools — XP still bugged unless all Mending items are gone.\n\n\n\n🧠 Theory:\n\nThe game prioritizes XP to both items. If both are full, it locks XP in a repair loop and blocks player progression.\n\n\n\nThis was tested in:\n\n- Minecraft Java Edition 1.21\n\n- Vanilla (no mods)\n\n- Survival and Creative\n\n- New and old worlds\n\n\n\nPlease fix this — XP is a vital mechanic and this bug can make worlds feel broken or corrupted.\n\n"
"MC-299632","NBT ""ArmorItems"" and ""HandItems""(maybe there are some other NBT) can't be used normally.","Bug","1.21.7","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","Sorry,I wrong.\n\n"
"MC-299966","Dinnerbone doesn't affect happy ghasts","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","I cant dinnerbone my happy ghast\n\n"
"MC-300025","Interactions can't be interacted","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","1. /summon interaction ~ ~ ~\n\n\n2. Right click to this interaction\n\n\n3. /data get entity @e[type=interaction, limit=1, sort=nearest]\n\n\n4. There is not a NBT “interaction”\n\n\n\n\n\n"
"MC-300388","mobs in spawners that spawn in water will only spawn in natural water","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","make a big box and fill it with water source blocks and put a spawner in the box then place a egg in the spawner that would need water to spawn if in the mob spawner\n\ni expected the mobs to spawn in the water\n\nsome of the mobs that need water to spawn from mob spawners will only spawn in naturally generated water but will not spawn in artificial water ex: axolotl, squid, tropical fish, cod but others ex: elder guardian, tadpole when placed in a mob spawner and in the water source box spawned in the artificial water\n\ni tried this in a superflat default world and a creative world in the lukewarm ocean and ice spikes biome\n\n"
"MC-300395","Corrupted blocks","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","My game world has been corrupted, and large blocks have been moved around, disrupting my builds.\n\nI already sent a debug request at the beginning of the month, but I haven’t heard back since they asked for debug file, so I enclose again, along with screenshots. I will attach debug folder contents.\n\nI would like this resolved, please. It took a long time to build, and it’s seriously damaged. Thank you!\n\n"
"MC-300408","Copper Golem memory does not register checked blocks in a proper order","Bug","25w31a; 25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","1. Setup a line with 10 chests with any item\n\n\n2. Take notice of the coordinates of each chest\n\n\n3. Place a copper chest with an item that is not contained in any other chest\n\n\n4. Take notice of the order in which the golem open the chests\n\n\n5. Wait for the golem to open the last chest, then immediatly use /tick freeze\n\n\n6. Use /data get command to access the checked blocks list in the golem’s memory \n\n\n7. Compare the coordinates of the blocks in the list and the order observed in step 4\n\n\n\n\n\nExpected Result: the order of the list in the golem’s memory would be the same as the order in which it opend the chests.\n\nActual Result: the order os the list in the golem memories does not correspond to the order in which the chests were opend. \n\n\n\n"
"MC-300473","when an invisible item frame is given to the player using commands, then the game gets updated to a newer version, the game crashes.","Bug","25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","i made a invisible item frame using commands. it was in my inventory and when placed, seemed invisible. The item frame worked like a normal item frame. for some reason though, when i updated to the new snapshot (25w31a) clicking the item frame to put in my inventory crashed my game. i tried using a hotbar indicator, which worked. I could not fix the chest problem though.(this works in shulkers as well. \n\n\n\n"
