BUG-ID,S2R Label,S2R Irrep Category,Reason,OB Category,OB Label,Reason,EB Category,EB Label,Reason
MC-298921 Raw,Non-Executable,Missing Information,There is a missing step related to menu operations to switching  the g key to trigger different action,Present,Sufficient,,Not Present,,
MC-299218 Raw,Non-Executable,Missing Information,No information for jukebox to work,Present,Sufficient,,Not Present,,No expected result given
MC-299342 Raw,Non-Executable,Missing Information,There is a missing step related to spawning a jukebox,Present,Sufficient,,Not Present,,
MC-299897 Raw,Executable,,,Present,Sufficient,,Present,Accurate,
MC-299632 Raw,Non-Executable,Missing Information,No Description provided by user,Not Present,,,Not Present,,
MC-299909 Raw,Executable,,,Present,Sufficient,,Not Present,,
MC-299966 Raw,Non-Executable,Missing Information,"No steps explained by the user, example of an OB only",Present,Sufficient,,Not Present,,
MC-300025 Raw,Executable,,,Present,Sufficient,,Not Present,,
MC-300031 Raw,Non-Executable,Missing Information,No information related to trigger a raid or other steps,Present,Insufficient,Really weak explanation of the bug causing confusion user says bug does not exists at the end,Not Present,,
MC-300033 Raw,Non-Executable,Missing Information,How do I activate the command block critical miss,Present,Sufficient,,Present,Accurate,
MC-300107 Raw,Executable,,,Present,Sufficient,,Present,Inaccurate,Creation on an oxidized block gives the golem its final oxidation state immediately—it does not continue oxidizing.
MC-300143 Raw,Non-Executable,Ambiguous Information,"""Most options in the F3 F5 screen are greyed out""   Most options phrase is an ambiguous step",Present,Insufficient,"""Most options in the F3 F5 screen are greyed out""   Most options phrase is ambiguous not a clear bug statement",Not Present,,
MC-300388 Raw,Non-Executable,Ambiguous Information,Not understandable. Does not include a step-by-step pipeline. Also does not spesify the box sizes.,Present,Insufficient,"Missing Information, too vague about the mobs, which are where. Hard to identify from the full description. The mobs to spawn in the water",Present,Accurate,
MC-300395 Raw,Non-Executable,Ambiguous Information,phrases like make a big box ,Present,Sufficient,,Not Present,,
MC-300396 Raw,Executable,,,Present,Sufficient,,Present,Accurate,
MC-300408 Raw,Non-Executable,Ambiguous Information,Items to be put in chest leading ambiguity,Present,Sufficient,,Present,Accurate,
MC-300409 Raw,Non-Executable,Wrong Information,Magma Does Not Demage Zombified Piglin,Present,Sufficient,,Not Present,,
MC-300420 Raw,Executable,,,Present,Sufficient,,Present,Accurate,
MC-300473 Raw,Non-Executable,Missing Information,Lack of Commands,Present,Sufficient,,Not Present,,
MC-300497 Raw,Non-Executable,Ambiguous Information,I cannot play the game?,Present,Insufficient," to weak"" I cannot play the game""",Not Present,,
MC-300515 Raw,Non-Executable,Missing Information,Missing all core steps to reproduce the bug,Present,Sufficient,,Not Present,,
MC-300516 Raw,Non-Executable,Missing Information,Missing all core steps to reproduce the bug,Present,Sufficient,,Not Present,,
MC-300519 Raw,Non-Executable,Missing Information,Missing all core steps to reproduce the bug,Present,Sufficient,,Present,Accurate,
MC-300524 Raw,Non-Executable,Missing Information,Steps to detect changes after chunk loading are missing,Present,Sufficient,,Not Present,,
MC-300526 Raw,Executable,,,Present,Sufficient,,Present,Accurate,
MC-300527 Raw,Non-Executable,Missing Information,Missing steps to generate cycles,Present,Insufficient,4 phases need to be specified.,Not Present,,
MC-300529 Raw,Executable,,,Present,Sufficient,,Not Present,,
MC-300530 Raw,Non-Executable,Ambiguous Information,Draggin mouse? it goes away sometimes?,Present,Insufficient,,Not Present,,
MC-300535 Raw,Executable,,,Present,Sufficient,,Not Present,,
MC-300539 Raw,Executable,,,Present,Sufficient,,Present,Accurate,
MC-300546 Raw,Non-Executable,Missing Information,Lacks instructions how to start a raid,Present,Sufficient,,Not Present,,
MC-300562 Raw,Non-Executable,Missing Information,no step for getting the end of the portal,Present,Sufficient,,Present,Accurate,
MC-300572 Raw,Non-Executable,Missing Information,Description not involves possible steps to observe the bug,Present,Sufficient,,Present,Accurate,
MC-300574 Raw,Non-Executable,Missing Information,Description not involves possible steps to observe the bug,Present,Insufficient,"Really short, not detailed explanation to fully understand the observed bug ",Not Present,,
MC-300598 Raw,Non-Executable,Missing Information,Statement contradictory. Burning the fire animation and demage animation,Present,Sufficient,Which type of mob is not specified,Not Present,,
MC-300599 Raw,Non-Executable,Missing Information,Does not include any information about how to generate flying machine,Present,Insufficient,Some parts require an assumption. Which blocks,Not Present,,
MC-300602 Raw,Non-Executable,Missing Information,Deos lake is inside the cave. Which tree are you are talking about?,Present,Insufficient,Which tree growing up. Need specification,Not Present,,
MC-300607 Raw,Executable,,,Present,Sufficient,,Present,Accurate,
MC-300611 Raw,Non-Executable,Missing Information,No steps related to spawning zombies,Present,Sufficient,,Not Present,,
MC-300612 Raw,Non-Executable,Missing Information,No reproducible steps specified,Present,Sufficient,,Present,Accurate,
MC-300614 Raw,Executable,,,Present,Sufficient,,Not Present,,
MC-300618 Raw,Non-Executable,Missing Information,No external steps specified by the user regarding the reproduction,Present,Sufficient,,Not Present,,
MC-300620 Raw,Non-Executable,Missing Information,You can not come across with ground flag. Require an extra sep to check the flag.,Present,Insufficient,requireis assumtion about 1b 0b,Not Present,,
MC-300634 Raw,Non-Executable,Missing Information,Missing how to locate and structure the trapdoor and a staircase.,Present,Insufficient,Can not understand from lag aur hang. Wrong English can not be understood.,Not Present,,
MC-300643 Raw,Non-Executable,Missing Information,can not apply from the game,Present,Insufficient,,Not Present,,
MC-300647 Raw,Non-Executable,Ambiguous Information,No any steps tried to make tourch,Present,Insufficient,so weak sentence,Not Present,,
MC-300649 Raw,Non-Executable,Missing Information,how do I create the resource pack,Present,Sufficient,,Present,Accurate,
MC-300659 Raw,Non-Executable,Missing Information,,Present,Insufficient,The game is missing from where it was purchased.,Not Present,,
MC-300683 Raw,Non-Executable,Wrong Information,"When UI is opened, it is impossible to click on block",Present,Insufficient,Just written game crash,Not Present,,
MC-300715 Raw,Non-Executable,Missing Information,How to make ender dragon is missing.,Present,Sufficient,,Present,Accurate,
MC-300731 Raw,Executable,,,Present,Sufficient,,Present,Accurate,
MC-300736 Raw,Non-Executable,Missing Information,How to make skeleton is not described,Present,Sufficient,,Present,Accurate,
MC-300737 Raw,Executable,,"""Create a method that runs every thick"" Assumed in the attached files this have",Present,Sufficient,,Not Present,,
MC-300745 Raw,Non-Executable,Missing Information,Ambiguity in long. Also mising how to make copper golem miss command.,Present,Sufficient,,Not Present,,
MC-300760 Raw,Non-Executable,Missing Information,Missing Information about realms list,Present,Sufficient,,Present,Accurate,
MC-300761 Raw,Executable,,,Present,Sufficient,,Present,Accurate,
MC-300768 Raw,Non-Executable,Missing Information,How to make nether portal missing,Present,Sufficient,,Not Present,,
MC-300774 Raw,Executable,,,Present,Sufficient,,Present,Accurate,
MC-300776 Raw,Executable,,,Present,Sufficient,,Present,Inaccurate,"Those are feature requests, not the expected behavior of the game mechanics"
MC-300778 Raw,Non-Executable,Missing Information,No steps provided,Present,Sufficient,,Not Present,,
MC-300786 Raw,Non-Executable,Missing Information,How to go to language setting missing,Present,Sufficient,,Present,Accurate,
MC-300789 Raw,Executable,,,Present,Sufficient,,Not Present,,
