issue_key,s2r_label,reason,status,model,prompt_version,input_tokens,cached_input_tokens,output_tokens,total_tokens,cost_usd,timestamp,raw_response
MC-300962,Executable,"The report provides a clear action (swapping items in the inventory) and describes the specific conditions under which the bug occurs, allowing others to reproduce the issue.",valid_json,gpt-4o-mini-2024-07-18,v2,652,0,60,712,0.00013380,2026-07-02T21:11:48,"{
  ""issue_key"": ""MC-300962"",
  ""s2r_label"": ""Executable"",
  ""reason"": ""The report provides a clear action (swapping items in the inventory) and describes the specific conditions under which the bug occurs, allowing others to reproduce the issue.""
}"
MC-299218,Non-Executable,"The report describes a symptom of the game freezing and the jukebox going silent but does not provide specific actions or conditions that trigger this issue, making it unclear how to reproduce the bug.",valid_json,gpt-4o-mini-2024-07-18,v2,585,0,67,652,0.00012795,2026-07-02T21:11:56,"{
  ""issue_key"": ""MC-299218"",
  ""s2r_label"": ""Non-Executable"",
  ""reason"": ""The report describes a symptom of the game freezing and the jukebox going silent but does not provide specific actions or conditions that trigger this issue, making it unclear how to reproduce the bug.""
}"
MC-301018,Non-Executable,The report states a symptom without providing any concrete actions or conditions to trigger the issue.,valid_json,gpt-4o-mini-2024-07-18,v2,557,0,47,604,0.00011175,2026-07-02T21:11:59,"{
  ""issue_key"": ""MC-301018"",
  ""s2r_label"": ""Non-Executable"",
  ""reason"": ""The report states a symptom without providing any concrete actions or conditions to trigger the issue.""
}"
MC-300634,Non-Executable,"The report describes a lag issue but does not provide specific actions or conditions to reproduce the problem, making it unclear how to trigger the lag.",valid_json,gpt-4o-mini-2024-07-18,v2,593,0,58,651,0.00012375,2026-07-02T21:12:01,"{
  ""issue_key"": ""MC-300634"",
  ""s2r_label"": ""Non-Executable"",
  ""reason"": ""The report describes a lag issue but does not provide specific actions or conditions to reproduce the problem, making it unclear how to trigger the lag.""
}"
MC-299909,Non-Executable,"The report describes a symptom of a failed texture load and an error message but does not provide clear steps or actions to reproduce the issue, making it vague and non-executable.",valid_json,gpt-4o-mini-2024-07-18,v2,670,0,65,735,0.00013950,2026-07-02T21:12:03,"{
  ""issue_key"": ""MC-299909"",
  ""s2r_label"": ""Non-Executable"",
  ""reason"": ""The report describes a symptom of a failed texture load and an error message but does not provide clear steps or actions to reproduce the issue, making it vague and non-executable.""
}"
MC-300861,Non-Executable,"The report describes a symptom of the issue (infinite blocks) but does not provide specific actions or conditions to reproduce the bug, making it unclear how to trigger the behavior.",valid_json,gpt-4o-mini-2024-07-18,v2,561,0,65,626,0.00012315,2026-07-02T21:12:06,"{
  ""issue_key"": ""MC-300861"",
  ""s2r_label"": ""Non-Executable"",
  ""reason"": ""The report describes a symptom of the issue (infinite blocks) but does not provide specific actions or conditions to reproduce the bug, making it unclear how to trigger the behavior.""
}"
MC-300776,Non-Executable,"The report describes a symptom of the issue without providing specific actions or conditions that trigger the bug, making it unclear how to reproduce the problem.",valid_json,gpt-4o-mini-2024-07-18,v2,678,0,58,736,0.00013650,2026-07-02T21:12:08,"{
  ""issue_key"": ""MC-300776"",
  ""s2r_label"": ""Non-Executable"",
  ""reason"": ""The report describes a symptom of the issue without providing specific actions or conditions that trigger the bug, making it unclear how to reproduce the problem.""
}"
MC-300107,Executable,"The report provides clear steps to create the Copper Golems and mentions specific items and commands, allowing another person to reasonably attempt to reproduce the bug.",valid_json,gpt-4o-mini-2024-07-18,v2,681,0,58,739,0.00013695,2026-07-02T21:12:11,"{
  ""issue_key"": ""MC-300107"",
  ""s2r_label"": ""Executable"",
  ""reason"": ""The report provides clear steps to create the Copper Golems and mentions specific items and commands, allowing another person to reasonably attempt to reproduce the bug.""
}"
MC-300598,Non-Executable,"The report describes a symptom (fire animation on mobs) without providing specific actions or conditions to reproduce the issue, making it unclear how to trigger the bug.",valid_json,gpt-4o-mini-2024-07-18,v2,559,0,61,620,0.00012045,2026-07-02T21:12:13,"{
  ""issue_key"": ""MC-300598"",
  ""s2r_label"": ""Non-Executable"",
  ""reason"": ""The report describes a symptom (fire animation on mobs) without providing specific actions or conditions to reproduce the issue, making it unclear how to trigger the bug.""
}"
MC-300539,Executable,"The report provides clear steps to create a world and wait for night, along with a specific condition regarding sleeping, allowing another person to reproduce the bug.",valid_json,gpt-4o-mini-2024-07-18,v2,644,0,58,702,0.00013140,2026-07-02T21:12:15,"{
  ""issue_key"": ""MC-300539"",
  ""s2r_label"": ""Executable"",
  ""reason"": ""The report provides clear steps to create a world and wait for night, along with a specific condition regarding sleeping, allowing another person to reproduce the bug.""
}"
