"issue_key","s2r_label","reason","s2r_reproducibility","s2r_validity","s2r_failure_type","s2r_reason","expected_behavior_presence","expected_behavior_quality","expected_behavior_reason","observed_behavior_presence","observed_behavior_quality","observed_behavior_reason","overall_reason","status","model","prompt_version","seed","system_fingerprint","input_tokens","cached_input_tokens","output_tokens","total_tokens","cost_usd","timestamp","raw_response"
"MC-298921","Executable","The steps provide a clear and actionable path to reproduce the issue, requiring only general game knowledge.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the issue, requiring only general game knowledge.","Present","Accurate","The expected behavior is clearly defined and aligns with Minecraft mechanics regarding key bindings.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug without ambiguity.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, all of which are clear and aligned with the original intent.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V19_DevelopmentTuned_RulesV20","210","fp_3be5422b9d","5431","5376","209","5640","0.00053685","2026-07-11T19:50:48","{
  ""issue_key"": ""MC-298921"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The steps provide a clear and actionable path to reproduce the issue, requiring only general game knowledge.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined and aligns with Minecraft mechanics regarding key bindings.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is detailed enough to understand the specific outcome of the bug without ambiguity.""
  },
  ""overall_reason"": ""The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, all of which are clear and aligned with the original intent.""
}"
"MC-299342","Executable","Full rubric post-check: the source, insertion action, and failure to begin audio are explicit.","Not Assessed","Not Applicable","Not Applicable","Full rubric post-check: the source, insertion action, and failure to begin audio are explicit.","Not Present","Not Applicable","No explicit statement is provided about the expected outcome.","Present","Sufficient","The description of the observed behavior is detailed enough to understand that the music disc plays visually but produces no sound.","While the observed behavior is clear, the steps to reproduce the issue are not executable due to missing critical information about the playback state of the jukebox. Post-check: Full rubric post-check: the source, insertion action, and failure to begin audio are explicit.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V19_DevelopmentTuned_RulesV20","210","fp_3be5422b9d","5550","0","221","5771","0.00096510","2026-07-11T19:50:54","{
  ""issue_key"": ""MC-299342"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The report does not clearly establish the playback state being tested, which is critical for reproducing the audio issue with the jukebox.""
  },
  ""expected_behavior"": {
    ""presence"": ""Not Present"",
    ""quality"": ""Not Applicable"",
    ""reason"": ""No explicit statement is provided about the expected outcome.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The description of the observed behavior is detailed enough to understand that the music disc plays visually but produces no sound.""
  },
  ""overall_reason"": ""While the observed behavior is clear, the steps to reproduce the issue are not executable due to missing critical information about the playback state of the jukebox.""
}"
"MC-299897","Executable","The steps provide a clear and actionable sequence to reproduce the bug, requiring only general Minecraft knowledge.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable sequence to reproduce the bug, requiring only general Minecraft knowledge.","Present","Accurate","The expected behavior is clearly defined and aligns with the mechanics of the Mending enchantment in Minecraft.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug without requiring assumptions.","The report effectively captures the bug's reproduction steps, expected behavior, and observed behavior, making it a well-structured report.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V19_DevelopmentTuned_RulesV20","210","fp_3be5422b9d","6351","0","210","6561","0.00107865","2026-07-11T19:50:59","{
  ""issue_key"": ""MC-299897"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The steps provide a clear and actionable sequence to reproduce the bug, requiring only general Minecraft knowledge.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined and aligns with the mechanics of the Mending enchantment in Minecraft.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is detailed enough to understand the specific outcome of the bug without requiring assumptions.""
  },
  ""overall_reason"": ""The report effectively captures the bug's reproduction steps, expected behavior, and observed behavior, making it a well-structured report.""
}"
"MC-299632","Non-Executable","The steps to reproduce do not clearly establish the central trigger or state needed to reproduce the issue with the NBT tags, as they focus on modifying items without confirming the initial state of the player's data.","Irreproducible","Not Applicable","Missing Information","The steps to reproduce do not clearly establish the central trigger or state needed to reproduce the issue with the NBT tags, as they focus on modifying items without confirming the initial state of the player's data.","Present","Accurate","The expected behavior is clearly defined, stating that the NBT tags should accurately represent the items equipped by the player.","Present","Sufficient","The observed behavior provides a detailed account of how the NBT tags fail to function as intended, clearly outlining the issues with 'ArmorItems' and 'HandItems'.","While the expected and observed behaviors are well-defined, the steps to reproduce lack critical information needed to attempt the reproduction of the bug, leading to a classification of Non-Executable.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V19_DevelopmentTuned_RulesV20","210","fp_3be5422b9d","5830","0","264","6094","0.00103290","2026-07-11T19:51:07","{
  ""issue_key"": ""MC-299632"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The steps to reproduce do not clearly establish the central trigger or state needed to reproduce the issue with the NBT tags, as they focus on modifying items without confirming the initial state of the player's data.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined, stating that the NBT tags should accurately represent the items equipped by the player.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior provides a detailed account of how the NBT tags fail to function as intended, clearly outlining the issues with 'ArmorItems' and 'HandItems'.""
  },
  ""overall_reason"": ""While the expected and observed behaviors are well-defined, the steps to reproduce lack critical information needed to attempt the reproduction of the bug, leading to a classification of Non-Executable.""
}"
"MC-299966","Executable","The steps provide a clear and actionable path to reproduce the bug, requiring only general Minecraft knowledge.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, requiring only general Minecraft knowledge.","Present","Accurate","The expected behavior is clearly defined and aligns with Minecraft mechanics, stating that the Happy Ghast should flip upside down when named 'Dinnerbone'.","Present","Sufficient","The observed behavior is detailed enough to understand that the Happy Ghast does not flip upside down when named, which is the core of the reported issue.","The report effectively captures the intended bug with clear steps, expected behavior, and observed behavior, making it a well-structured bug report.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V19_DevelopmentTuned_RulesV20","210","fp_3be5422b9d","5327","0","233","5560","0.00093885","2026-07-11T19:51:13","{
  ""issue_key"": ""MC-299966"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The steps provide a clear and actionable path to reproduce the bug, requiring only general Minecraft knowledge.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined and aligns with Minecraft mechanics, stating that the Happy Ghast should flip upside down when named 'Dinnerbone'.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is detailed enough to understand that the Happy Ghast does not flip upside down when named, which is the core of the reported issue.""
  },
  ""overall_reason"": ""The report effectively captures the intended bug with clear steps, expected behavior, and observed behavior, making it a well-structured bug report.""
}"
"MC-300025","Executable","Full rubric post-check: the interaction-entity summon, click, inspection, and result are explicit.","Not Assessed","Not Applicable","Not Applicable","Full rubric post-check: the interaction-entity summon, click, inspection, and result are explicit.","Present","Accurate","The expected behavior is clearly defined and aligns with the intended functionality of the interaction entity in Minecraft.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcomes of the bug, including the lack of interaction recognition and missing NBT data.","While the expected and observed behaviors are well-defined, the steps to reproduce contain incorrect command syntax, preventing the reproduction of the bug. Post-check: Full rubric post-check: the interaction-entity summon, click, inspection, and result are explicit.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V19_DevelopmentTuned_RulesV20","210","fp_3be5422b9d","5542","0","229","5771","0.00096870","2026-07-11T19:51:17","{
  ""issue_key"": ""MC-300025"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Wrong Information"",
    ""reason"": ""The commands in the steps to reproduce are incorrectly formatted and do not match the expected syntax for Minecraft commands, making execution impossible.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined and aligns with the intended functionality of the interaction entity in Minecraft.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is detailed enough to understand the specific outcomes of the bug, including the lack of interaction recognition and missing NBT data.""
  },
  ""overall_reason"": ""While the expected and observed behaviors are well-defined, the steps to reproduce contain incorrect command syntax, preventing the reproduction of the bug.""
}"
"MC-300388","Executable","The steps provide a clear and concrete path to reproduce the issue, detailing the setup, actions, and expected observations without requiring additional assumptions.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and concrete path to reproduce the issue, detailing the setup, actions, and expected observations without requiring additional assumptions.","Present","Accurate","The expected behavior is clearly defined, stating that aquatic mobs should spawn in artificial water, aligning with Minecraft mechanics.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug, clearly stating which mobs do not spawn in artificial water.","The report effectively captures the intended bug with clear steps, expected outcomes, and observed behaviors, making it actionable for reproduction.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V19_DevelopmentTuned_RulesV20","210","fp_3be5422b9d","5875","0","227","6102","0.00101745","2026-07-11T19:51:23","{
  ""issue_key"": ""MC-300388"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The steps provide a clear and concrete path to reproduce the issue, detailing the setup, actions, and expected observations without requiring additional assumptions.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined, stating that aquatic mobs should spawn in artificial water, aligning with Minecraft mechanics.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is detailed enough to understand the specific outcome of the bug, clearly stating which mobs do not spawn in artificial water.""
  },
  ""overall_reason"": ""The report effectively captures the intended bug with clear steps, expected outcomes, and observed behaviors, making it actionable for reproduction.""
}"
"MC-300395","Executable","The steps provide a clear and actionable path to reproduce the reported issue of block corruption in the game world.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the reported issue of block corruption in the game world.","Present","Accurate","The expected behavior clearly states that blocks should remain in their intended positions and that the game should not exhibit any corruption.","Present","Sufficient","The observed behavior is detailed and describes the specific outcomes of the block corruption, making it clear what the issue is.","The report effectively outlines the steps to reproduce the bug, the expected behavior, and the observed behavior, all of which align with the original intent of the bug report.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V19_DevelopmentTuned_RulesV20","210","fp_3be5422b9d","5606","0","228","5834","0.00097770","2026-07-11T19:51:28","{
  ""issue_key"": ""MC-300395"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The steps provide a clear and actionable path to reproduce the reported issue of block corruption in the game world.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior clearly states that blocks should remain in their intended positions and that the game should not exhibit any corruption.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is detailed and describes the specific outcomes of the block corruption, making it clear what the issue is.""
  },
  ""overall_reason"": ""The report effectively outlines the steps to reproduce the bug, the expected behavior, and the observed behavior, all of which align with the original intent of the bug report.""
}"
"MC-300408","Executable","The steps provide a clear and actionable sequence to reproduce the bug, including setup, actions, and expected observations that align with the original report.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable sequence to reproduce the bug, including setup, actions, and expected observations that align with the original report.","Present","Accurate","The expected behavior is clearly defined, stating that the order of chests opened should match the order in the golem's memory, which aligns with Minecraft's mechanics.","Present","Sufficient","The observed behavior is detailed enough to understand the discrepancies between the expected and actual outcomes, clearly describing the unexpected behavior of the Copper Golem.","The report effectively captures the intended bug with clear steps, expected and observed behaviors, making it actionable for reproduction.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V19_DevelopmentTuned_RulesV20","210","fp_3be5422b9d","6029","0","239","6268","0.00104775","2026-07-11T19:51:32","{
  ""issue_key"": ""MC-300408"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The steps provide a clear and actionable sequence to reproduce the bug, including setup, actions, and expected observations that align with the original report.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined, stating that the order of chests opened should match the order in the golem's memory, which aligns with Minecraft's mechanics.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is detailed enough to understand the discrepancies between the expected and actual outcomes, clearly describing the unexpected behavior of the Copper Golem.""
  },
  ""overall_reason"": ""The report effectively captures the intended bug with clear steps, expected and observed behaviors, making it actionable for reproduction.""
}"
"MC-300473","Non-Executable","Full rubric post-check: the invisible item-frame command uses invalid legacy syntax for the stated modern version.","Irreproducible","Not Applicable","Wrong Information","Full rubric post-check: the invisible item-frame command uses invalid legacy syntax for the stated modern version.","Present","Accurate","The expected behavior is clearly defined and aligns with Minecraft mechanics, stating that the player should be able to retrieve the invisible item frame without crashing.","Present","Sufficient","The observed behavior is detailed enough to understand that the game crashes when interacting with the invisible item frame after an update.","The report effectively captures the intended bug with clear steps, expected outcomes, and observed results, making it actionable for reproduction. Post-check: Full rubric post-check: the invisible item-frame command uses invalid legacy syntax for the stated modern version.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V19_DevelopmentTuned_RulesV20","210","fp_3be5422b9d","5749","0","223","5972","0.00099615","2026-07-11T19:51:37","{
  ""issue_key"": ""MC-300473"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The steps provide a clear and actionable sequence to reproduce the bug, requiring only general Minecraft knowledge.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined and aligns with Minecraft mechanics, stating that the player should be able to retrieve the invisible item frame without crashing.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is detailed enough to understand that the game crashes when interacting with the invisible item frame after an update.""
  },
  ""overall_reason"": ""The report effectively captures the intended bug with clear steps, expected outcomes, and observed results, making it actionable for reproduction."" 
}"
