timestamp,version,phase,row_index,total_rows,issue_key,status,prediction,reason,error_message,model,prompt_version,input_tokens,cached_input_tokens,output_tokens,total_tokens,cost_usd
2026-07-02T21:44:50,improved,full,1,139,MC-298921,valid_json,Executable,"The report provides clear and detailed steps to reproduce the issue, including specific actions to take in the game settings and the expected behavior when pressing the G key with the Ctrl key held down.",,gpt-4o-mini-2024-07-18,v2,1414,1280,65,1479,0.00015510
2026-07-02T21:44:58,improved,full,2,139,MC-299218,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including specific actions to take and the expected observations during the process.",,gpt-4o-mini-2024-07-18,v2,1229,1152,53,1282,0.00012975
2026-07-02T21:45:01,improved,full,3,139,MC-299342,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including the necessary setup, actions, and expected behavior.",,gpt-4o-mini-2024-07-18,v2,1596,1536,51,1647,0.00015480
2026-07-02T21:45:03,improved,full,4,139,MC-299897,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including specific actions to take and the expected outcomes, allowing another person to reasonably attempt to replicate the issue.",,gpt-4o-mini-2024-07-18,v2,2311,2176,61,2372,0.00022005
2026-07-02T21:45:05,improved,full,5,139,MC-299632,valid_json,Executable,"The report provides detailed steps to reproduce the issue, including specific commands and actions to take within the game, allowing another person to reasonably attempt to reproduce the bug.",,gpt-4o-mini-2024-07-18,v2,2357,2304,60,2417,0.00021675
2026-07-02T21:45:10,improved,full,6,139,MC-299909,valid_json,Executable,"The report provides clear and detailed steps to reproduce the issue, including specific actions to take in the Minecraft Launcher and the expected outcomes, allowing another person to reasonably attempt to reproduce the bug.",,gpt-4o-mini-2024-07-18,v2,1845,1792,65,1910,0.00018135
2026-07-02T21:45:12,improved,full,7,139,MC-299966,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including the necessary setup, actions, and expected outcomes.",,gpt-4o-mini-2024-07-18,v2,1387,1280,51,1438,0.00014265
2026-07-02T21:45:14,improved,full,8,139,MC-300025,valid_json,Executable,"The report provides clear and concrete steps to reproduce the bug, including specific commands and actions to take within the game.",,gpt-4o-mini-2024-07-18,v2,1671,1536,51,1722,0.00016605
2026-07-02T21:45:16,improved,full,9,139,MC-300031,valid_json,Executable,"The report provides clear and detailed steps to reproduce the issue, including the necessary context, actions, and expected outcomes.",,gpt-4o-mini-2024-07-18,v2,1697,1664,51,1748,0.00016035
2026-07-02T21:45:18,improved,full,10,139,MC-300033,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including specific commands, actions, and expected versus actual behavior.",,gpt-4o-mini-2024-07-18,v2,1836,1792,52,1888,0.00017220
2026-07-02T21:45:20,improved,full,11,139,MC-300107,valid_json,Executable,"The report provides clear steps to create Copper Golems and observe their behavior, allowing another person to reasonably attempt to reproduce the bug.",,gpt-4o-mini-2024-07-18,v2,1731,1664,55,1786,0.00016785
2026-07-02T21:45:23,improved,full,12,139,MC-300143,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including specific commands and actions to take within the game.",,gpt-4o-mini-2024-07-18,v2,1816,1792,51,1867,0.00016860
2026-07-02T21:45:25,improved,full,13,139,MC-300388,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including specific actions, setup, and expected outcomes, allowing another person to reasonably attempt to reproduce the issue.",,gpt-4o-mini-2024-07-18,v2,2054,1920,61,2115,0.00020070
2026-07-02T21:45:27,improved,full,14,139,MC-300395,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including specific actions to take within the game and observations to make regarding the corrupted blocks.",,gpt-4o-mini-2024-07-18,v2,1709,1664,57,1766,0.00016575
2026-07-02T21:45:30,improved,full,15,139,MC-300396,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including the necessary actions and expected outcomes.",,gpt-4o-mini-2024-07-18,v2,1741,1664,48,1789,0.00016515
2026-07-02T21:45:32,improved,full,16,139,MC-300408,valid_json,Executable,"The report provides detailed steps to reproduce the bug, including specific actions, commands, and expected outcomes, allowing another person to reasonably attempt to reproduce the issue.",,gpt-4o-mini-2024-07-18,v2,2176,2048,59,2235,0.00020820
2026-07-02T21:45:34,improved,full,17,139,MC-300409,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including the setup of a Zombified Piglin farm, the command to teleport Piglins, and the conditions under which the command block drop occurs.",,gpt-4o-mini-2024-07-18,v2,1600,1536,70,1670,0.00016680
