"Issue Key","Summary","Type","Affects Version/s","Labels","Confirmation Status","Category","Resolution","Fix Version/s","Description"
"MC-298921","ctrl + g","Bug","1.21.6","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","When attempting to hit the G key after the ctrl key is held down, minecraft does nothing with it. G used to be my drop key, but i have since rebound it to something else, and even rebound, if I hold ctrl and then attempt to click the G key, the G key doesn’t register. Without ctrl held, the G key works as intended\n\n"
"MC-299218","full screen bug","Bug","1.21.6; 1.21.7 Release Candidate 2","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","When turning the full screen on or off, the game freezes for a while, about five seconds, and then the jukebox goes silent, and I don't notice anything else.\n\n"
"MC-299342","hyper potions lava chicken music doesn't play","Bug","1.21.7","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","i played the “lava chicken” music disc on a jukebox, it plays but there is no audio, all of the volumes in the “Music & Sounds“ tab is all set to 100%, although, this ever happened with Amos Roddy - Tears but it got fixed in the 1.21.6 release, but this time, it didn’t get fixed in the 1.21.7 release\n\n"
"MC-299897","XP not increasing when using two Mending items – one in main hand, one in offhand","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","When holding two items with the Mending enchantment — one in the main hand (e.g. sword) and another in the offhand (e.g. pickaxe or shield) — XP stops increasing completely.\n\n\n\nEven if both items are at full durability and should not receive XP, the game seems to still prioritize XP repair logic and ""gets stuck"".\n\n\n\nThe XP does not go to the Mending items (because they’re full) nor to the player’s XP bar. It seems the game assigns the XP to both tools and never lets go.\n\n\n\n⚠️ Important notes:\n\n- The bug only triggers if the item used to **attack (like a sword)** has Mending.\n\n- After this, even removing the items doesn’t fix XP gain — it stays broken until you remove **all Mending items** from both hands and inventory.\n\n\n\n🎯 Reproduction Steps:\n\n1. Get two tools with Mending (e.g. sword and pickaxe).\n\n2. Hold sword in main hand and pickaxe in offhand.\n\n3. Kill mobs or collect XP orbs.\n\n4. XP does not go to player’s XP bar.\n\n5. Remove tools — XP still bugged unless all Mending items are gone.\n\n\n\n🧠 Theory:\n\nThe game prioritizes XP to both items. If both are full, it locks XP in a repair loop and blocks player progression.\n\n\n\nThis was tested in:\n\n- Minecraft Java Edition 1.21\n\n- Vanilla (no mods)\n\n- Survival and Creative\n\n- New and old worlds\n\n\n\nPlease fix this — XP is a vital mechanic and this bug can make worlds feel broken or corrupted.\n\n"
"MC-299632","NBT ""ArmorItems"" and ""HandItems""(maybe there are some other NBT) can't be used normally.","Bug","1.21.7","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","Sorry,I wrong.\n\n"
"MC-299909","Failed to load texture for profile","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","Cant load skin texture. Use vanilla. Skin selected in browser/launcher. After start play in singleplayer/multiplayer, after some time i got an error in console\n\n> `java.util.concurrent.CompletionException: java.io.UncheckedIOException: java.net.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond`\n> \n> \n\nhttp - protocol not work for downloading, replace it with httpsWhen try to download skin from java application with http - connection time out always, with https downloading process is done\n\n"
"MC-299966","Dinnerbone doesn't affect happy ghasts","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","I cant dinnerbone my happy ghast\n\n"
"MC-300025","Interactions can't be interacted","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","1. /summon interaction ~ ~ ~\n\n\n2. Right click to this interaction\n\n\n3. /data get entity @e[type=interaction, limit=1, sort=nearest]\n\n\n4. There is not a NBT “interaction”\n\n\n\n\n\n"
"MC-300031","vindicators not spawning on a raid","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","vindicators not spawning on raids for some reason, meaning no totems\n\nedit: this bug does not exist i just thought wrong\n\n"
"MC-300033","Item duplication with /item modify command","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","Steps to reproduce the issue:\n\n-place a repeating command block with this command:\n\nitem modify entity @a weapon.mainhand {""function"":""minecraft:set_damage"",""damage"": -0.001,""add"": true}\n\n-hold an item with more than 1000 max durability in your hand and it’s durability should start decreasing\n\n-open the inventory and hover the cursor on the slot with the item\n\n-repeatedly press the key to move the item to another slot and bring it back\n\n\n\nExpected result:\n\nthe item does not duplicate\n\n\n\nActual result:\n\neventually the item will duplicate\n\n"
"MC-300107","Oxidised Copper Golem doesn't turn into Oxidised Copper Golem Statue","Bug","25w31a","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","**Description:** Oxidised Copper Golem doesn't turn into Oxidised Copper Golem Statue\n\n**Ways to Reproduce:** Create a new creative world, and use the “Oxidised Copper Block” and “Carved Pumpking” items to create multiple Copper Golems\n\nAdditionally you can do /tick rate 400 or something like that (note: changing the randomtickspeed doesn’t affect Copper Golems and it is already reported as a bug)\n\n**Expected Result:** The Oxidised Copper Golems would become Oxidised Copper Golem Statues\n\n**Observed Result:** They don’t\n\n"
"MC-300143","game behaves as if the reducedDebugInfo gamerule was set to true even when it's false","Bug","25w31a","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","Most options in the F3+F5 screen are greyed out and say “Not visible when debug info is reduced” when I hover over the text.\n\nF3+B and F3+G also don’t work regardless of the gamerule.\n\n"
"MC-300388","mobs in spawners that spawn in water will only spawn in natural water","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","make a big box and fill it with water source blocks and put a spawner in the box then place a egg in the spawner that would need water to spawn if in the mob spawner\n\ni expected the mobs to spawn in the water\n\nsome of the mobs that need water to spawn from mob spawners will only spawn in naturally generated water but will not spawn in artificial water ex: axolotl, squid, tropical fish, cod but others ex: elder guardian, tadpole when placed in a mob spawner and in the water source box spawned in the artificial water\n\ni tried this in a superflat default world and a creative world in the lukewarm ocean and ice spikes biome\n\n"
"MC-300395","Corrupted blocks","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","My game world has been corrupted, and large blocks have been moved around, disrupting my builds.\n\nI already sent a debug request at the beginning of the month, but I haven’t heard back since they asked for debug file, so I enclose again, along with screenshots. I will attach debug folder contents.\n\nI would like this resolved, please. It took a long time to build, and it’s seriously damaged. Thank you!\n\n"
"MC-300396","status effects' duration continues to decrement while on pause screen in single player","Bug","25w31a","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","To reproduce, create a world, give yourself a status effect of a set duration, and pause the game for that duration. Once the duration has elapsed, unpause the game and check if the status effect is still applied.\n\nIt would be expected that the timer is paused when the game is paused. For example, drinking a potion and pausing the game should not consume the duration of that potion.\n\nCurrently, status effects' duration continue to decrement while on the pause screen in single player.\n\n"
"MC-300408","Copper Golem memory does not register checked blocks in a proper order","Bug","25w31a; 25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","1. Setup a line with 10 chests with any item\n\n\n2. Take notice of the coordinates of each chest\n\n\n3. Place a copper chest with an item that is not contained in any other chest\n\n\n4. Take notice of the order in which the golem open the chests\n\n\n5. Wait for the golem to open the last chest, then immediatly use /tick freeze\n\n\n6. Use /data get command to access the checked blocks list in the golem’s memory \n\n\n7. Compare the coordinates of the blocks in the list and the order observed in step 4\n\n\n\n\n\nExpected Result: the order of the list in the golem’s memory would be the same as the order in which it opend the chests.\n\nActual Result: the order os the list in the golem memories does not correspond to the order in which the chests were opend. \n\n\n\n"
"MC-300409","Piglin can rarely drop command block","Bug","25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When I working of Zombified Piglin farm with auto Piglin and Copper Golem sort system, /tp @e[type=piglin] ~ ~ ~ to magma block and wait it to die, then it dropped command block (this don’t contain any code)\n\nI don’t have any picture now, cuz this happend when piglin don’t have anything to trade with (maybe?)\n\n"
"MC-300420","Sprint Window slider shows useless values","Bug","25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","You cannot sprint by double-tapping W after setting the sprint window option to 1 or 2. It seems that this duration includes both movement start ticks (see attachment), which means that setting the option to 2 would require you to press W once in two consecutive ticks (which just gets interpreted as holding W), and setting it to 1 requires two presses within a single tick (impossible due to how the game registers inputs).\n\n"
"MC-300473","when an invisible item frame is given to the player using commands, then the game gets updated to a newer version, the game crashes.","Bug","25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","i made a invisible item frame using commands. it was in my inventory and when placed, seemed invisible. The item frame worked like a normal item frame. for some reason though, when i updated to the new snapshot (25w31a) clicking the item frame to put in my inventory crashed my game. i tried using a hotbar indicator, which worked. I could not fix the chest problem though.(this works in shulkers as well. \n\n\n\n"
"MC-300497","Ican not play the game if I use the Intel Driver","Bug","1.21.8; 25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Ican not play the game if I use the Intel Driver\n\n"
"MC-300515","endermans try teleporting when in boats","Bug","25w31a","None","Unconfirmed","(Unassigned)","Incomplete","None","endermans try to and make sounds of teleporting when in boats\n\n"
"MC-300516","pillager patrols spawn without a capitain","Bug","25w31a","None","Unconfirmed","(Unassigned)","Incomplete","None","no banner pillager is present in patrols\n\n"
"MC-300519","Eyes of Ender locate to the Nearest Mineshaft instead of Stronghold","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","The eyes on ender locate to the nearst Mineshaft instead of the typical stronghold on some specific seeds/environment (i didnt check sadly)\n\n"
"MC-300524","A bug where hostile mobs don't spawn in Realms.","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Hostile mobs do not spawn, or spawn very rarely, even at night. Changing the game difficulty to reset mob spawning doesn't help. The issue doesn't occur before the chunk is loaded, but once the chunk has been loaded, hostile mobs stop spawning completely.\n\n"
"MC-300526","After unpausing, Minecraft keeps fluctuating between 5 and 30 FPS and doesn't return to normal.","Bug","25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","I left the game paused for a while, and when I came back, the FPS was much lower and wouldn’t return to normal. This isn’t the first time it has happened in this snapshot.\n\n"
"MC-300527","There is a bug where 4 moon phases are over the sun and 4 moons below the sun","Bug","1.21.8; 25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","This has happened since some 1.21.6 snapshots and the official 1.21.6 update\n\n"
"MC-300529","Line divides the screen","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Every time I wake up from sleeping in bed, there is a line in the middle of the screen similar to a beacon. If I move, it disappears.\n\n"
"MC-300530","Inventory glitch","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Hi im Mug_of_pug there’s a bug when I open my Inv in 1.21.8 then exit it it goes away but sometimes I drag my mouse it pops up around the screen in the corner it happens to my friend also so im reporting this bug, it’s in bedrock also\n\n"
