issue_key,s2r_label,reason,status,model,prompt_version,input_tokens,cached_input_tokens,output_tokens,total_tokens,cost_usd,timestamp,raw_response
MC-298921,Executable,"The report provides clear and detailed steps to reproduce the issue, including specific actions to take in the game settings and the expected behavior when pressing the G key with the Ctrl key held down.",valid_json,gpt-4o-mini-2024-07-18,v2,1414,1280,65,1479,0.00015510,2026-07-02T21:44:50,"{
  ""issue_key"": ""MC-298921"",
  ""s2r_label"": ""Executable"",
  ""reason"": ""The report provides clear and detailed steps to reproduce the issue, including specific actions to take in the game settings and the expected behavior when pressing the G key with the Ctrl key held down.""
}"
MC-299218,Executable,"The report provides clear and detailed steps to reproduce the bug, including specific actions to take and the expected observations during the process.",valid_json,gpt-4o-mini-2024-07-18,v2,1229,1152,53,1282,0.00012975,2026-07-02T21:44:58,"{
  ""issue_key"": ""MC-299218"",
  ""s2r_label"": ""Executable"",
  ""reason"": ""The report provides clear and detailed steps to reproduce the bug, including specific actions to take and the expected observations during the process.""
}"
MC-299342,Executable,"The report provides clear and detailed steps to reproduce the bug, including the necessary setup, actions, and expected behavior.",valid_json,gpt-4o-mini-2024-07-18,v2,1596,1536,51,1647,0.00015480,2026-07-02T21:45:01,"{
  ""issue_key"": ""MC-299342"",
  ""s2r_label"": ""Executable"",
  ""reason"": ""The report provides clear and detailed steps to reproduce the bug, including the necessary setup, actions, and expected behavior.""
}"
MC-299897,Executable,"The report provides clear and detailed steps to reproduce the bug, including specific actions to take and the expected outcomes, allowing another person to reasonably attempt to replicate the issue.",valid_json,gpt-4o-mini-2024-07-18,v2,2311,2176,61,2372,0.00022005,2026-07-02T21:45:03,"{
  ""issue_key"": ""MC-299897"",
  ""s2r_label"": ""Executable"",
  ""reason"": ""The report provides clear and detailed steps to reproduce the bug, including specific actions to take and the expected outcomes, allowing another person to reasonably attempt to replicate the issue.""
}"
MC-299632,Executable,"The report provides detailed steps to reproduce the issue, including specific commands and actions to take within the game, allowing another person to reasonably attempt to reproduce the bug.",valid_json,gpt-4o-mini-2024-07-18,v2,2357,2304,60,2417,0.00021675,2026-07-02T21:45:05,"{
  ""issue_key"": ""MC-299632"",
  ""s2r_label"": ""Executable"",
  ""reason"": ""The report provides detailed steps to reproduce the issue, including specific commands and actions to take within the game, allowing another person to reasonably attempt to reproduce the bug.""
}"
MC-299909,Executable,"The report provides clear and detailed steps to reproduce the issue, including specific actions to take in the Minecraft Launcher and the expected outcomes, allowing another person to reasonably attempt to reproduce the bug.",valid_json,gpt-4o-mini-2024-07-18,v2,1845,1792,65,1910,0.00018135,2026-07-02T21:45:10,"{
  ""issue_key"": ""MC-299909"",
  ""s2r_label"": ""Executable"",
  ""reason"": ""The report provides clear and detailed steps to reproduce the issue, including specific actions to take in the Minecraft Launcher and the expected outcomes, allowing another person to reasonably attempt to reproduce the bug.""
}"
MC-299966,Executable,"The report provides clear and detailed steps to reproduce the bug, including the necessary setup, actions, and expected outcomes.",valid_json,gpt-4o-mini-2024-07-18,v2,1387,1280,51,1438,0.00014265,2026-07-02T21:45:12,"{
  ""issue_key"": ""MC-299966"",
  ""s2r_label"": ""Executable"",
  ""reason"": ""The report provides clear and detailed steps to reproduce the bug, including the necessary setup, actions, and expected outcomes.""
}"
MC-300025,Executable,"The report provides clear and concrete steps to reproduce the bug, including specific commands and actions to take within the game.",valid_json,gpt-4o-mini-2024-07-18,v2,1671,1536,51,1722,0.00016605,2026-07-02T21:45:14,"{
  ""issue_key"": ""MC-300025"",
  ""s2r_label"": ""Executable"",
  ""reason"": ""The report provides clear and concrete steps to reproduce the bug, including specific commands and actions to take within the game.""
}"
MC-300031,Executable,"The report provides clear and detailed steps to reproduce the issue, including the necessary context, actions, and expected outcomes.",valid_json,gpt-4o-mini-2024-07-18,v2,1697,1664,51,1748,0.00016035,2026-07-02T21:45:16,"{
  ""issue_key"": ""MC-300031"",
  ""s2r_label"": ""Executable"",
  ""reason"": ""The report provides clear and detailed steps to reproduce the issue, including the necessary context, actions, and expected outcomes.""
}"
MC-300033,Executable,"The report provides clear and detailed steps to reproduce the bug, including specific commands, actions, and expected versus actual behavior.",valid_json,gpt-4o-mini-2024-07-18,v2,1836,1792,52,1888,0.00017220,2026-07-02T21:45:18,"{
  ""issue_key"": ""MC-300033"",
  ""s2r_label"": ""Executable"",
  ""reason"": ""The report provides clear and detailed steps to reproduce the bug, including specific commands, actions, and expected versus actual behavior.""
}"
