Metric,Value
Version,raw
Phase,full
Model,gpt-4o-mini-2024-07-18
Prompt version,v2
Prediction file,C:\Users\mayum\Desktop\SWT301\SWT301_SE1925_G6\Results\Raw\full_llm_output_raw.csv
Ground truth file,C:\Users\mayum\Desktop\SWT301\SWT301_SE1925_G6\Data\Raw\full_ground_truth_raw.csv
Total prediction rows,139
Valid JSON outputs,139
Valid label predictions,139
Ground truth cases,139
Matched cases,139
Evaluated cases,139
Missing predictions,0
Extra predictions,0
Correct,102
Incorrect,37
Accuracy,0.7338
Cohen Kappa,0.3358
Kappa threshold,0.70
Threshold passed,False
GT Executable -> LLM Executable,20
GT Executable -> LLM Non-Executable,20
GT Non-Executable -> LLM Executable,17
GT Non-Executable -> LLM Non-Executable,82
Total input tokens,85750
Total cached input tokens,0
Total output tokens,8719
Total tokens,94469
Total cost USD,0.01809390
