"BUG-ID","S2R Label","S2R Irrep Category","Reason","OB Category","OB Label","Reason","EB Category","EB Label","Reason"
"MC-300962 Raw","Executable","","","Present","Sufficient","","Present","Accurate","normally written"
"MC-299218 Raw","Non-Executable","Missing Information","does not include anything about steps onyl written behaviours no any pipeline","Present","Sufficient","","Not Present","","no such argument like sound expected etc "
"MC-301018 Raw","Non-Executable","Missing Information","Does not tell how to pause game.","Present","Insufficient","It's ambiguous what is meant by ""only pausing the game,"" and it is unclear overall.","Not Present","",""
"MC-300634 Raw","Non-Executable","Missing Information","Missing how to locate and structure the trapdoor and a staircase.","Present","Insufficient","Can not understand from lag aur hang. Wrong English can not be understood.","Not Present","",""
"MC-299909 Raw","Executable","","","Present","Sufficient","","Not Present","",""
"MC-300861 Raw","Non-Executable","Ambiguous Information","which block","Present","Sufficient","","Not Present","",""
"MC-300776 Raw","Executable","","","Present","Sufficient","","Present","Inaccurate","Those are feature requests, not the expected behavior of the game mechanics"
"MC-300107 Raw","Executable","","","Present","Sufficient","","Present","Inaccurate",""
"MC-300598 Raw","Non-Executable","Missing Information","Statement contradictory. Burning the fire animation and demage animation","Present","Sufficient","","Not Present","",""
"MC-300539 Raw","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-301151 Raw","Executable","","","Present","Sufficient","","Not Present","",""
"MC-300562 Raw","Executable","","Steps can be extracted by humans by reviewing the description.","Present","Sufficient","","Present","Accurate",""
"MC-300836 Raw","Executable","","","Present","Sufficient","","Not Present","",""
"MC-300033 Raw","Non-Executable","Missing Information","missing information regarding red stone","Present","Sufficient","","Present","Accurate",""
"MC-300774 Raw","Non-Executable","Missing Information","Missing steps about dicord","Present","Insufficient","How does the error occur? Just stuck is insufficent","Not Present","",""
"MC-300409 Raw","Non-Executable","Wrong Information","Magma Does Not Demage Zombified Piglin","Present","Sufficient","","Not Present","",""
"MC-300891 Raw","Non-Executable","Missing Information","How to check the block state is missing.","Present","Insufficient","Red stone comparative missing. Should be spesified while writing blockstate.","Not Present","",""
"MC-300737 Raw","Non-Executable","Missing Information","can not apply from the game. it is code base","Present","Insufficient","can not apply from the game. it is code base","Not Present","",""
"MC-301132 Raw","Non-Executable","Missing Information","Which item. Block positioning unclear. Also misisng how to generate this enviornment that you can not reach the block.","Present","Sufficient","","Not Present","",""
"MC-300420 Raw","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-301221 Raw","Non-Executable","Missing Information","Missing critical information.","Present","Sufficient","","Present","Accurate",""
"MC-300973 Raw","Non-Executable","Missing Information","How to make copper golem missing.","Present","Insufficient","The ambiguous statement ""oxidize not working"" or ""golem"" needs clarification.","Not Present","",""
"MC-301125 Raw","Non-Executable","Missing Information","Just OB written no consecutive steps can be understood.","Present","Insufficient","You can not mine a block in adventure. ","Not Present","",""
"MC-301203 Raw","Non-Executable","Missing Information","","Present","Sufficient","","Not Present","",""
"MC-300031 Raw","Non-Executable","Missing Information","There are not reproduction information even from beggining","Present","Insufficient","there is no bug creates misleading","Not Present","",""
"MC-301159 Raw","Non-Executable","Missing Information","","Present","Insufficient","Video observations should be described clearly.","Not Present","",""
