"Metric","Value"
"Version","improved"
"Phase","development"
"Model","gpt-4o-mini-2024-07-18"
"Prompt version","Prompts_Improved_Final_V19_DevelopmentTuned_RulesV20"
"Prediction file","C:\Users\mayum\Desktop\SWT301\SWT301_SE1925_G6\Results\Full\Development\Improved\development_llm_output_improved.csv"
"Ground truth file","C:\Users\mayum\Desktop\SWT301\SWT301_SE1925_G6\Data\Full\Development\Improved\development_ground_truth_improved.csv"
"Total prediction rows","75"
"Valid JSON outputs","75"
"Valid label predictions","75"
"Ground truth cases","75"
"Matched cases","75"
"Evaluated cases","75"
"Missing predictions","0"
"Extra predictions","0"
"Invalid labels","0"
"Mismatches","6"
"Correct","69"
"Incorrect","6"
"Accuracy","0.9200"
"Cohen Kappa","0.8085"
"Kappa threshold","0.70"
"Threshold passed","True"
"Kappa band","Good agreement (0.80 <= Kappa < 1.00)"
"Kappa interpretation","Good agreement. The predefined Cohen Kappa threshold has been exceeded."
"GT Executable -> LLM Executable","50"
"GT Executable -> LLM Non-Executable","0"
"GT Non-Executable -> LLM Executable","6"
"GT Non-Executable -> LLM Non-Executable","19"
"Total input tokens","418338"
"Total cached input tokens","5376"
"Total output tokens","17083"
"Total tokens","435421"
"Total cost USD","0.07259730"
