"BUG-ID","S2R Label","S2R Irrep Category","Reason","OB Category","OB Label","Reason_2","EB Category","EB Label","Reason_3"
"MC-298921 Raw","Non-Executable","Missing Information","There is a missing step related to menu operations to switching  the g key to trigger different action","Present","Sufficient","","Not Present","",""
"MC-299342 Raw","Non-Executable","Missing Information","There is a missing step related to spawning a jukebox","Present","Sufficient","","Not Present","",""
"MC-299897 Raw","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-299632 Raw","Non-Executable","Missing Information","No Description provided by user","Not Present","","","Not Present","",""
"MC-299966 Raw","Non-Executable","Missing Information","No steps explained by the user, example of an OB only","Present","Sufficient","","Not Present","",""
"MC-300025 Raw","Executable","","","Present","Sufficient","","Not Present","",""
"MC-300388 Raw","Non-Executable","Ambiguous Information","Not understandable. Does not include a step-by-step pipeline. Also does not spesify the box sizes.","Present","Insufficient","Missing Information, too vague about the mobs, which are where. Hard to identify from the full description. The mobs to spawn in the water","Present","Accurate",""
"MC-300395 Raw","Non-Executable","Ambiguous Information","phrases like make a big box","Present","Sufficient","","Not Present","",""
"MC-300408 Raw","Non-Executable","Ambiguous Information","Items to be put in chest leading ambiguity","Present","Sufficient","","Present","Accurate",""
"MC-300473 Raw","Non-Executable","Missing Information","Lack of Commands","Present","Sufficient","","Not Present","",""
"MC-300497 Raw","Non-Executable","Ambiguous Information","I cannot play the game?","Present","Insufficient","to weak"" I cannot play the game""","Not Present","",""
"MC-300519 Raw","Non-Executable","Missing Information","Missing all core steps to reproduce the bug","Present","Sufficient","","Present","Accurate",""
"MC-300524 Raw","Non-Executable","Missing Information","Steps to detect changes after chunk loading are missing","Present","Sufficient","","Not Present","",""
"MC-300526 Raw","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300529 Raw","Executable","","","Present","Sufficient","","Not Present","",""
"MC-300535 Raw","Executable","","","Present","Sufficient","","Not Present","",""
"MC-300546 Raw","Non-Executable","Missing Information","Lacks instructions how to start a raid","Present","Sufficient","","Not Present","",""
"MC-300574 Raw","Non-Executable","Missing Information","Description not involves possible steps to observe the bug","Present","Insufficient","Really short, not detailed explanation to fully understand the observed bug","Not Present","",""
"MC-300599 Raw","Non-Executable","Missing Information","Does not include any information about how to generate flying machine","Present","Insufficient","Some parts require an assumption. Which blocks","Not Present","",""
"MC-300602 Raw","Non-Executable","Missing Information","Deos lake is inside the cave. Which tree are you are talking about?","Present","Insufficient","Which tree growing up. Need specification","Not Present","",""
"MC-300611 Raw","Non-Executable","Missing Information","No steps related to spawning zombies","Present","Sufficient","","Not Present","",""
"MC-300612 Raw","Non-Executable","Missing Information","No reproducible steps specified","Present","Sufficient","","Present","Accurate",""
"MC-300614 Raw","Executable","","","Present","Sufficient","","Not Present","",""
"MC-300618 Raw","Non-Executable","Missing Information","No external steps specified by the user regarding the reproduction","Present","Sufficient","","Not Present","",""
"MC-300647 Raw","Non-Executable","Ambiguous Information","No any steps tried to make tourch","Present","Insufficient","so weak sentence","Not Present","",""
"MC-300649 Raw","Non-Executable","Missing Information","how do I create the resource pack","Present","Sufficient","","Present","Accurate",""
"MC-300659 Raw","Non-Executable","Missing Information","","Present","Insufficient","The game is missing from where it was purchased.","Not Present","",""
"MC-300683 Raw","Non-Executable","Wrong Information","When UI is opened, it is impossible to click on block","Present","Insufficient","Just written game crash","Not Present","",""
"MC-300715 Raw","Non-Executable","Missing Information","How to make ender dragon is missing.","Present","Sufficient","","Present","Accurate",""
"MC-300731 Raw","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300736 Raw","Non-Executable","Missing Information","How to make skeleton is not described","Present","Sufficient","","Present","Accurate",""
"MC-300760 Raw","Non-Executable","Missing Information","Missing Information about realms list","Present","Sufficient","","Present","Accurate",""
"MC-300761 Raw","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300789 Raw","Executable","","","Present","Sufficient","","Not Present","",""
"MC-300792 Raw","Executable","","","Present","Sufficient","","Not Present","",""
"MC-300793 Raw","Non-Executable","Missing Information","How to go to end city is not mentioned like portal opening etc","Present","Sufficient","","Not Present","",""
"MC-300807 Raw","Non-Executable","Ambiguous Information","Run which data generator, how?","Present","Sufficient","","Present","Accurate",""
"MC-300815 Raw","Non-Executable","Missing Information","Does not tell how to generate soul lantern","Present","Sufficient","","Not Present","",""
"MC-300843 Raw","Non-Executable","Missing Information","Does not tell anything multiplayer settings","Present","Sufficient","","Not Present","",""
"MC-300844 Raw","Non-Executable","Missing Information","No steps for reproducing or spawn","Present","Sufficient","","Present","Accurate",""
"MC-300845 Raw","Executable","","","Present","Insufficient","Need specifications","Not Present","",""
"MC-300874 Raw","Executable","","","Present","Sufficient","","Not Present","",""
"MC-300875 Raw","Non-Executable","Missing Information","Does not mention Piglin Brutes","Present","Sufficient","","Not Present","",""
"MC-300876 Raw","Non-Executable","Missing Information","Missing information about how to crreate spesific world","Present","Sufficient","","Not Present","",""
"MC-300902 Raw","Non-Executable","Missing Information","Missing the initial steps","Present","Sufficient","","Not Present","",""
"MC-300903 Raw","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300905 Raw","Non-Executable","Missing Information","does not tell how to locate hoppers","Present","Sufficient","","Not Present","","Not explicitly written"
"MC-300925 Raw","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300927 Raw","Non-Executable","","does not tell details about the changes","Present","Sufficient","","Not Present","","This can be understood from the inability to switch modes, although it is not explicitly stated."
"MC-300934 Raw","Executable","","","Present","Sufficient","","Not Present","",""
"MC-300935 Raw","Non-Executable","Wrong Information","Item names, places are not correct the insertion places are not correct (above should be below)","Present","Insufficient","A Redstone Torch on the side of a block cannot power a block that is above it","Present","Inaccurate","A Redstone Torch on the side of a block cannot power a block that is above it"
"MC-300937 Raw","Non-Executable","Missing Information","Need an assumption because of the wrong name of a block.","Present","Sufficient","","Not Present","",""
"MC-300943 Raw","Non-Executable","Missing Information","deos not tell which options are clicked.","Present","Sufficient","","Not Present","",""
"MC-300957 Raw","Non-Executable","Missing Information","Needs some steps that says move around etc.","Present","Sufficient","","Not Present","",""
"MC-300998 Raw","Non-Executable","Missing Information","not present","Not Present","","","Not Present","",""
"MC-301045 Raw","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-301046 Raw","Non-Executable","Missing Information","How to install is missing. What to install is missing.","Present","Sufficient","","Not Present","",""
"MC-301052 Raw","Non-Executable","Missing Information","Instructions for installing and accessing the missing pack are needed. The specifications for the ambiguous Festive Mash-Up Pack are also unknown.","Present","Sufficient","","Present","Accurate",""
"MC-301059 Raw","Executable","","","Present","Sufficient","","Not Present","",""
"MC-301073 Raw","Executable","","","Present","Sufficient","","Not Present","",""
"MC-301076 Raw","Non-Executable","Missing Information","Can not understood too vague","Present","Insufficient","Too ambiguis can not be understand","Not Present","",""
"MC-301106 Raw","Non-Executable","Missing Information","no steps provided","Present","Sufficient","","Not Present","",""
"MC-301109 Raw","Non-Executable","Ambiguous Information","vague phrases so much item","Present","Insufficient","duplication not provided","Not Present","",""
"MC-301111 Raw","Non-Executable","Missing Information","needs specification portal or portal frame","Present","Insufficient","has ambuguity portal or portal frame","Present","Inaccurate",""
"MC-301117 Raw","Non-Executable","Ambiguous Information","Messing with commands is a vague phrase","Present","Insufficient","What does ""Apply upwards the head"" mean visually? What does ""Easter Egg applied"" mean","Not Present","",""
"MC-301131 Raw","Non-Executable","Missing Information","No steps for reproduction","Present","Sufficient","","Not Present","",""
"MC-301141 Raw","Non-Executable","Ambiguous Information","""does not occur everywhere"" those type of sentences","Present","Insufficient","""does not occur everywhere"" those type of sentences","Not Present","",""
"MC-301170 Raw","Non-Executable","Missing Information","No step cluster can be distinguished; it is not obvious.","Present","Sufficient","","Not Present","",""
"MC-301171 Raw","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-301173 Raw","Executable","","","Present","Sufficient","","Not Present","",""
"MC-301176 Raw","Non-Executable","","There are missing steps regarding how to change or obtain skins.","Present","Sufficient","","Not Present","",""
"MC-301183 Raw","Non-Executable","Missing Information","Missing step related to spawn a happy ghast and how to lead","Present","Sufficient","","Not Present","",""
"MC-301202 Raw","Non-Executable","Missing Information","no steps","Present","Sufficient","","Not Present","",""
"MC-301205 Raw","Non-Executable","Missing Information","How the computers changed is insuficent","Present","Sufficient","","Not Present","",""
"MC-301222 Raw","Non-Executable","Missing Information","Missing critical information.","Present","Sufficient","","Not Present","",""
