"Metric","Raw","Improved","Difference Improved - Raw"
"Version","raw","improved",""
"Phase","pilot","pilot",""
"Model","gpt-4o-mini-2024-07-18","gpt-4o-mini-2024-07-18",""
"Prompt version","Prompts_Raw_Final_V10_PilotCandidate","Prompts_Improved_Final_V18_PilotCandidate",""
"Total prediction rows","26","26","0"
"Valid JSON outputs","26","26","0"
"Valid label predictions","26","26","0"
"Ground truth cases","26","26","0"
"Matched cases","26","26","0"
"Evaluated cases","26","26","0"
"Missing predictions","0","0","0"
"Extra predictions","0","0","0"
"Invalid labels","0","0","0"
"Mismatches","1","0","-1"
"Correct","25","26","1"
"Incorrect","1","0","-1"
"Accuracy","0.9615","1.0000","0.0385"
"Cohen Kappa","0.9202","1.0000","0.0798"
"Kappa threshold","0.70","0.70","0.0000"
"Threshold passed","True","True",""
"GT Executable -> LLM Executable","10","19","9"
"GT Executable -> LLM Non-Executable","0","0","0"
"GT Non-Executable -> LLM Executable","1","0","-1"
"GT Non-Executable -> LLM Non-Executable","15","7","-8"
"Total input tokens","62628","129165","66537"
"Total cached input tokens","0","0","0"
"Total output tokens","5853","5902","49"
"Total tokens","68481","135067","66586"
"Total cost USD","0.01290600","0.02291595","0.01000995"

"Interpretation","Value","Note"
"Accuracy change","0.0385","Improved accuracy minus Raw accuracy"
"Cohen Kappa change","0.0798","Improved Cohen Kappa minus Raw Cohen Kappa"
"Mismatch change","-1","Improved mismatches minus Raw mismatches"
"Invalid label change","0","Improved invalid labels minus Raw invalid labels"
"Cost change USD","0.01000995","Improved cost minus Raw cost"
"Conclusion","Improved reached the target Cohen Kappa threshold.","Threshold: Cohen Kappa >= 0.70"
