"timestamp","version","phase","row_index","total_rows","issue_key","status","prediction","reason","s2r_reproducibility","s2r_validity","s2r_failure_type","expected_behavior_presence","expected_behavior_quality","observed_behavior_presence","observed_behavior_quality","error_message","model","prompt_version","input_tokens","cached_input_tokens","output_tokens","total_tokens","cost_usd"
"2026-07-10T16:09:08","raw","full","1","139","MC-298921","valid_json","Non-Executable","The report does not specify the exact context or settings under which the Ctrl + G key combination is being used, making it unclear how to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1848","0","227","2075","0.00041340"
"2026-07-10T16:09:20","raw","full","2","139","MC-299218","valid_json","Non-Executable","The report does not specify how to trigger the full screen toggle or the state of the game before the action, making it unclear how to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1821","0","230","2051","0.00041115"
"2026-07-10T16:09:24","raw","full","3","139","MC-299342","valid_json","Executable","The report provides enough information about the action (playing the 'lava chicken' music disc on a jukebox) and the observed behavior (no audio despite volume settings being at 100%) to attempt reproduction.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1864","0","228","2092","0.00041640"
"2026-07-10T16:09:30","raw","full","4","139","MC-299897","valid_json","Executable","The report provides a clear description of the actions needed to reproduce the bug, including the specific items and conditions required.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","2168","0","216","2384","0.00045480"
"2026-07-10T16:09:35","raw","full","5","139","MC-299632","valid_json","Non-Executable","The report does not provide any specific actions or context to reproduce the issue with NBT 'ArmorItems' and 'HandItems'.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Not Present","Not Applicable","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1799","0","208","2007","0.00039465"
"2026-07-10T16:09:39","raw","full","6","139","MC-299909","valid_json","Non-Executable","The report describes a symptom (failed to load skin texture) but lacks specific details on how to trigger the issue, such as the exact steps taken before the error occurs.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1906","0","237","2143","0.00042810"
"2026-07-10T16:09:44","raw","full","7","139","MC-299966","valid_json","Non-Executable","The report does not specify how to trigger the 'dinnerbone' effect on the happy ghast, making it unclear how to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1787","0","241","2028","0.00041265"
"2026-07-10T16:09:48","raw","full","8","139","MC-300025","valid_json","Non-Executable","The report does not specify how to trigger the interaction or the context in which it should occur, making it unclear how to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1840","0","219","2059","0.00040740"
"2026-07-10T16:09:53","raw","full","9","139","MC-300031","valid_json","Non-Executable","The report does not provide specific details on how to trigger the raid or the conditions under which vindicators should spawn.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1806","0","210","2016","0.00039690"
"2026-07-10T16:09:57","raw","full","10","139","MC-300033","valid_json","Executable","The report provides a clear sequence of actions to reproduce the item duplication issue using the /item modify command.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1913","0","217","2130","0.00041715"
"2026-07-10T16:10:01","raw","full","11","139","MC-300107","valid_json","Executable","The report provides a clear method to create Copper Golems and indicates the expected transformation into statues, making it actionable.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1917","0","224","2141","0.00042195"
"2026-07-10T16:10:05","raw","full","12","139","MC-300143","valid_json","Executable","The report provides enough information about the observed behavior and the context in which it occurs, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1841","0","226","2067","0.00041175"
"2026-07-10T16:10:08","raw","full","13","139","MC-300388","valid_json","Executable","The report provides a clear description of the setup and the expected behavior, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1931","0","205","2136","0.00041265"
"2026-07-10T16:10:12","raw","full","14","139","MC-300395","valid_json","Non-Executable","The report describes a symptom of corrupted blocks but does not provide specific details on how to trigger or reproduce the issue.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1866","0","206","2072","0.00040350"
"2026-07-10T16:10:16","raw","full","15","139","MC-300396","valid_json","Executable","The report provides a clear method to reproduce the bug by describing the actions needed to test the status effect duration while the game is paused.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1887","0","239","2126","0.00042645"
"2026-07-10T16:10:20","raw","full","16","139","MC-300408","valid_json","Executable","The report provides a clear sequence of actions to reproduce the bug, detailing the setup and commands needed.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1994","0","222","2216","0.00043230"
"2026-07-10T16:10:24","raw","full","17","139","MC-300409","valid_json","Non-Executable","The report lacks critical details on how to consistently trigger the command block drop from the piglin.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1861","0","201","2062","0.00039975"
"2026-07-10T16:10:27","raw","full","18","139","MC-300420","valid_json","Executable","The report provides a clear description of the intended bug behavior and the actions required to reproduce it, specifically regarding the sprint window settings and their effect on sprinting.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1865","0","250","2115","0.00042975"
"2026-07-10T16:10:31","raw","full","19","139","MC-300473","valid_json","Non-Executable","The report lacks specific details on how to create the invisible item frame and the exact commands used, making it unclear how to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1891","0","235","2126","0.00042465"
"2026-07-10T16:10:35","raw","full","20","139","MC-300497","valid_json","Non-Executable","The report does not specify how the Intel Driver is being used or what specific actions lead to the inability to play the game.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Insufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1802","0","216","2018","0.00039990"
"2026-07-10T16:10:39","raw","full","21","139","MC-300515","valid_json","Non-Executable","The report does not specify how to trigger the teleportation behavior of endermen in boats, making it unclear how to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1794","0","227","2021","0.00040530"
"2026-07-10T16:10:43","raw","full","22","139","MC-300516","valid_json","Non-Executable","The report does not specify how to trigger the patrols or the conditions under which they spawn, making it unclear how to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1789","0","235","2024","0.00040935"
"2026-07-10T16:10:48","raw","full","23","139","MC-300519","valid_json","Non-Executable","The report lacks specific details about the seeds or environments where the bug occurs, making it unclear how to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1816","0","218","2034","0.00040320"
"2026-07-10T16:10:52","raw","full","24","139","MC-300524","valid_json","Executable","The report provides a clear description of the bug behavior, including the conditions under which hostile mobs do not spawn, making it actionable for testing.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1833","0","224","2057","0.00040935"
"2026-07-10T16:10:56","raw","full","25","139","MC-300526","valid_json","Executable","The report provides enough information about the main action (unpausing the game) and the observed behavior (fluctuating FPS) to attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1832","0","221","2053","0.00040740"
"2026-07-10T16:11:00","raw","full","26","139","MC-300527","valid_json","Non-Executable","The report does not specify how to trigger the bug or the specific conditions under which the moon phases appear over and below the sun.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1820","0","216","2036","0.00040260"
"2026-07-10T16:11:05","raw","full","27","139","MC-300529","valid_json","Executable","The report provides a clear description of the bug occurring after waking up from sleeping in bed, which allows for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1808","0","222","2030","0.00040440"
"2026-07-10T16:11:08","raw","full","28","139","MC-300530","valid_json","Non-Executable","The report lacks specific details on how to consistently trigger the inventory glitch, making it unclear how to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1834","0","234","2068","0.00041550"
"2026-07-10T16:11:12","raw","full","29","139","MC-300535","valid_json","Executable","The report provides a detailed description of the bug behavior and specific cases, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","2127","0","200","2327","0.00043905"
"2026-07-10T16:11:16","raw","full","30","139","MC-300539","valid_json","Executable","The report provides a clear description of how to reproduce the bug by creating a world and waiting for night, which allows for an attempt to verify the bug.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1880","0","246","2126","0.00042960"
"2026-07-10T16:11:21","raw","full","31","139","MC-300546","valid_json","Non-Executable","The report does not specify how to trigger the spawning of pillagers or the conditions under which they are passive.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1804","0","212","2016","0.00039780"
"2026-07-10T16:11:28","raw","full","32","139","MC-300562","valid_json","Executable","The report provides a clear description of the bug behavior involving the Ender Dragon and arrow velocity, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","2092","0","228","2320","0.00045060"
"2026-07-10T16:11:33","raw","full","33","139","MC-300572","valid_json","Executable","The report provides a clear description of the intended behavior and the observed behavior, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1858","0","206","2064","0.00040230"
"2026-07-10T16:11:40","raw","full","34","139","MC-300574","valid_json","Non-Executable","The report does not specify how to trigger the zombies standing still on a campfire, lacking critical setup details.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1784","0","201","1985","0.00038820"
"2026-07-10T16:11:43","raw","full","35","139","MC-300598","valid_json","Non-Executable","The report describes a symptom (fire animation on mobs) but does not provide a clear method to trigger or reproduce the issue.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1795","0","211","2006","0.00039585"
"2026-07-10T16:11:47","raw","full","36","139","MC-300599","valid_json","Non-Executable","The report does not specify how to trigger the cloning of the flying machine or the specific conditions under which the issue occurs.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1811","0","218","2029","0.00040245"
"2026-07-10T16:11:51","raw","full","37","139","MC-300602","valid_json","Non-Executable","The report describes trees growing in water but lacks specific details on how to trigger this behavior or the conditions under which it occurs.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1797","0","211","2008","0.00039615"
"2026-07-10T16:11:55","raw","full","38","139","MC-300607","valid_json","Executable","The report provides enough detail about the conditions under which the bug occurs, including the types of mobs spawning and the darkness of the world, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","2045","0","242","2287","0.00045195"
"2026-07-10T16:11:59","raw","full","39","139","MC-300611","valid_json","Executable","The report provides a clear description of the bug behavior, indicating that zombie piglins are spawning excessively around the nether portal in the overworld, which allows for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1851","0","228","2079","0.00041445"
