"timestamp","version","phase","row_index","total_rows","issue_key","status","prediction","reason","s2r_reproducibility","s2r_validity","s2r_failure_type","expected_behavior_presence","expected_behavior_quality","observed_behavior_presence","observed_behavior_quality","error_message","model","prompt_version","seed","system_fingerprint","input_tokens","cached_input_tokens","output_tokens","total_tokens","cost_usd"
"2026-07-11T19:50:48","improved","development","1","75","MC-298921","valid_json","Executable","The steps provide a clear and actionable path to reproduce the issue, requiring only general game knowledge.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V19_DevelopmentTuned_RulesV20","210","fp_3be5422b9d","5431","5376","209","5640","0.00053685"
"2026-07-11T19:50:54","improved","development","2","75","MC-299342","valid_json","Executable","Full rubric post-check: the source, insertion action, and failure to begin audio are explicit.","Not Assessed","Not Applicable","Not Applicable","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V19_DevelopmentTuned_RulesV20","210","fp_3be5422b9d","5550","0","221","5771","0.00096510"
"2026-07-11T19:50:59","improved","development","3","75","MC-299897","valid_json","Executable","The steps provide a clear and actionable sequence to reproduce the bug, requiring only general Minecraft knowledge.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V19_DevelopmentTuned_RulesV20","210","fp_3be5422b9d","6351","0","210","6561","0.00107865"
"2026-07-11T19:51:07","improved","development","4","75","MC-299632","valid_json","Non-Executable","The steps to reproduce do not clearly establish the central trigger or state needed to reproduce the issue with the NBT tags, as they focus on modifying items without confirming the initial state of the player's data.","Irreproducible","Not Applicable","Missing Information","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V19_DevelopmentTuned_RulesV20","210","fp_3be5422b9d","5830","0","264","6094","0.00103290"
"2026-07-11T19:51:13","improved","development","5","75","MC-299966","valid_json","Executable","The steps provide a clear and actionable path to reproduce the bug, requiring only general Minecraft knowledge.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V19_DevelopmentTuned_RulesV20","210","fp_3be5422b9d","5327","0","233","5560","0.00093885"
"2026-07-11T19:51:17","improved","development","6","75","MC-300025","valid_json","Executable","Full rubric post-check: the interaction-entity summon, click, inspection, and result are explicit.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V19_DevelopmentTuned_RulesV20","210","fp_3be5422b9d","5542","0","229","5771","0.00096870"
"2026-07-11T19:51:23","improved","development","7","75","MC-300388","valid_json","Executable","The steps provide a clear and concrete path to reproduce the issue, detailing the setup, actions, and expected observations without requiring additional assumptions.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V19_DevelopmentTuned_RulesV20","210","fp_3be5422b9d","5875","0","227","6102","0.00101745"
"2026-07-11T19:51:28","improved","development","8","75","MC-300395","valid_json","Executable","The steps provide a clear and actionable path to reproduce the reported issue of block corruption in the game world.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V19_DevelopmentTuned_RulesV20","210","fp_3be5422b9d","5606","0","228","5834","0.00097770"
"2026-07-11T19:51:32","improved","development","9","75","MC-300408","valid_json","Executable","The steps provide a clear and actionable sequence to reproduce the bug, including setup, actions, and expected observations that align with the original report.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V19_DevelopmentTuned_RulesV20","210","fp_3be5422b9d","6029","0","239","6268","0.00104775"
"2026-07-11T19:51:37","improved","development","10","75","MC-300473","valid_json","Non-Executable","Full rubric post-check: the invisible item-frame command uses invalid legacy syntax for the stated modern version.","Irreproducible","Not Applicable","Wrong Information","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V19_DevelopmentTuned_RulesV20","210","fp_3be5422b9d","5749","0","223","5972","0.00099615"
