Metric,Value
Version,improved
Phase,full
Model,gpt-4o-mini-2024-07-18
Prompt version,v2
Prediction file,C:\Users\mayum\Desktop\SWT301\SWT301_SE1925_G6\Results\Improved\full_llm_output_improved.csv
Ground truth file,C:\Users\mayum\Desktop\SWT301\SWT301_SE1925_G6\Data\Improved\full_ground_truth_improved.csv
Total prediction rows,139
Valid JSON outputs,139
Valid label predictions,139
Ground truth cases,139
Matched cases,139
Evaluated cases,139
Missing predictions,0
Extra predictions,0
Correct,96
Incorrect,43
Accuracy,0.6906
Cohen Kappa,0.0592
Kappa threshold,0.70
Threshold passed,False
GT Executable -> LLM Executable,94
GT Executable -> LLM Non-Executable,0
GT Non-Executable -> LLM Executable,43
GT Non-Executable -> LLM Non-Executable,2
Total input tokens,237680
Total cached input tokens,209536
Total output tokens,7860
Total tokens,245540
Total cost USD,0.02465280
