issue_key,s2r_label,reason,status,model,prompt_version,input_tokens,cached_input_tokens,output_tokens,total_tokens,cost_usd,timestamp,raw_response
MC-298921,Executable,"The report provides a clear action (holding ctrl and pressing G) and describes the observed incorrect behavior (G key not registering), allowing another person to reasonably attempt to reproduce the bug.",valid_json,gpt-4o-mini-2024-07-18,v2,612,0,64,676,0.00013020,2026-07-02T21:30:32,"{
  ""issue_key"": ""MC-298921"",
  ""s2r_label"": ""Executable"",
  ""reason"": ""The report provides a clear action (holding ctrl and pressing G) and describes the observed incorrect behavior (G key not registering), allowing another person to reasonably attempt to reproduce the bug.""
}"
MC-299218,Non-Executable,"The report describes a symptom of the game freezing and the jukebox going silent but does not provide specific actions or conditions that trigger this issue, making it unclear how to reproduce the bug.",valid_json,gpt-4o-mini-2024-07-18,v2,585,0,67,652,0.00012795,2026-07-02T21:30:38,"{
  ""issue_key"": ""MC-299218"",
  ""s2r_label"": ""Non-Executable"",
  ""reason"": ""The report describes a symptom of the game freezing and the jukebox going silent but does not provide specific actions or conditions that trigger this issue, making it unclear how to reproduce the bug.""
}"
MC-299342,Non-Executable,"The report describes a symptom (no audio when playing a music disc) but does not provide clear steps or actions to reproduce the issue, making it non-executable.",valid_json,gpt-4o-mini-2024-07-18,v2,628,0,63,691,0.00013200,2026-07-02T21:30:40,"{
  ""issue_key"": ""MC-299342"",
  ""s2r_label"": ""Non-Executable"",
  ""reason"": ""The report describes a symptom (no audio when playing a music disc) but does not provide clear steps or actions to reproduce the issue, making it non-executable.""
}"
MC-299897,Executable,"The report provides clear steps to reproduce the bug, including specific actions and conditions that trigger the issue, such as holding two Mending items and the observed behavior of XP not increasing.",valid_json,gpt-4o-mini-2024-07-18,v2,932,0,64,996,0.00017820,2026-07-02T21:30:44,"{
  ""issue_key"": ""MC-299897"",
  ""s2r_label"": ""Executable"",
  ""reason"": ""The report provides clear steps to reproduce the bug, including specific actions and conditions that trigger the issue, such as holding two Mending items and the observed behavior of XP not increasing.""
}"
MC-299632,Non-Executable,"The report does not provide any concrete actions or conditions to reproduce the issue, only stating that certain NBT items can't be used normally without specifying how to trigger the problem.",valid_json,gpt-4o-mini-2024-07-18,v2,563,0,64,627,0.00012285,2026-07-02T21:30:47,"{
  ""issue_key"": ""MC-299632"",
  ""s2r_label"": ""Non-Executable"",
  ""reason"": ""The report does not provide any concrete actions or conditions to reproduce the issue, only stating that certain NBT items can't be used normally without specifying how to trigger the problem.""
}"
MC-299909,Non-Executable,"The report describes an error without providing clear steps or actions to reproduce the issue, making it vague and non-executable.",valid_json,gpt-4o-mini-2024-07-18,v2,670,0,54,724,0.00013290,2026-07-02T21:30:50,"{
  ""issue_key"": ""MC-299909"",
  ""s2r_label"": ""Non-Executable"",
  ""reason"": ""The report describes an error without providing clear steps or actions to reproduce the issue, making it vague and non-executable.""
}"
MC-299966,Non-Executable,The report states a symptom (cannot dinnerbone a happy ghast) without providing specific actions or context on how to trigger the issue.,valid_json,gpt-4o-mini-2024-07-18,v2,551,0,57,608,0.00011685,2026-07-02T21:30:52,"{
  ""issue_key"": ""MC-299966"",
  ""s2r_label"": ""Non-Executable"",
  ""reason"": ""The report states a symptom (cannot dinnerbone a happy ghast) without providing specific actions or context on how to trigger the issue.""
}"
MC-300025,Executable,"The report provides clear steps to reproduce the bug, including specific commands and actions that lead to the observed incorrect behavior.",valid_json,gpt-4o-mini-2024-07-18,v2,604,0,51,655,0.00012120,2026-07-02T21:30:55,"{
  ""issue_key"": ""MC-300025"",
  ""s2r_label"": ""Executable"",
  ""reason"": ""The report provides clear steps to reproduce the bug, including specific commands and actions that lead to the observed incorrect behavior.""
}"
MC-300031,Non-Executable,"The report states a symptom (vindicators not spawning) without providing any concrete actions or conditions to reproduce the issue. Additionally, the edit indicates that the bug may not exist, further complicating reproducibility.",valid_json,gpt-4o-mini-2024-07-18,v2,570,0,71,641,0.00012810,2026-07-02T21:30:57,"{
  ""issue_key"": ""MC-300031"",
  ""s2r_label"": ""Non-Executable"",
  ""reason"": ""The report states a symptom (vindicators not spawning) without providing any concrete actions or conditions to reproduce the issue. Additionally, the edit indicates that the bug may not exist, further complicating reproducibility.""
}"
MC-300033,Executable,"The report provides clear steps to reproduce the bug, including specific commands and actions that lead to the observed behavior.",valid_json,gpt-4o-mini-2024-07-18,v2,677,0,50,727,0.00013155,2026-07-02T21:31:00,"{
  ""issue_key"": ""MC-300033"",
  ""s2r_label"": ""Executable"",
  ""reason"": ""The report provides clear steps to reproduce the bug, including specific commands and actions that lead to the observed behavior.""
}"
MC-300107,Executable,"The report provides concrete steps to create Copper Golems and mentions specific items and commands, allowing another person to reasonably attempt to reproduce the bug.",valid_json,gpt-4o-mini-2024-07-18,v2,681,0,57,738,0.00013635,2026-07-02T21:31:06,"{
  ""issue_key"": ""MC-300107"",
  ""s2r_label"": ""Executable"",
  ""reason"": ""The report provides concrete steps to create Copper Golems and mentions specific items and commands, allowing another person to reasonably attempt to reproduce the bug.""
}"
MC-300143,Non-Executable,"The report describes symptoms of the issue but does not provide specific actions or conditions that trigger the behavior, making it unclear how to reproduce the bug.",valid_json,gpt-4o-mini-2024-07-18,v2,605,0,59,664,0.00012615,2026-07-02T21:31:08,"{
  ""issue_key"": ""MC-300143"",
  ""s2r_label"": ""Non-Executable"",
  ""reason"": ""The report describes symptoms of the issue but does not provide specific actions or conditions that trigger the behavior, making it unclear how to reproduce the bug.""
}"
MC-300388,Executable,The report provides clear instructions on how to set up the environment (creating a box filled with water source blocks and placing a spawner with an egg) and describes the expected and observed behavior regarding mob spawning.,valid_json,gpt-4o-mini-2024-07-18,v2,695,0,69,764,0.00014565,2026-07-02T21:31:11,"{
  ""issue_key"": ""MC-300388"",
  ""s2r_label"": ""Executable"",
  ""reason"": ""The report provides clear instructions on how to set up the environment (creating a box filled with water source blocks and placing a spawner with an egg) and describes the expected and observed behavior regarding mob spawning.""
}"
