timestamp,version,phase,row_index,total_rows,issue_key,status,prediction,reason,error_message,model,prompt_version,input_tokens,cached_input_tokens,output_tokens,total_tokens,cost_usd
2026-07-02T21:11:48,raw,pilot,1,26,MC-300962,valid_json,Executable,"The report provides a clear action (swapping items in the inventory) and describes the specific conditions under which the bug occurs, allowing others to reproduce the issue.",,gpt-4o-mini-2024-07-18,v2,652,0,60,712,0.00013380
2026-07-02T21:11:56,raw,pilot,2,26,MC-299218,valid_json,Non-Executable,"The report describes a symptom of the game freezing and the jukebox going silent but does not provide specific actions or conditions that trigger this issue, making it unclear how to reproduce the bug.",,gpt-4o-mini-2024-07-18,v2,585,0,67,652,0.00012795
2026-07-02T21:11:59,raw,pilot,3,26,MC-301018,valid_json,Non-Executable,The report states a symptom without providing any concrete actions or conditions to trigger the issue.,,gpt-4o-mini-2024-07-18,v2,557,0,47,604,0.00011175
2026-07-02T21:12:01,raw,pilot,4,26,MC-300634,valid_json,Non-Executable,"The report describes a lag issue but does not provide specific actions or conditions to reproduce the problem, making it unclear how to trigger the lag.",,gpt-4o-mini-2024-07-18,v2,593,0,58,651,0.00012375
2026-07-02T21:12:03,raw,pilot,5,26,MC-299909,valid_json,Non-Executable,"The report describes a symptom of a failed texture load and an error message but does not provide clear steps or actions to reproduce the issue, making it vague and non-executable.",,gpt-4o-mini-2024-07-18,v2,670,0,65,735,0.00013950
2026-07-02T21:12:06,raw,pilot,6,26,MC-300861,valid_json,Non-Executable,"The report describes a symptom of the issue (infinite blocks) but does not provide specific actions or conditions to reproduce the bug, making it unclear how to trigger the behavior.",,gpt-4o-mini-2024-07-18,v2,561,0,65,626,0.00012315
2026-07-02T21:12:08,raw,pilot,7,26,MC-300776,valid_json,Non-Executable,"The report describes a symptom of the issue without providing specific actions or conditions that trigger the bug, making it unclear how to reproduce the problem.",,gpt-4o-mini-2024-07-18,v2,678,0,58,736,0.00013650
2026-07-02T21:12:11,raw,pilot,8,26,MC-300107,valid_json,Executable,"The report provides clear steps to create the Copper Golems and mentions specific items and commands, allowing another person to reasonably attempt to reproduce the bug.",,gpt-4o-mini-2024-07-18,v2,681,0,58,739,0.00013695
2026-07-02T21:12:13,raw,pilot,9,26,MC-300598,valid_json,Non-Executable,"The report describes a symptom (fire animation on mobs) without providing specific actions or conditions to reproduce the issue, making it unclear how to trigger the bug.",,gpt-4o-mini-2024-07-18,v2,559,0,61,620,0.00012045
2026-07-02T21:12:15,raw,pilot,10,26,MC-300539,valid_json,Executable,"The report provides clear steps to create a world and wait for night, along with a specific condition regarding sleeping, allowing another person to reproduce the bug.",,gpt-4o-mini-2024-07-18,v2,644,0,58,702,0.00013140
2026-07-02T21:12:18,raw,pilot,11,26,MC-301151,valid_json,Non-Executable,"The report describes a symptom of the game freezing but does not provide specific actions or conditions that trigger the issue, making it unclear how to reproduce the bug.",,gpt-4o-mini-2024-07-18,v2,670,0,61,731,0.00013710
2026-07-02T21:12:20,raw,pilot,12,26,MC-300562,valid_json,Non-Executable,"The report describes the behavior of the Ender Dragon and the resulting arrow velocity but does not provide clear, concrete steps or actions that a tester can follow to reproduce the issue. Key information about the setup and specific actions needed to trigger the bug is vague or missing.",,gpt-4o-mini-2024-07-18,v2,856,0,83,939,0.00017820
2026-07-02T21:12:23,raw,pilot,13,26,MC-300836,valid_json,Executable,"The report provides a clear action (going to sleep in the bed) and describes the observed incorrect behavior (bed being occupied) after a specific event (power outage and re-logging), allowing others to reasonably attempt to reproduce the bug.",,gpt-4o-mini-2024-07-18,v2,617,0,75,692,0.00013755
2026-07-02T21:12:25,raw,pilot,14,26,MC-300033,valid_json,Executable,"The report provides clear steps to reproduce the bug, including specific commands and actions that lead to the observed behavior.",,gpt-4o-mini-2024-07-18,v2,677,0,50,727,0.00013155
2026-07-02T21:12:28,raw,pilot,15,26,MC-300774,valid_json,Non-Executable,"The report describes a symptom of the issue (streaming in Discord) but does not provide specific actions or conditions that trigger the problem, making it unclear how to reproduce the bug.",,gpt-4o-mini-2024-07-18,v2,582,0,66,648,0.00012690
2026-07-02T21:12:33,raw,pilot,16,26,MC-300409,valid_json,Executable,"The report provides a concrete action of teleporting piglins to a magma block and waiting for them to die, which can be reasonably followed to reproduce the bug.",,gpt-4o-mini-2024-07-18,v2,625,0,60,685,0.00012975
2026-07-02T21:12:35,raw,pilot,17,26,MC-300891,valid_json,Non-Executable,The report states a symptom without providing concrete actions or conditions to trigger the issue.,,gpt-4o-mini-2024-07-18,v2,567,0,46,613,0.00011265
2026-07-02T21:12:37,raw,pilot,18,26,MC-300737,valid_json,Executable,"The report provides a concrete action to recreate the crash by creating a random string array and using it as keys in a HashMap, along with details about the conditions under which the issue occurs.",,gpt-4o-mini-2024-07-18,v2,817,0,66,883,0.00016215
2026-07-02T21:12:39,raw,pilot,19,26,MC-301132,valid_json,Non-Executable,"The report describes a symptom of not receiving items but does not provide clear steps or actions to reproduce the issue, making it vague and non-executable.",,gpt-4o-mini-2024-07-18,v2,609,0,60,669,0.00012735
2026-07-02T21:12:42,raw,pilot,20,26,MC-300420,valid_json,Non-Executable,The report describes the issue but does not provide clear steps or actions that a user can take to reproduce the bug. It lacks specific instructions on how to trigger the problem.,,gpt-4o-mini-2024-07-18,v2,629,0,64,693,0.00013275
