issue_key,ground_truth,prediction,status,prediction_status,reason,model,prompt_version,cost_usd
MC-298921,Non-Executable,Executable,mismatch,valid_json,"The report provides a clear action (holding ctrl and pressing G) and describes the observed incorrect behavior (G key not registering), allowing another person to reasonably attempt to reproduce the bug.",gpt-4o-mini-2024-07-18,v2,0.00013020
MC-299909,Executable,Non-Executable,mismatch,valid_json,"The report describes an error without providing clear steps or actions to reproduce the issue, making it vague and non-executable.",gpt-4o-mini-2024-07-18,v2,0.00013290
MC-300033,Non-Executable,Executable,mismatch,valid_json,"The report provides clear steps to reproduce the bug, including specific commands and actions that lead to the observed behavior.",gpt-4o-mini-2024-07-18,v2,0.00013155
MC-300388,Non-Executable,Executable,mismatch,valid_json,The report provides clear instructions on how to set up the environment (creating a box filled with water source blocks and placing a spawner with an egg) and describes the expected and observed behavior regarding mob spawning.,gpt-4o-mini-2024-07-18,v2,0.00014565
MC-300408,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and concrete steps to reproduce the bug, including specific actions and observations related to the Copper Golem's behavior.",gpt-4o-mini-2024-07-18,v2,0.00014610
MC-300409,Non-Executable,Executable,mismatch,valid_json,"The report provides a concrete action of teleporting piglins to a magma block and describes the observed behavior of a command block dropping, which allows another person to attempt to reproduce the bug.",gpt-4o-mini-2024-07-18,v2,0.00013275
MC-300420,Executable,Non-Executable,mismatch,valid_json,"The report describes the issue but does not provide clear steps or actions that a user can take to reproduce the bug, making it difficult to understand how to trigger the problem.",gpt-4o-mini-2024-07-18,v2,0.00013275
MC-300526,Executable,Non-Executable,mismatch,valid_json,"The report describes a symptom of fluctuating FPS after unpausing but does not provide specific actions or conditions to reproduce the issue, making it unclear how to trigger the problem.",gpt-4o-mini-2024-07-18,v2,0.00012840
MC-300529,Executable,Non-Executable,mismatch,valid_json,"The report describes a symptom (a line in the middle of the screen) but does not provide specific actions or conditions to reproduce the issue, such as how to trigger the sleep or any relevant setup.",gpt-4o-mini-2024-07-18,v2,0.00012780
MC-300607,Executable,Non-Executable,mismatch,valid_json,"The report describes symptoms and observations but does not provide clear, concrete steps or actions that can be taken to reproduce the issue. Key information about the setup and specific actions to trigger the bug is vague or missing.",gpt-4o-mini-2024-07-18,v2,0.00016455
MC-300614,Executable,Non-Executable,mismatch,valid_json,The report describes the symptom of the bug (food not being consumed) but does not provide specific steps or actions that a user can take to reproduce the issue.,gpt-4o-mini-2024-07-18,v2,0.00012915
MC-300643,Non-Executable,Executable,mismatch,valid_json,"The report provides a specific action (using an AMD rx 7600 xt 16gb or other AMD graphics cards) that triggers the issue, along with details about the observed behavior (game running in the background but no window appears).",gpt-4o-mini-2024-07-18,v2,0.00016980
MC-300649,Non-Executable,Executable,mismatch,valid_json,"The report provides clear steps to create and activate a resource pack with overlays, allowing another person to reasonably attempt to reproduce the bug.",gpt-4o-mini-2024-07-18,v2,0.00012315
MC-300683,Non-Executable,Executable,mismatch,valid_json,"The report specifies the action of clicking on text-bearing blocks within any UI except the inventory, which triggers a game crash, providing enough context to reproduce the issue.",gpt-4o-mini-2024-07-18,v2,0.00012195
MC-300731,Executable,Non-Executable,mismatch,valid_json,"The report describes a symptom of flashing in the main menu but does not provide specific actions or conditions that trigger this behavior, making it impossible to reproduce the issue.",gpt-4o-mini-2024-07-18,v2,0.00013275
MC-300745,Non-Executable,Executable,mismatch,valid_json,"The report provides a concrete action (copper golem at the edge of a long tube beside a platform) that triggers the issue (jumping off the platform), allowing another person to reasonably attempt to reproduce the bug.",gpt-4o-mini-2024-07-18,v2,0.00013110
MC-300761,Executable,Non-Executable,mismatch,valid_json,The report states a symptom (HDR function turning off) without providing specific actions or conditions to reproduce the issue.,gpt-4o-mini-2024-07-18,v2,0.00011505
MC-300774,Executable,Non-Executable,mismatch,valid_json,"The report describes a symptom of the issue (streaming in Discord) but does not provide concrete steps or actions to reproduce the problem, making it unclear how to trigger the bug.",gpt-4o-mini-2024-07-18,v2,0.00012690
MC-300776,Executable,Non-Executable,mismatch,valid_json,"The report describes a symptom of the issue without providing specific actions or conditions that trigger the bug, making it unclear how to reproduce the problem.",gpt-4o-mini-2024-07-18,v2,0.00013650
MC-300778,Non-Executable,Executable,mismatch,valid_json,"The report provides a concrete action ('used /kill to kill an item') and describes the observed incorrect behavior (it did not trigger the calibrated sculk sensor), allowing another person to reasonably attempt to reproduce the bug.",gpt-4o-mini-2024-07-18,v2,0.00013095
MC-300789,Executable,Non-Executable,mismatch,valid_json,"The report states a symptom of floating vines without providing specific actions or conditions to reproduce the issue, making it unclear how to trigger it.",gpt-4o-mini-2024-07-18,v2,0.00011670
MC-300792,Executable,Non-Executable,mismatch,valid_json,The report describes a symptom of the camera shaking but does not provide enough concrete information about the setup or the specific conditions that trigger the issue.,gpt-4o-mini-2024-07-18,v2,0.00011970
MC-300807,Non-Executable,Executable,mismatch,valid_json,"The report provides clear steps to reproduce the issue, including running the data generator and searching for specific block type IDs in the output.",gpt-4o-mini-2024-07-18,v2,0.00014565
