"timestamp","version","phase","row_index","total_rows","issue_key","status","prediction","reason","s2r_reproducibility","s2r_validity","s2r_failure_type","expected_behavior_presence","expected_behavior_quality","observed_behavior_presence","observed_behavior_quality","error_message","model","prompt_version","input_tokens","cached_input_tokens","output_tokens","total_tokens","cost_usd"
"2026-07-10T16:51:52","improved","full","1","139","MC-298921","valid_json","Executable","The steps provide a clear and actionable path to reproduce the issue, requiring only general game knowledge.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","4269","0","206","4475","0.00076395"
"2026-07-10T16:52:08","improved","full","2","139","MC-299218","valid_json","Executable","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary actions and expected observations.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","4137","0","223","4360","0.00075435"
"2026-07-10T16:52:12","improved","full","3","139","MC-299342","valid_json","Non-Executable","The report does not clearly establish the playback state being tested, which is critical for reproducing the audio issue with the jukebox.","Irreproducible","Not Applicable","Missing Information","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","4383","0","225","4608","0.00079245"
"2026-07-10T16:52:18","improved","full","4","139","MC-299897","valid_json","Executable","The steps provide a clear and actionable path to reproduce the bug, detailing the setup, actions, and expected outcomes without requiring additional assumptions.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","5189","0","230","5419","0.00091635"
"2026-07-10T16:52:24","improved","full","5","139","MC-299632","valid_json","Non-Executable","The steps to reproduce lack clarity on the specific conditions under which the NBT tags fail to function, making it difficult to replicate the issue.","Irreproducible","Not Applicable","Missing Information","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","4668","0","243","4911","0.00084600"
"2026-07-10T16:52:28","improved","full","6","139","MC-299909","valid_json","Executable","The steps provide a clear and actionable path to reproduce the issue of failing to load skin textures, aligning with the original intent.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","4567","0","232","4799","0.00082425"
"2026-07-10T16:52:32","improved","full","7","139","MC-299966","valid_json","Executable","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary setup and actions to observe the intended behavior.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","4165","0","238","4403","0.00076755"
"2026-07-10T16:52:36","improved","full","8","139","MC-300025","valid_json","Executable","The steps provide a clear and actionable path to reproduce the intended bug regarding interaction entities.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","4380","0","206","4586","0.00078060"
"2026-07-10T16:52:39","improved","full","9","139","MC-300031","valid_json","Executable","The steps provide a clear and actionable path to reproduce the issue of vindicators not spawning during raids, requiring only general game knowledge.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","4348","0","226","4574","0.00078780"
"2026-07-10T16:52:44","improved","full","10","139","MC-300033","valid_json","Executable","The steps provide a clear and actionable path to reproduce the item duplication issue, requiring only general Minecraft knowledge.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","4576","0","218","4794","0.00081720"
