"BUG-ID","S2R Label","S2R Irrep Category","Reason","OB Category","OB Label","Reason","EB Category","EB Label","Reason"
"MC-300962 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-299218 Improved","Non-Executable","Missing Information","do not tell where to locate the jukebox","Present","Sufficient","","Present","Accurate",""
"MC-301018 Improved","Executable","","","Present","Insufficient","Sufficient but extra misleading information exists with the Bedrock edition.","Present","Accurate",""
"MC-300634 Improved","Non-Executable","Missing Information","Missing how to locate and structure the trapdoor and a staircase.","Present","Sufficient","","Present","Accurate",""
"MC-299909 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300861 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300776 Improved","Executable","","","Present","Sufficient","","Present","Inaccurate","Those are feature requests, not the expected behavior of the game mechanics"
"MC-300107 Improved","Executable","","","Present","Sufficient","","Present","Inaccurate",""
"MC-300598 Improved","Non-Executable","","Survivor mode with default settings does not include commands.","Present","Sufficient","Made an assumption because of the incompleteness. The sentence start with regardless","Present","Accurate",""
"MC-300539 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-301151 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300562 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300836 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300033 Improved","Executable","","very detailed S2R suggest even 1000+ durable item to reproduce","Present","Sufficient","","Present","Accurate",""
"MC-300774 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300409 Improved","Non-Executable","Wrong Information","Magma Does Not Demage Zombified Piglin","Present","Sufficient","","Present","Accurate",""
"MC-300891 Improved","Non-Executable","Missing Information","How to check the block state is missing. Can be understood from OB","Present","Sufficient","","Present","Accurate",""
"MC-300737 Improved","Non-Executable","Missing Information","","Present","Insufficient","can not apply from the game. it is code base","Present","Inaccurate",""
"MC-301132 Improved","Executable","","Due to its position, it is an assumption, but okay otherwise.","Present","Sufficient","","Present","Accurate",""
"MC-300420 Improved","Executable","","Option 1 or 2 is assicoated as hold and toggle","Present","Sufficient","","Present","Accurate",""
"MC-301221 Improved","Non-Executable","Missing Information","The default survivor does not support commands.","Present","Sufficient","","Present","Accurate",""
"MC-300973 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-301125 Improved","Executable","","","Present","Insufficient","Which mode is missing. Y","Present","Accurate","Assuming that the survivor and creative Minecraft is ok. "
"MC-301203 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300031 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-301159 Improved","Non-Executable","Wrong Information"," Also the redstone block is already active.","Present","Sufficient","","Present","Inaccurate","When placed on top of a redstone block, reels are already powered and cannot change position from the t-intersection."
