"issue_key","s2r_label","reason","s2r_reproducibility","s2r_validity","s2r_failure_type","s2r_reason","expected_behavior_presence","expected_behavior_quality","expected_behavior_reason","observed_behavior_presence","observed_behavior_quality","observed_behavior_reason","overall_reason","status","model","prompt_version","seed","system_fingerprint","input_tokens","cached_input_tokens","output_tokens","total_tokens","cost_usd","timestamp","raw_response"
"MC-300962","Executable","The report provides a clear description of the actions taken to reproduce the bug, specifically regarding the swapping of fireworks in the inventory.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the actions taken to reproduce the bug, specifically regarding the swapping of fireworks in the inventory.","Present","Accurate","The expected behavior of being able to swap items in the inventory is clearly stated.","Present","Sufficient","The observed behavior is clearly described, detailing the conditions under which the item swap fails.","The report is actionable and provides enough detail for another evaluator to attempt to reproduce the bug.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2432","0","204","2636","0.00048720","2026-07-11T10:06:45","{
  ""issue_key"": ""MC-300962"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The report provides a clear description of the actions taken to reproduce the bug, specifically regarding the swapping of fireworks in the inventory.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior of being able to swap items in the inventory is clearly stated.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is clearly described, detailing the conditions under which the item swap fails.""
  },
  ""overall_reason"": ""The report is actionable and provides enough detail for another evaluator to attempt to reproduce the bug.""
}"
"MC-299218","Non-Executable","The report does not specify how to trigger the full screen toggle or the state of the game when the issue occurs, making it unclear how to reproduce the bug.","Irreproducible","Not Applicable","Missing Information","The report does not specify how to trigger the full screen toggle or the state of the game when the issue occurs, making it unclear how to reproduce the bug.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be when toggling full screen.","Present","Sufficient","The report describes the game freezing and the jukebox going silent, which provides a clear outcome of the issue.","The report lacks critical details on how to reproduce the bug, specifically the actions leading to the full screen toggle and the game's state during the issue.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2365","0","234","2599","0.00049515","2026-07-11T10:06:55","{
  ""issue_key"": ""MC-299218"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The report does not specify how to trigger the full screen toggle or the state of the game when the issue occurs, making it unclear how to reproduce the bug.""
  },
  ""expected_behavior"": {
    ""presence"": ""Not Present"",
    ""quality"": ""Not Applicable"",
    ""reason"": ""The report does not explicitly state what the expected behavior should be when toggling full screen.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The report describes the game freezing and the jukebox going silent, which provides a clear outcome of the issue.""
  },
  ""overall_reason"": ""The report lacks critical details on how to reproduce the bug, specifically the actions leading to the full screen toggle and the game's state during the issue.""
}"
"MC-301018","Non-Executable","The report does not specify how to trigger the pause action or the context in which the game is paused, making it unclear how to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","The report does not specify how to trigger the pause action or the context in which the game is paused, making it unclear how to reproduce the issue.","Not Present","Not Applicable","There is no explicit expected behavior stated in the report.","Present","Sufficient","The report indicates that the game does not pause as expected, but lacks detail on what the expected behavior should be.","The report lacks critical information on how to reproduce the bug, making it non-executable despite describing an observed behavior.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2337","0","220","2557","0.00048255","2026-07-11T10:06:59","{
  ""issue_key"": ""MC-301018"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The report does not specify how to trigger the pause action or the context in which the game is paused, making it unclear how to reproduce the issue.""
  },
  ""expected_behavior"": {
    ""presence"": ""Not Present"",
    ""quality"": ""Not Applicable"",
    ""reason"": ""There is no explicit expected behavior stated in the report.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The report indicates that the game does not pause as expected, but lacks detail on what the expected behavior should be.""
  },
  ""overall_reason"": ""The report lacks critical information on how to reproduce the bug, making it non-executable despite describing an observed behavior.""
}"
"MC-300634","Non-Executable","The report describes lag or hang but lacks specific details on how to consistently reproduce the issue, such as the exact conditions or actions leading to the lag.","Irreproducible","Not Applicable","Missing Information","The report describes lag or hang but lacks specific details on how to consistently reproduce the issue, such as the exact conditions or actions leading to the lag.","Not Present","Not Applicable","The report does not specify what the expected behavior should be when interacting with trapdoors or stairs.","Present","Sufficient","The report indicates that there is lag or hang when near trapdoors or while climbing stairs, which is clear enough to understand the issue.","The report identifies a performance issue but lacks the necessary details to reproduce it effectively, making it non-executable.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2373","0","231","2604","0.00049455","2026-07-11T10:07:03","{
  ""issue_key"": ""MC-300634"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The report describes lag or hang but lacks specific details on how to consistently reproduce the issue, such as the exact conditions or actions leading to the lag.""
  },
  ""expected_behavior"": {
    ""presence"": ""Not Present"",
    ""quality"": ""Not Applicable"",
    ""reason"": ""The report does not specify what the expected behavior should be when interacting with trapdoors or stairs.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The report indicates that there is lag or hang when near trapdoors or while climbing stairs, which is clear enough to understand the issue.""
  },
  ""overall_reason"": ""The report identifies a performance issue but lacks the necessary details to reproduce it effectively, making it non-executable.""
}"
"MC-299909","Executable","The report provides a clear action of loading a skin and describes the observed error related to texture loading, which allows for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear action of loading a skin and describes the observed error related to texture loading, which allows for an attempt to reproduce the issue.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be when loading a skin.","Present","Sufficient","The report describes a specific error message encountered when attempting to load a skin texture, indicating a failure in the process.","The report is actionable as it describes the steps leading to a specific error, but it lacks a clear expected outcome.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2450","0","222","2672","0.00050070","2026-07-11T10:07:07","{
  ""issue_key"": ""MC-299909"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The report provides a clear action of loading a skin and describes the observed error related to texture loading, which allows for an attempt to reproduce the issue.""
  },
  ""expected_behavior"": {
    ""presence"": ""Not Present"",
    ""quality"": ""Not Applicable"",
    ""reason"": ""The report does not explicitly state what the expected behavior should be when loading a skin.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The report describes a specific error message encountered when attempting to load a skin texture, indicating a failure in the process.""
  },
  ""overall_reason"": ""The report is actionable as it describes the steps leading to a specific error, but it lacks a clear expected outcome.""
}"
"MC-300861","Non-Executable","The report does not specify how to trigger the infinite block behavior, such as the exact conditions or actions needed to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","The report does not specify how to trigger the infinite block behavior, such as the exact conditions or actions needed to reproduce the issue.","Not Present","Not Applicable","There is no explicit expected outcome stated in the report.","Present","Sufficient","The report describes that blocks respawn after destruction and do not fall, which is clear enough to understand the issue.","The report lacks critical details on how to reproduce the bug, making it non-executable despite a clear description of the observed behavior.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2341","0","219","2560","0.00048255","2026-07-11T10:07:10","{
  ""issue_key"": ""MC-300861"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The report does not specify how to trigger the infinite block behavior, such as the exact conditions or actions needed to reproduce the issue.""
  },
  ""expected_behavior"": {
    ""presence"": ""Not Present"",
    ""quality"": ""Not Applicable"",
    ""reason"": ""There is no explicit expected outcome stated in the report.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The report describes that blocks respawn after destruction and do not fall, which is clear enough to understand the issue.""
  },
  ""overall_reason"": ""The report lacks critical details on how to reproduce the bug, making it non-executable despite a clear description of the observed behavior.""
}"
"MC-300776","Executable","The report provides a clear description of the intended bug behavior and the main action (flying downward with fireworks using an elytra), allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the intended bug behavior and the main action (flying downward with fireworks using an elytra), allowing for an attempt to reproduce the issue.","Present","Accurate","The report explicitly states that immediate acceleration should occur when using fireworks while flying downward, which aligns with the mechanics of similar items like Riptide tridents.","Present","Sufficient","The report describes that players do not gain immediate acceleration and must wait for the firework boost to expire, providing a clear understanding of the observed behavior.","The report effectively outlines the bug with sufficient detail to allow for reproduction attempts, while also clearly stating the expected and observed behaviors.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2458","0","250","2708","0.00051870","2026-07-11T10:07:14","{
  ""issue_key"": ""MC-300776"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The report provides a clear description of the intended bug behavior and the main action (flying downward with fireworks using an elytra), allowing for an attempt to reproduce the issue.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The report explicitly states that immediate acceleration should occur when using fireworks while flying downward, which aligns with the mechanics of similar items like Riptide tridents.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The report describes that players do not gain immediate acceleration and must wait for the firework boost to expire, providing a clear understanding of the observed behavior.""
  },
  ""overall_reason"": ""The report effectively outlines the bug with sufficient detail to allow for reproduction attempts, while also clearly stating the expected and observed behaviors.""
}"
"MC-300107","Executable","The report provides a clear method to create Copper Golems and describes the expected and observed behaviors, making it actionable for testing.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear method to create Copper Golems and describes the expected and observed behaviors, making it actionable for testing.","Present","Accurate","The expected behavior of Copper Golems turning into statues is clearly stated and aligns with the intended game mechanics.","Present","Sufficient","The observed behavior is clearly described, indicating that the Golems do not transform as expected.","The report is well-structured with clear reproduction steps, expected outcomes, and observed results, making it actionable for further investigation.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2461","0","220","2681","0.00050115","2026-07-11T10:07:19","{
  ""issue_key"": ""MC-300107"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The report provides a clear method to create Copper Golems and describes the expected and observed behaviors, making it actionable for testing.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior of Copper Golems turning into statues is clearly stated and aligns with the intended game mechanics.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is clearly described, indicating that the Golems do not transform as expected.""
  },
  ""overall_reason"": ""The report is well-structured with clear reproduction steps, expected outcomes, and observed results, making it actionable for further investigation.""
}"
"MC-300598","Non-Executable","The report describes a symptom (fire animation on mobs) but does not provide sufficient details on how to trigger or reproduce the issue.","Irreproducible","Not Applicable","Missing Information","The report describes a symptom (fire animation on mobs) but does not provide sufficient details on how to trigger or reproduce the issue.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be.","Present","Sufficient","The report describes the observed behavior of the fire animation appearing only as a damage animation when a mob is burning in lava.","The report lacks critical details on how to reproduce the bug, making it non-executable despite providing some information about the observed behavior.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2339","0","222","2561","0.00048405","2026-07-11T10:07:23","{
  ""issue_key"": ""MC-300598"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The report describes a symptom (fire animation on mobs) but does not provide sufficient details on how to trigger or reproduce the issue.""
  },
  ""expected_behavior"": {
    ""presence"": ""Not Present"",
    ""quality"": ""Not Applicable"",
    ""reason"": ""The report does not explicitly state what the expected behavior should be.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The report describes the observed behavior of the fire animation appearing only as a damage animation when a mob is burning in lava.""
  },
  ""overall_reason"": ""The report lacks critical details on how to reproduce the bug, making it non-executable despite providing some information about the observed behavior.""
}"
"MC-300539","Executable","The report provides a clear description of how to reproduce the bug by creating a world and waiting for night, which allows for an attempt to replicate the behavior.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of how to reproduce the bug by creating a world and waiting for night, which allows for an attempt to replicate the behavior.","Present","Accurate","The expected behavior is clearly stated, aligning with Minecraft mechanics regarding phantom spawning.","Present","Sufficient","The observed behavior is clearly described, indicating that phantoms spawn on the first night, which is a deviation from the expected behavior.","The report is well-structured, providing clear steps to reproduce the issue, along with accurate expected and observed behaviors.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2424","0","224","2648","0.00049800","2026-07-11T10:07:27","{
  ""issue_key"": ""MC-300539"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The report provides a clear description of how to reproduce the bug by creating a world and waiting for night, which allows for an attempt to replicate the behavior.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly stated, aligning with Minecraft mechanics regarding phantom spawning.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is clearly described, indicating that phantoms spawn on the first night, which is a deviation from the expected behavior.""
  },
  ""overall_reason"": ""The report is well-structured, providing clear steps to reproduce the issue, along with accurate expected and observed behaviors.""
}"
