"Metric","Value"
"Version","raw"
"Phase","pilot"
"Model","gpt-4o-mini-2024-07-18"
"Prompt version","Prompts_Raw_Final_V10_PilotCandidate"
"Prediction file","C:\Users\mayum\Desktop\SWT301\SWT301_SE1925_G6\Results\Raw\pilot_llm_output_raw.csv"
"Ground truth file","C:\Users\mayum\Desktop\SWT301\SWT301_SE1925_G6\Data\Raw\pilot_ground_truth_raw.csv"
"Total prediction rows","26"
"Valid JSON outputs","26"
"Valid label predictions","26"
"Ground truth cases","26"
"Matched cases","26"
"Evaluated cases","26"
"Missing predictions","0"
"Extra predictions","0"
"Invalid labels","0"
"Mismatches","1"
"Correct","25"
"Incorrect","1"
"Accuracy","0.9615"
"Cohen Kappa","0.9202"
"Kappa threshold","0.70"
"Threshold passed","True"
"Kappa band","Good agreement (0.80 <= Kappa < 1.00)"
"Kappa interpretation","Good agreement. Full evaluation may proceed, but review representative sample cases to ensure the guideline and prompt are not overfitted to the pilot set."
"GT Executable -> LLM Executable","10"
"GT Executable -> LLM Non-Executable","0"
"GT Non-Executable -> LLM Executable","1"
"GT Non-Executable -> LLM Non-Executable","15"
"Total input tokens","62628"
"Total cached input tokens","0"
"Total output tokens","5853"
"Total tokens","68481"
"Total cost USD","0.01290600"
