"issue_key","ground_truth","prediction","status","prediction_status","reason","s2r_reproducibility","s2r_validity","s2r_failure_type","s2r_reason","expected_behavior_presence","expected_behavior_quality","expected_behavior_reason","observed_behavior_presence","observed_behavior_quality","observed_behavior_reason","overall_reason","model","prompt_version","cost_usd"
"MC-299342","Non-Executable","Executable","mismatch","valid_json","The report provides enough information about the action (playing the 'lava chicken' music disc on a jukebox) and the observed behavior (no audio despite volume settings being at 100%) to attempt reproduction.","Not Assessed","Not Applicable","Not Applicable","The report provides enough information about the action (playing the 'lava chicken' music disc on a jukebox) and the observed behavior (no audio despite volume settings being at 100%) to attempt reproduction.","Present","Accurate","The expected behavior is clearly stated as the music should play with audio when the disc is used.","Present","Sufficient","The observed behavior is clearly described, indicating that the music plays but without audio.","The report is actionable as it specifies the main action and the observed issue, allowing for an attempt to reproduce the bug.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00041640"
"MC-299909","Executable","Non-Executable","mismatch","valid_json","The report describes a symptom (failed to load skin texture) but lacks specific details on how to trigger the issue, such as the exact steps taken before the error occurs.","Irreproducible","Not Applicable","Missing Information","The report describes a symptom (failed to load skin texture) but lacks specific details on how to trigger the issue, such as the exact steps taken before the error occurs.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be when loading a skin texture.","Present","Sufficient","The report describes the error message received when attempting to load the skin texture, indicating that the issue is recognized.","The report identifies a specific error related to skin texture loading but does not provide enough information on how to reproduce the issue, making it non-executable.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00042810"
"MC-300025","Executable","Non-Executable","mismatch","valid_json","The report does not specify how to trigger the interaction or the context in which it should occur, making it unclear how to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","The report does not specify how to trigger the interaction or the context in which it should occur, making it unclear how to reproduce the issue.","Not Present","Not Applicable","There is no explicit expected behavior stated in the report.","Present","Sufficient","The report indicates that there is no NBT 'interaction' when the command is executed, which describes the observed behavior.","The report lacks critical information on how to trigger the interaction, making it non-executable despite describing the observed behavior.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00040740"
"MC-300033","Non-Executable","Executable","mismatch","valid_json","The report provides a clear sequence of actions to reproduce the item duplication issue using the /item modify command.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear sequence of actions to reproduce the item duplication issue using the /item modify command.","Present","Accurate","The expected behavior is clearly stated as the item not duplicating, which aligns with typical game mechanics.","Present","Sufficient","The observed behavior is clearly described, indicating that the item eventually duplicates, which is a direct result of the steps provided.","The report is well-structured with clear steps, expected behavior, and observed behavior, making it actionable for reproduction attempts.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00041715"
"MC-300143","Non-Executable","Executable","mismatch","valid_json","The report provides enough information about the observed behavior and the context in which it occurs, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides enough information about the observed behavior and the context in which it occurs, allowing for an attempt to reproduce the issue.","Present","Accurate","The expected behavior is clearly implied, as the user expects the debug options to be available when the gamerule is set to false.","Present","Sufficient","The report describes the specific issue of options being greyed out and the failure of certain commands, making the observed behavior clear.","The report is actionable and provides sufficient detail to understand the bug, making it executable despite lacking explicit steps.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00041175"
"MC-300388","Non-Executable","Executable","mismatch","valid_json","The report provides a clear description of the setup and the expected behavior, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the setup and the expected behavior, allowing for an attempt to reproduce the issue.","Present","Accurate","The expected behavior is clearly stated, indicating that certain mobs should spawn in artificial water.","Present","Sufficient","The observed behavior is described in detail, noting which mobs do not spawn in artificial water.","The report is actionable and provides enough detail for reproduction attempts, with clear expected and observed behaviors.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00041265"
"MC-300408","Non-Executable","Executable","mismatch","valid_json","The report provides a clear sequence of actions to reproduce the bug, detailing the setup and commands needed.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear sequence of actions to reproduce the bug, detailing the setup and commands needed.","Present","Accurate","The expected behavior is clearly stated, indicating that the order in the golem's memory should match the order of chest openings.","Present","Sufficient","The observed behavior is clearly described, indicating a mismatch between the expected order and the actual order in the golem's memory.","The report is well-structured with clear steps, expected behavior, and observed behavior, making it actionable for further investigation.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00043230"
"MC-300524","Non-Executable","Executable","mismatch","valid_json","The report provides a clear description of the bug behavior, including the conditions under which hostile mobs do not spawn, making it actionable for testing.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the bug behavior, including the conditions under which hostile mobs do not spawn, making it actionable for testing.","Present","Accurate","The expected behavior of hostile mobs spawning at night is clearly stated and aligns with Minecraft mechanics.","Present","Sufficient","The report describes the observed behavior of hostile mobs not spawning or spawning rarely, providing enough detail to understand the issue.","The report is well-structured and provides sufficient information to understand the bug, making it executable for testing despite lacking specific reproducibility details.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00040935"
"MC-300562","Non-Executable","Executable","mismatch","valid_json","The report provides a clear description of the bug behavior involving the Ender Dragon and arrow velocity, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the bug behavior involving the Ender Dragon and arrow velocity, allowing for an attempt to reproduce the issue.","Present","Accurate","The expected behavior is clearly stated, indicating that arrow velocity should correspond to the actual knockback experienced by the player.","Present","Sufficient","The observed behavior is described in detail, explaining the unusual acceleration of the arrow when the Ender Dragon takes off.","The report effectively outlines the bug, including the expected and observed behaviors, making it actionable for reproduction despite lacking specific reproducibility details.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00045060"
"MC-300572","Non-Executable","Executable","mismatch","valid_json","The report provides a clear description of the intended behavior and the observed behavior, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the intended behavior and the observed behavior, allowing for an attempt to reproduce the issue.","Present","Accurate","The expected behavior of Copper Golems opening chests before moving up is clearly stated.","Present","Sufficient","The observed behavior of Copper Golems moving up before opening chests is clearly described.","The report effectively communicates both the expected and observed behaviors, making it actionable for reproduction attempts.","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","0.00040230"
