"issue_key","s2r_label","reason","s2r_reproducibility","s2r_validity","s2r_failure_type","s2r_reason","expected_behavior_presence","expected_behavior_quality","expected_behavior_reason","observed_behavior_presence","observed_behavior_quality","observed_behavior_reason","overall_reason","status","model","prompt_version","seed","system_fingerprint","input_tokens","cached_input_tokens","output_tokens","total_tokens","cost_usd","timestamp","raw_response"
"MC-300962","Executable","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary actions and expected outcomes based on the original report.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary actions and expected outcomes based on the original report.","Present","Accurate","The expected behavior is clearly defined and aligns with the mechanics of item swapping in Minecraft, stating that items should exchange positions regardless of quantity.","Present","Sufficient","The observed behavior is described in detail, clearly outlining the specific outcomes of the item swapping attempts and the inconsistencies encountered.","The report effectively captures the intended bug with clear steps, expected outcomes, and observed behavior, making it actionable for reproduction.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V18_PilotCandidate","210","fp_4e2e0e5f15","5069","0","230","5299","0.00089835","2026-07-11T10:03:52","{
  ""issue_key"": ""MC-300962"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The steps provide a clear and actionable path to reproduce the bug, detailing the necessary actions and expected outcomes based on the original report.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined and aligns with the mechanics of item swapping in Minecraft, stating that items should exchange positions regardless of quantity.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is described in detail, clearly outlining the specific outcomes of the item swapping attempts and the inconsistencies encountered.""
  },
  ""overall_reason"": ""The report effectively captures the intended bug with clear steps, expected outcomes, and observed behavior, making it actionable for reproduction."" 
}"
"MC-299218","Non-Executable","The report does not specify that audio from the jukebox is already playing before toggling fullscreen, which is critical to assess the audio behavior after the transition.","Irreproducible","Not Applicable","Missing Information","The report does not specify that audio from the jukebox is already playing before toggling fullscreen, which is critical to assess the audio behavior after the transition.","Present","Accurate","The expected behavior clearly states that the game should transition smoothly without freezing and that audio should continue playing, aligning with Minecraft's intended mechanics.","Present","Sufficient","The observed behavior is detailed enough to understand the freeze duration and the resulting silence from the jukebox, providing a clear picture of the issue.","While the expected and observed behaviors are well-defined, the steps to reproduce are non-executable due to missing information about the initial audio state of the jukebox.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V18_PilotCandidate","210","fp_4e2e0e5f15","4678","0","251","4929","0.00085230","2026-07-11T10:04:11","{
  ""issue_key"": ""MC-299218"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The report does not specify that audio from the jukebox is already playing before toggling fullscreen, which is critical to assess the audio behavior after the transition.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior clearly states that the game should transition smoothly without freezing and that audio should continue playing, aligning with Minecraft's intended mechanics.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is detailed enough to understand the freeze duration and the resulting silence from the jukebox, providing a clear picture of the issue.""
  },
  ""overall_reason"": ""While the expected and observed behaviors are well-defined, the steps to reproduce are non-executable due to missing information about the initial audio state of the jukebox."" 
}"
"MC-301018","Executable","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary actions and expected outcomes.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary actions and expected outcomes.","Present","Accurate","The expected behavior is clearly defined and aligns with the intended functionality of the pause feature in Minecraft.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcomes of the bug, including the differences between Java and Bedrock Editions.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a comprehensive and actionable report.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V18_PilotCandidate","210","fp_4e2e0e5f15","4791","0","219","5010","0.00085005","2026-07-11T10:04:16","{
  ""issue_key"": ""MC-301018"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The steps provide a clear and actionable path to reproduce the bug, detailing the necessary actions and expected outcomes.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined and aligns with the intended functionality of the pause feature in Minecraft.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is detailed enough to understand the specific outcomes of the bug, including the differences between Java and Bedrock Editions.""
  },
  ""overall_reason"": ""The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a comprehensive and actionable report.""
}"
"MC-300634","Non-Executable","The steps to reproduce do not specify the scale, density, or specific interactions that lead to the lag, making it unclear how to consistently reproduce the issue.","Irreproducible","Not Applicable","Missing Information","The steps to reproduce do not specify the scale, density, or specific interactions that lead to the lag, making it unclear how to consistently reproduce the issue.","Present","Accurate","The expected behavior clearly describes the desired smooth and continuous movement when interacting with trapdoors and stairs, aligning with Minecraft mechanics.","Present","Sufficient","The observed behavior provides a detailed description of the lag experienced, making it clear what the issue is without requiring assumptions.","While the expected and observed behaviors are well-defined, the steps to reproduce lack critical details necessary for consistent reproduction of the lag issue.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V18_PilotCandidate","210","fp_4e2e0e5f15","4782","0","236","5018","0.00085890","2026-07-11T10:04:25","{
  ""issue_key"": ""MC-300634"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The steps to reproduce do not specify the scale, density, or specific interactions that lead to the lag, making it unclear how to consistently reproduce the issue.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior clearly describes the desired smooth and continuous movement when interacting with trapdoors and stairs, aligning with Minecraft mechanics.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior provides a detailed description of the lag experienced, making it clear what the issue is without requiring assumptions.""
  },
  ""overall_reason"": ""While the expected and observed behaviors are well-defined, the steps to reproduce lack critical details necessary for consistent reproduction of the lag issue.""
}"
"MC-299909","Executable","The steps provide a clear and actionable path to reproduce the issue of failing to load skin textures, including specific actions and expected outcomes.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the issue of failing to load skin textures, including specific actions and expected outcomes.","Present","Accurate","The expected behavior is clearly defined, stating that the skin should load without errors, which aligns with Minecraft's mechanics.","Present","Sufficient","The observed behavior is detailed, clearly describing the error message and the circumstances under which it occurs, allowing for a clear understanding of the issue.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a well-structured and actionable bug report.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V18_PilotCandidate","210","fp_4e2e0e5f15","5108","0","234","5342","0.00090660","2026-07-11T10:04:28","{
  ""issue_key"": ""MC-299909"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The steps provide a clear and actionable path to reproduce the issue of failing to load skin textures, including specific actions and expected outcomes.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined, stating that the skin should load without errors, which aligns with Minecraft's mechanics.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is detailed, clearly describing the error message and the circumstances under which it occurs, allowing for a clear understanding of the issue.""
  },
  ""overall_reason"": ""The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a well-structured and actionable bug report.""
}"
"MC-300861","Executable","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary setup and actions to observe the intended behavior.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary setup and actions to observe the intended behavior.","Present","Accurate","The expected behavior is clearly defined, aligning with Minecraft mechanics regarding block destruction and respawning.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug without requiring assumptions.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a well-structured and clear bug report.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V18_PilotCandidate","210","fp_4e2e0e5f15","4841","0","218","5059","0.00085695","2026-07-11T10:04:32","{
  ""issue_key"": ""MC-300861"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The steps provide a clear and actionable path to reproduce the bug, detailing the necessary setup and actions to observe the intended behavior.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined, aligning with Minecraft mechanics regarding block destruction and respawning.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is detailed enough to understand the specific outcome of the bug without requiring assumptions.""
  },
  ""overall_reason"": ""The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a well-structured and clear bug report.""
}"
"MC-300776","Executable","The steps provide a clear and actionable path to reproduce the intended bug regarding elytra and firework mechanics.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the intended bug regarding elytra and firework mechanics.","Present","Accurate","The expected behavior is clearly defined and aligns with the mechanics of elytra and firework rockets in Minecraft.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug without ambiguity.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a well-structured report.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V18_PilotCandidate","210","fp_4e2e0e5f15","5081","0","215","5296","0.00089115","2026-07-11T10:04:35","{
  ""issue_key"": ""MC-300776"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The steps provide a clear and actionable path to reproduce the intended bug regarding elytra and firework mechanics.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined and aligns with the mechanics of elytra and firework rockets in Minecraft.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is detailed enough to understand the specific outcome of the bug without ambiguity.""
  },
  ""overall_reason"": ""The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a well-structured report.""
}"
"MC-300107","Executable","The steps provide a clear and actionable path to reproduce the intended bug regarding the Copper Golem's transformation.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the intended bug regarding the Copper Golem's transformation.","Present","Accurate","The expected behavior is clearly defined and aligns with the game's mechanics regarding the transformation of Copper Golems.","Present","Sufficient","The observed behavior is detailed enough to understand that the Copper Golems do not transform as expected.","The report provides a clear reproduction path, expected behavior, and observed behavior, all aligned with the original bug intent.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V18_PilotCandidate","210","fp_4e2e0e5f15","5069","0","213","5282","0.00088815","2026-07-11T10:04:40","{
  ""issue_key"": ""MC-300107"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The steps provide a clear and actionable path to reproduce the intended bug regarding the Copper Golem's transformation.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined and aligns with the game's mechanics regarding the transformation of Copper Golems.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is detailed enough to understand that the Copper Golems do not transform as expected.""
  },
  ""overall_reason"": ""The report provides a clear reproduction path, expected behavior, and observed behavior, all aligned with the original bug intent.""
}"
"MC-300598","Non-Executable","The steps require the use of the '/summon' command without enabling cheats in a default Survival world, which is not possible.","Irreproducible","Not Applicable","Wrong Information","The steps require the use of the '/summon' command without enabling cheats in a default Survival world, which is not possible.","Present","Accurate","The expected behavior clearly describes the visual fire animation that should occur when a mob is burning in lava, aligning with Minecraft mechanics.","Present","Sufficient","The observed behavior adequately describes the absence of the fire animation and the confusion it causes, providing a clear understanding of the issue.","While the expected and observed behaviors are well-defined, the steps to reproduce are non-executable due to the incorrect command usage in a default Survival world.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V18_PilotCandidate","210","fp_4e2e0e5f15","4761","0","238","4999","0.00085695","2026-07-11T10:04:44","{
  ""issue_key"": ""MC-300598"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Wrong Information"",
    ""reason"": ""The steps require the use of the '/summon' command without enabling cheats in a default Survival world, which is not possible.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior clearly describes the visual fire animation that should occur when a mob is burning in lava, aligning with Minecraft mechanics.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior adequately describes the absence of the fire animation and the confusion it causes, providing a clear understanding of the issue.""
  },
  ""overall_reason"": ""While the expected and observed behaviors are well-defined, the steps to reproduce are non-executable due to the incorrect command usage in a default Survival world.""
}"
"MC-300539","Executable","The steps provide a clear and actionable path to reproduce the bug, requiring only general Minecraft knowledge.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, requiring only general Minecraft knowledge.","Present","Accurate","The expected behavior is clearly defined and aligns with the game's mechanics regarding phantom spawning.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug without ambiguity.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, all of which align with the original issue intent.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V18_PilotCandidate","210","fp_4e2e0e5f15","4928","0","208","5136","0.00086400","2026-07-11T10:04:48","{
  ""issue_key"": ""MC-300539"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The steps provide a clear and actionable path to reproduce the bug, requiring only general Minecraft knowledge.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined and aligns with the game's mechanics regarding phantom spawning.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is detailed enough to understand the specific outcome of the bug without ambiguity.""
  },
  ""overall_reason"": ""The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, all of which align with the original issue intent.""
}"
