BUG-ID,S2R Label,S2R Irrep Category,Reason,OB Category,OB Label,Reason,EB Category,EB Label,Reason,,
MC-298921 Improved,Executable,,,Present,Sufficient,,Present,Inaccurate,CTRL + G and G are different commands can result in different actions in some cases,,
MC-298921 Raw,Non-Executable,Missing Information,There is a missing step related to menu operations to switching  the g key to trigger different action,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-299218 Improved,Non-Executable,Missing Information,No information for jukebox to work,Present,Sufficient,,Present,Accurate,,,
MC-299218 Raw,Non-Executable,Missing Information,No information for jukebox to work,Present,Sufficient,,Not Present,,No expected result given,,
,,,,,,,,,,,
MC-299342 Improved,Executable,,Good Improvement to reproduce the bug,Present,Sufficient,,Present,Accurate,,,
MC-299342 Raw,Non-Executable,Missing Information,There is a missing step related to spawning a jukebox,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-299897 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-299897 Raw,Executable,,,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-299632 Improved,Non-Executable,Wrong Information,"There is no command in 1.21.7 as'/give @p minecraft:diamond_sword{Enchantments:[{id:""minecraft:sharpness"",lvl:5}]}",Present,Insufficient,"with no information provided, LLM tried to guess the bug, which is a hallucination",Present,Accurate,LLM explained the items user stated in the summary which is a sufficient behavior when no information for the bug provided by user in default,,
MC-299632 Raw,Non-Executable,Missing Information,No Description provided by user,Not Present,,,Not Present,,,,
,,,,,,,,,,,
MC-299909 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-299909 Raw,Executable,,,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-299966 Improved,Executable,,,Present,Insufficient,"LLM gives extra misleading details in OB ""This issue persists regardless of whether the Happy Ghast is equipped with a Harness or not""",Present,Accurate,,,
MC-299966 Raw,Non-Executable,Missing Information,"No steps explained by the user, example of an OB only",Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300025 Improved,Executable,,,Present,Insufficient,LLM gives extra misleading details particulary about UUID not present,Present,Accurate,,,
MC-300025 Raw,Executable,,,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300031 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300031 Raw,Non-Executable,Missing Information,No information related to trigger a raid or other steps,Present,Insufficient,Really weak explanation of the bug causing confusion user says bug does not exists at the end,Not Present,,,,
,,,,,,,,,,,
MC-300033 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300033 Raw,Non-Executable,Missing Information,How do I activate the command block critical miss,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-300107 Improved,Executable,,,Present,Sufficient,,Present,Inaccurate,Creation on an oxidized block gives the golem its final oxidation state immediately—it does not continue oxidizing.,,
MC-300107 Raw,Executable,,,Present,Sufficient,,Present,Inaccurate,Creation on an oxidized block gives the golem its final oxidation state immediately—it does not continue oxidizing.,,
,,,,,,,,,,,
MC-300143 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300143 Raw,Non-Executable,Ambiguous Information,"""Most options in the F3 F5 screen are greyed out""   Most options phrase is an ambiguous step",Present,Insufficient,"""Most options in the F3 F5 screen are greyed out""   Most options phrase is ambiguous not a clear bug statement",Not Present,,,,
,,,,,,,,,,,
MC-300388 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300388 Raw,Non-Executable,Ambiguous Information,Not understandable. Does not include a step-by-step pipeline. Also does not spesify the box sizes.,Present,Insufficient,"Missing Information, too vague about the mobs, which are where. Hard to identify from the full description. The mobs to spawn in the water",Present,Accurate,,,
,,,,,,,,,,,
MC-300395 Improved,Executable,,,Present,Insufficient,"LLM created an extra assumption making the bug harder to understand ""The corruption appears to have affected various block types, including but not limited to, stone, wood, and decorative blocks, causing them to shift unexpectedly.""    those items are not specified in raw version",Present,Accurate,,,
MC-300395 Raw,Non-Executable,Ambiguous Information,phrases like make a big box ,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300396 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300396 Raw,Executable,,,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-300408 Improved,Non-Executable,Ambiguous Information,"Chest positioning is not specified, starting line with combination or separate. Ambiguity exist",Present,Sufficient,,Present,Accurate,,,
MC-300408 Raw,Non-Executable,Ambiguous Information,Items to be put in chest leading ambiguity,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-300409 Improved,Non-Executable,Wrong Information,Magma Does Not Demage Zombified Piglin,Present,Sufficient,,Present,Accurate,,,
MC-300409 Raw,Non-Executable,Wrong Information,Magma Does Not Demage Zombified Piglin,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300420 Improved,Executable,,Option 1 or 2 is assicoated as hold and toggle,Present,Sufficient,,Present,Accurate,,,
MC-300420 Raw,Executable,,,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-300473 Improved,Non-Executable,Wrong Information,Wrong Command /give @p minecraft:item_frame{Invisible:1},Present,Insufficient,Gave extra redundant information in OB,Present,Accurate,,,
MC-300473 Raw,Non-Executable,Missing Information,Lack of Commands,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300497 Improved,Executable,,,Present,Insufficient,"Lots of assumptions made by the LLM, causing bug scope alters",Present,Accurate,,,
MC-300497 Raw,Non-Executable,Ambiguous Information,I cannot play the game?,Present,Insufficient," to weak"" I cannot play the game""",Not Present,,,,
,,,,,,,,,,,
MC-300515 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,Actionable,Valid
MC-300515 Raw,Non-Executable,Missing Information,Missing all core steps to reproduce the bug,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300516 Improved,Executable,,,Present,Sufficient,,Present,Inaccurate,Patrol captains no longer spawn with Ominous Banners on their heads.,,
MC-300516 Raw,Non-Executable,Missing Information,Missing all core steps to reproduce the bug,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300519 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300519 Raw,Non-Executable,Missing Information,Missing all core steps to reproduce the bug,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-300524 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300524 Raw,Non-Executable,Missing Information,Steps to detect changes after chunk loading are missing,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300526 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300526 Raw,Executable,,,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-300527 Improved,Executable,,,Present,Sufficient,,Present,Inaccurate,You can see the moon and sun at specific times or high positions.,,
MC-300527 Raw,Non-Executable,Missing Information,Missing steps to generate cycles,Present,Insufficient,4 phases need to be specified.,Not Present,,,,
,,,,,,,,,,,
MC-300529 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300529 Raw,Executable,,,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300530 Improved,Non-Executable,Missing Information,no s2r,Not Present,,,Not Present,,,,
MC-300530 Raw,Non-Executable,Ambiguous Information,Draggin mouse? it goes away sometimes?,Present,Insufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300535 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300535 Raw,Executable,,,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300539 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300539 Raw,Executable,,,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
