"issue_key","ground_truth","prediction","status","prediction_status","reason","s2r_reproducibility","s2r_validity","s2r_failure_type","s2r_reason","expected_behavior_presence","expected_behavior_quality","expected_behavior_reason","observed_behavior_presence","observed_behavior_quality","observed_behavior_reason","overall_reason","model","prompt_version","cost_usd"
"MC-299218","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary actions and expected observations.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary actions and expected observations.","Present","Accurate","The expected behavior is clearly defined and aligns with the intended smooth transition of fullscreen mode without freezing or audio interruption.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug, including the freeze duration and audio silence.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a well-structured and clear bug report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00075435"
"MC-299342","Executable","Non-Executable","mismatch","valid_json","The report does not clearly establish the playback state being tested, which is critical for reproducing the audio issue with the jukebox.","Irreproducible","Not Applicable","Missing Information","The report does not clearly establish the playback state being tested, which is critical for reproducing the audio issue with the jukebox.","Present","Accurate","The expected behavior is clearly defined as the music disc producing sound when played in the jukebox.","Present","Sufficient","The observed behavior is detailed enough to understand that the jukebox indicates playback but produces no sound.","While the expected and observed behaviors are well-defined, the steps to reproduce are non-executable due to missing critical information about the playback state.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00079245"
"MC-300408","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the intended bug regarding the Copper Golem's memory of checked blocks.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the intended bug regarding the Copper Golem's memory of checked blocks.","Present","Accurate","The expected behavior is clearly defined, stating that the order of chests opened should match the order in the Golem's memory, which aligns with Minecraft's mechanics.","Present","Sufficient","The observed behavior is detailed enough to understand the discrepancy between the expected and actual memory order of the Copper Golem.","The report effectively outlines the steps to reproduce the bug, clearly states the expected behavior, and provides a sufficient description of the observed behavior, making it a well-structured bug report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00087645"
"MC-300473","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary commands and actions to observe the crash.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary commands and actions to observe the crash.","Present","Accurate","The expected behavior is clearly defined, stating that the player should be able to retrieve the invisible item frame without crashing, which aligns with Minecraft mechanics.","Present","Sufficient","The observed behavior is well described, detailing the crash that occurs when interacting with the invisible item frame after updating the game.","The report effectively outlines the steps to reproduce the bug, the expected behavior, and the observed behavior, making it a comprehensive and actionable bug report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00082845"
"MC-300598","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the bug, requiring only general Minecraft knowledge.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, requiring only general Minecraft knowledge.","Present","Accurate","The expected behavior is clearly defined and aligns with Minecraft mechanics regarding burning entities.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug without ambiguity.","The report effectively outlines the steps to reproduce the bug, the expected behavior, and the observed behavior, all of which are clear and aligned with the game's mechanics.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00075960"
"MC-300612","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the bug, requiring only general game knowledge.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, requiring only general game knowledge.","Present","Accurate","The expected behavior is clearly defined and aligns with Minecraft mechanics regarding mob movement.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug without ambiguity.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a comprehensive and actionable report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00078810"
"MC-300620","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the bug, requiring only general Minecraft knowledge.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, requiring only general Minecraft knowledge.","Present","Accurate","The expected behavior is clearly defined and aligns with Minecraft mechanics regarding the OnGround flag.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug without ambiguity.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, all of which are clear and aligned with the original issue intent.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00078480"
"MC-300643","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the issue with the AMD RX 7600 XT graphics card, aligning with the original report's intent.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the issue with the AMD RX 7600 XT graphics card, aligning with the original report's intent.","Present","Accurate","The expected behavior is clearly defined and aligns with the intended functionality of the game when launching with the specified graphics card.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug, indicating that the game does not launch despite appearing to run in the background.","The report effectively captures the issue with sufficient detail in the steps to reproduce, expected behavior, and observed behavior, making it actionable for developers.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00090675"
"MC-300659","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the issue of not being able to download the Minecraft Launcher after purchase.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the issue of not being able to download the Minecraft Launcher after purchase.","Present","Accurate","The expected behavior clearly states that users should be able to download and install the Minecraft Launcher without issues, aligning with the intended game mechanics.","Present","Sufficient","The observed behavior is detailed and describes the specific issues encountered, allowing readers to understand the problem clearly.","The report effectively outlines the steps to reproduce the issue, expected outcomes, and observed behaviors, making it a comprehensive and actionable bug report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00079215"
"MC-300683","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary setup and actions leading to the observed crash.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary setup and actions leading to the observed crash.","Present","Accurate","The expected behavior is clearly defined, stating that the game should allow interaction with text-bearing blocks without crashing, which aligns with Minecraft's mechanics.","Present","Sufficient","The observed behavior is well described, detailing the crash that occurs when interacting with text-bearing blocks while a UI is open, providing enough context to understand the issue.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a comprehensive and actionable bug report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00078030"
