"Metric","Value"
"Version","raw"
"Phase","full"
"Model","gpt-4o-mini-2024-07-18"
"Prompt version","Prompts_Raw_Final_V6_PilotApproved"
"Prediction file","C:\Users\mayum\Desktop\SWT301\SWT301_SE1925_G6\Results\Raw\full_llm_output_raw.csv"
"Ground truth file","C:\Users\mayum\Desktop\SWT301\SWT301_SE1925_G6\Data\Raw\full_ground_truth_raw.csv"
"Total prediction rows","139"
"Valid JSON outputs","139"
"Valid label predictions","139"
"Ground truth cases","139"
"Matched cases","139"
"Evaluated cases","139"
"Missing predictions","0"
"Extra predictions","0"
"Invalid labels","0"
"Mismatches","42"
"Correct","97"
"Incorrect","42"
"Accuracy","0.6978"
"Cohen Kappa","0.3414"
"Kappa threshold","0.70"
"Threshold passed","False"
"Kappa band","Below acceptable threshold (< 0.70)"
"Kappa interpretation","Below the predefined acceptable threshold. Review the annotation guideline, disagreement cases, and pilot labels before running the full evaluation."
"GT Executable -> LLM Executable","27"
"GT Executable -> LLM Non-Executable","13"
"GT Non-Executable -> LLM Executable","29"
"GT Non-Executable -> LLM Non-Executable","70"
"Total input tokens","257554"
"Total cached input tokens","0"
"Total output tokens","30807"
"Total tokens","288361"
"Total cost USD","0.05711730"
