"issue_key","s2r_label","reason","s2r_reproducibility","s2r_validity","s2r_failure_type","s2r_reason","expected_behavior_presence","expected_behavior_quality","expected_behavior_reason","observed_behavior_presence","observed_behavior_quality","observed_behavior_reason","overall_reason","status","model","prompt_version","input_tokens","cached_input_tokens","output_tokens","total_tokens","cost_usd","timestamp","raw_response"
"MC-298921","Executable","The steps provide a clear and actionable path to reproduce the issue, requiring only general game knowledge.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the issue, requiring only general game knowledge.","Present","Accurate","The expected behavior is clearly defined and aligns with Minecraft's mechanics regarding key bindings.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug without ambiguity.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a well-structured report.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","4269","0","206","4475","0.00076395","2026-07-10T16:51:52","{
  ""issue_key"": ""MC-298921"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The steps provide a clear and actionable path to reproduce the issue, requiring only general game knowledge.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined and aligns with Minecraft's mechanics regarding key bindings.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is detailed enough to understand the specific outcome of the bug without ambiguity.""
  },
  ""overall_reason"": ""The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a well-structured report.""
}"
"MC-299218","Executable","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary actions and expected observations.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary actions and expected observations.","Present","Accurate","The expected behavior is clearly defined and aligns with the intended smooth transition of fullscreen mode without freezing or audio interruption.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug, including the freeze duration and audio silence.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a well-structured and clear bug report.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","4137","0","223","4360","0.00075435","2026-07-10T16:52:08","{
  ""issue_key"": ""MC-299218"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The steps provide a clear and actionable path to reproduce the bug, detailing the necessary actions and expected observations.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined and aligns with the intended smooth transition of fullscreen mode without freezing or audio interruption.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is detailed enough to understand the specific outcome of the bug, including the freeze duration and audio silence.""
  },
  ""overall_reason"": ""The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a well-structured and clear bug report.""
}"
"MC-299342","Non-Executable","The report does not clearly establish the playback state being tested, which is critical for reproducing the audio issue with the jukebox.","Irreproducible","Not Applicable","Missing Information","The report does not clearly establish the playback state being tested, which is critical for reproducing the audio issue with the jukebox.","Present","Accurate","The expected behavior is clearly defined as the music disc producing sound when played in the jukebox.","Present","Sufficient","The observed behavior is detailed enough to understand that the jukebox indicates playback but produces no sound.","While the expected and observed behaviors are well-defined, the steps to reproduce are non-executable due to missing critical information about the playback state.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","4383","0","225","4608","0.00079245","2026-07-10T16:52:12","{
  ""issue_key"": ""MC-299342"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The report does not clearly establish the playback state being tested, which is critical for reproducing the audio issue with the jukebox.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined as the music disc producing sound when played in the jukebox.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is detailed enough to understand that the jukebox indicates playback but produces no sound.""
  },
  ""overall_reason"": ""While the expected and observed behaviors are well-defined, the steps to reproduce are non-executable due to missing critical information about the playback state."" 
}"
"MC-299897","Executable","The steps provide a clear and actionable path to reproduce the bug, detailing the setup, actions, and expected outcomes without requiring additional assumptions.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, detailing the setup, actions, and expected outcomes without requiring additional assumptions.","Present","Accurate","The expected behavior is clearly defined and aligns with Minecraft mechanics regarding the Mending enchantment and XP accumulation.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug, explaining how XP collection is affected by the Mending items.","The report effectively captures the bug's reproduction steps, expected behavior, and observed behavior, making it a well-structured and clear report.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","5189","0","230","5419","0.00091635","2026-07-10T16:52:18","{
  ""issue_key"": ""MC-299897"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The steps provide a clear and actionable path to reproduce the bug, detailing the setup, actions, and expected outcomes without requiring additional assumptions.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined and aligns with Minecraft mechanics regarding the Mending enchantment and XP accumulation.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is detailed enough to understand the specific outcome of the bug, explaining how XP collection is affected by the Mending items.""
  },
  ""overall_reason"": ""The report effectively captures the bug's reproduction steps, expected behavior, and observed behavior, making it a well-structured and clear report.""
}"
"MC-299632","Non-Executable","The steps to reproduce lack clarity on the specific conditions under which the NBT tags fail to function, making it difficult to replicate the issue.","Irreproducible","Not Applicable","Missing Information","The steps to reproduce lack clarity on the specific conditions under which the NBT tags fail to function, making it difficult to replicate the issue.","Present","Accurate","The expected behavior is clearly defined, stating that the NBT tags should accurately represent the items equipped by the player.","Present","Sufficient","The observed behavior provides a detailed account of how the NBT tags fail to function as intended, allowing for a clear understanding of the issue.","While the expected and observed behaviors are well-defined, the steps to reproduce are not executable due to missing critical information on the conditions for the NBT tag failures.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","4668","0","243","4911","0.00084600","2026-07-10T16:52:24","{
  ""issue_key"": ""MC-299632"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The steps to reproduce lack clarity on the specific conditions under which the NBT tags fail to function, making it difficult to replicate the issue.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined, stating that the NBT tags should accurately represent the items equipped by the player.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior provides a detailed account of how the NBT tags fail to function as intended, allowing for a clear understanding of the issue.""
  },
  ""overall_reason"": ""While the expected and observed behaviors are well-defined, the steps to reproduce are not executable due to missing critical information on the conditions for the NBT tag failures.""
}"
"MC-299909","Executable","The steps provide a clear and actionable path to reproduce the issue of failing to load skin textures, aligning with the original intent.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the issue of failing to load skin textures, aligning with the original intent.","Present","Accurate","The expected behavior is clearly defined, stating that the skin should load without errors, which aligns with Minecraft's mechanics.","Present","Sufficient","The observed behavior is detailed, explaining the error message and the underlying issue with HTTP connections, allowing for a clear understanding of the problem.","The report effectively captures the issue with skin loading, providing executable steps, a clear expected outcome, and a sufficient description of the observed behavior.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","4567","0","232","4799","0.00082425","2026-07-10T16:52:28","{
  ""issue_key"": ""MC-299909"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The steps provide a clear and actionable path to reproduce the issue of failing to load skin textures, aligning with the original intent.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined, stating that the skin should load without errors, which aligns with Minecraft's mechanics.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is detailed, explaining the error message and the underlying issue with HTTP connections, allowing for a clear understanding of the problem.""
  },
  ""overall_reason"": ""The report effectively captures the issue with skin loading, providing executable steps, a clear expected outcome, and a sufficient description of the observed behavior."" 
}"
"MC-299966","Executable","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary setup and actions to observe the intended behavior.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary setup and actions to observe the intended behavior.","Present","Accurate","The expected behavior is clearly defined, aligning with Minecraft mechanics where naming a mob 'Dinnerbone' should cause it to flip upside down.","Present","Sufficient","The observed behavior is well described, indicating that the Happy Ghast does not flip upside down as expected, providing a clear understanding of the issue.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a well-structured and clear bug report.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","4165","0","238","4403","0.00076755","2026-07-10T16:52:32","{
  ""issue_key"": ""MC-299966"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The steps provide a clear and actionable path to reproduce the bug, detailing the necessary setup and actions to observe the intended behavior.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined, aligning with Minecraft mechanics where naming a mob 'Dinnerbone' should cause it to flip upside down.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is well described, indicating that the Happy Ghast does not flip upside down as expected, providing a clear understanding of the issue.""
  },
  ""overall_reason"": ""The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a well-structured and clear bug report.""
}"
"MC-300025","Executable","The steps provide a clear and actionable path to reproduce the intended bug regarding interaction entities.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the intended bug regarding interaction entities.","Present","Accurate","The expected behavior is clearly defined and aligns with the mechanics of interaction entities in Minecraft.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcomes of the bug without ambiguity.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a well-structured bug report.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","4380","0","206","4586","0.00078060","2026-07-10T16:52:36","{
  ""issue_key"": ""MC-300025"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The steps provide a clear and actionable path to reproduce the intended bug regarding interaction entities.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined and aligns with the mechanics of interaction entities in Minecraft.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is detailed enough to understand the specific outcomes of the bug without ambiguity.""
  },
  ""overall_reason"": ""The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a well-structured bug report.""
}"
"MC-300031","Executable","The steps provide a clear and actionable path to reproduce the issue of vindicators not spawning during raids, requiring only general game knowledge.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the issue of vindicators not spawning during raids, requiring only general game knowledge.","Present","Accurate","The expected behavior is clearly defined, aligning with Minecraft mechanics regarding the spawning of vindicators during raids.","Present","Sufficient","The observed behavior is detailed enough to understand that vindicators are not spawning as expected during raids.","The report effectively outlines the steps to reproduce the issue, the expected behavior, and the observed behavior, all of which align with the original intent of the bug report.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","4348","0","226","4574","0.00078780","2026-07-10T16:52:39","{
  ""issue_key"": ""MC-300031"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The steps provide a clear and actionable path to reproduce the issue of vindicators not spawning during raids, requiring only general game knowledge.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined, aligning with Minecraft mechanics regarding the spawning of vindicators during raids.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is detailed enough to understand that vindicators are not spawning as expected during raids.""
  },
  ""overall_reason"": ""The report effectively outlines the steps to reproduce the issue, the expected behavior, and the observed behavior, all of which align with the original intent of the bug report.""
}"
"MC-300033","Executable","The steps provide a clear and actionable path to reproduce the item duplication issue, requiring only general Minecraft knowledge.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the item duplication issue, requiring only general Minecraft knowledge.","Present","Accurate","The expected behavior is clearly defined and aligns with Minecraft mechanics, stating that the item should not duplicate.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug, describing the duplication of the item.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a well-structured bug report.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","4576","0","218","4794","0.00081720","2026-07-10T16:52:44","{
  ""issue_key"": ""MC-300033"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The steps provide a clear and actionable path to reproduce the item duplication issue, requiring only general Minecraft knowledge.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly defined and aligns with Minecraft mechanics, stating that the item should not duplicate.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is detailed enough to understand the specific outcome of the bug, describing the duplication of the item.""
  },
  ""overall_reason"": ""The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a well-structured bug report.""
}"
