"timestamp","version","phase","row_index","total_rows","issue_key","status","prediction","reason","s2r_reproducibility","s2r_validity","s2r_failure_type","expected_behavior_presence","expected_behavior_quality","observed_behavior_presence","observed_behavior_quality","error_message","model","prompt_version","seed","system_fingerprint","input_tokens","cached_input_tokens","output_tokens","total_tokens","cost_usd"
"2026-07-11T10:06:45","raw","pilot","1","26","MC-300962","valid_json","Executable","The report provides a clear description of the actions taken to reproduce the bug, specifically regarding the swapping of fireworks in the inventory.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2432","0","204","2636","0.00048720"
"2026-07-11T10:06:55","raw","pilot","2","26","MC-299218","valid_json","Non-Executable","The report does not specify how to trigger the full screen toggle or the state of the game when the issue occurs, making it unclear how to reproduce the bug.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2365","0","234","2599","0.00049515"
"2026-07-11T10:06:59","raw","pilot","3","26","MC-301018","valid_json","Non-Executable","The report does not specify how to trigger the pause action or the context in which the game is paused, making it unclear how to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2337","0","220","2557","0.00048255"
"2026-07-11T10:07:03","raw","pilot","4","26","MC-300634","valid_json","Non-Executable","The report describes lag or hang but lacks specific details on how to consistently reproduce the issue, such as the exact conditions or actions leading to the lag.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2373","0","231","2604","0.00049455"
"2026-07-11T10:07:07","raw","pilot","5","26","MC-299909","valid_json","Executable","The report provides a clear action of loading a skin and describes the observed error related to texture loading, which allows for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2450","0","222","2672","0.00050070"
"2026-07-11T10:07:10","raw","pilot","6","26","MC-300861","valid_json","Non-Executable","The report does not specify how to trigger the infinite block behavior, such as the exact conditions or actions needed to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2341","0","219","2560","0.00048255"
"2026-07-11T10:07:14","raw","pilot","7","26","MC-300776","valid_json","Executable","The report provides a clear description of the intended bug behavior and the main action (flying downward with fireworks using an elytra), allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2458","0","250","2708","0.00051870"
"2026-07-11T10:07:19","raw","pilot","8","26","MC-300107","valid_json","Executable","The report provides a clear method to create Copper Golems and describes the expected and observed behaviors, making it actionable for testing.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2461","0","220","2681","0.00050115"
"2026-07-11T10:07:23","raw","pilot","9","26","MC-300598","valid_json","Non-Executable","The report describes a symptom (fire animation on mobs) but does not provide sufficient details on how to trigger or reproduce the issue.","Irreproducible","Not Applicable","Missing Information","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2339","0","222","2561","0.00048405"
"2026-07-11T10:07:27","raw","pilot","10","26","MC-300539","valid_json","Executable","The report provides a clear description of how to reproduce the bug by creating a world and waiting for night, which allows for an attempt to replicate the behavior.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2424","0","224","2648","0.00049800"
"2026-07-11T10:07:30","raw","pilot","11","26","MC-301151","valid_json","Executable","The report provides a clear description of the bug behavior, including the graphical freeze occurring after 20-30 seconds of gameplay, which allows for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","Not Present","Not Applicable","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2450","0","232","2682","0.00050670"
"2026-07-11T10:07:34","raw","pilot","12","26","MC-300562","valid_json","Executable","The report provides a clear description of the bug behavior involving the Ender Dragon and arrow velocity, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2636","0","224","2860","0.00052980"
"2026-07-11T10:07:37","raw","pilot","13","26","MC-300836","valid_json","Executable","The report provides a clear description of the actions taken and the resulting bug behavior, allowing for an attempt to reproduce the issue.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2397","0","218","2615","0.00049035"
"2026-07-11T10:07:40","raw","pilot","14","26","MC-300033","valid_json","Non-Executable","The report does not specify how the repeating command block is activated or configured, which is critical for reproducing the command's effect.","Irreproducible","Not Applicable","Missing Information","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V10_PilotCandidate","210","fp_844ddd95ff","2457","0","216","2673","0.00049815"
