"BUG-ID","S2R Label","S2R Irrep Category","Reason","OB Category","OB Label","Reason","EB Category","EB Label","Reason"
"MC-300962 Raw","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-299218 Raw","Non-Executable","Missing Information","No information for jukebox to work","Present","Sufficient","","Not Present","","No expected result given"
"MC-301018 Raw","Non-Executable","Missing Information","no steps","Present","Insufficient","not a clear description","Not Present","",""
"MC-300634 Raw","Non-Executable","Missing Information","Can not understand from lag aur hang. Wrong typo make it different","Present","Insufficient","Can not understand from lag aur hang. Wrong English can not be understood.","Not Present","",""
"MC-299909 Raw","Executable","","","Present","Sufficient","","Not Present","",""
"MC-300861 Raw","Non-Executable","Missing Information","no steps for piston movements","Present","Sufficient","","Not Present","",""
"MC-300776 Raw","Executable","","","Present","Sufficient","","Present","Inaccurate","Those are feature requests, not the expected behavior of the game mechanics"
"MC-300107 Raw","Executable","","","Present","Sufficient","","Present","Inaccurate","Creation on an oxidized block gives the golem its final oxidation state immediately—it does not continue oxidizing."
"MC-300598 Raw","Non-Executable","Missing Information","Steps are missing","Present","Sufficient","Which type of mob is not specified","Not Present","",""
"MC-300539 Raw","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-301151 Raw","Executable","","","Present","Sufficient","","Not Present","",""
"MC-300562 Raw","Non-Executable","Missing Information","no step for getting the end of the portal","Present","Sufficient","","Present","Accurate",""
"MC-300836 Raw","Executable","","","Present","Sufficient","","Not Present","",""
"MC-300033 Raw","Non-Executable","Missing Information","How do I activate the command block critical miss","Present","Sufficient","","Present","Accurate",""
"MC-300774 Raw","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300409 Raw","Non-Executable","Missing Information","It should include allow commands option on","Present","Sufficient","","Not Present","",""
"MC-300891 Raw","Non-Executable","Missing Information","How do we set the items","Present","Insufficient","Red stone comparative missing. Should be spesified while writing blockstate.","Not Present","",""
"MC-300737 Raw","Executable","","""Create a method that runs every thick"" Assumed in the attached files this have","Present","Sufficient","","Not Present","",""
"MC-301132 Raw","Non-Executable","Missing Information","How to insert items to specific positions","Present","Sufficient","","Not Present","",""
"MC-300420 Raw","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-301221 Raw","Non-Executable","Ambiguous Information","vague phrases like some items, arent correctly rendered etc.","Present","Sufficient","","Present","Accurate",""
"MC-300973 Raw","Non-Executable","Missing Information","how to oxidize not clear","Present","Sufficient","","Not Present","",""
"MC-301125 Raw","Non-Executable","Missing Information","The user provides no steps at all.","Present","Insufficient","The description is extremely vague and confusing. ""I got through and now, I got to buy it"" is nonsensical","Not Present","",""
"MC-301203 Raw","Non-Executable","Missing Information","How change the skin, which type","Present","Sufficient","","Not Present","",""
"MC-300031 Raw","Non-Executable","Missing Information","No information related to trigger a raid or other steps","Present","Insufficient","Really weak explanation of the bug causing confusion user says bug does not exists at the end","Not Present","",""
"MC-301159 Raw","Non-Executable","Missing Information","no steps to reproduce","Present","Insufficient","User only say ""check the video""","Not Present","",""
