"Metric","Value"
"Version","raw"
"Phase","development"
"Model","gpt-4o-mini-2024-07-18"
"Prompt version","Prompts_Raw_Final_V11_DevelopmentTuned"
"Prediction file","C:\Users\mayum\Desktop\SWT301\SWT301_SE1925_G6\Results\Full\Development\Raw\development_llm_output_raw.csv"
"Ground truth file","C:\Users\mayum\Desktop\SWT301\SWT301_SE1925_G6\Data\Full\Development\Raw\development_ground_truth_raw.csv"
"Total prediction rows","75"
"Valid JSON outputs","75"
"Valid label predictions","75"
"Ground truth cases","75"
"Matched cases","75"
"Evaluated cases","75"
"Missing predictions","0"
"Extra predictions","0"
"Invalid labels","0"
"Mismatches","4"
"Correct","71"
"Incorrect","4"
"Accuracy","0.9467"
"Cohen Kappa","0.8678"
"Kappa threshold","0.70"
"Threshold passed","True"
"Kappa band","Good agreement (0.80 <= Kappa < 1.00)"
"Kappa interpretation","Good agreement. The predefined Cohen Kappa threshold has been exceeded."
"GT Executable -> LLM Executable","19"
"GT Executable -> LLM Non-Executable","1"
"GT Non-Executable -> LLM Executable","3"
"GT Non-Executable -> LLM Non-Executable","52"
"Total input tokens","220271"
"Total cached input tokens","2816"
"Total output tokens","16575"
"Total tokens","236846"
"Total cost USD","0.04277445"
