"issue_key","s2r_label","reason","s2r_reproducibility","s2r_validity","s2r_failure_type","s2r_reason","expected_behavior_presence","expected_behavior_quality","expected_behavior_reason","observed_behavior_presence","observed_behavior_quality","observed_behavior_reason","overall_reason","status","model","prompt_version","input_tokens","cached_input_tokens","output_tokens","total_tokens","cost_usd","timestamp","raw_response"
"MC-298921","Non-Executable","The report does not specify the exact context or settings under which the Ctrl + G key combination is being used, making it unclear how to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","The report does not specify the exact context or settings under which the Ctrl + G key combination is being used, making it unclear how to reproduce the issue.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be when pressing Ctrl + G.","Present","Sufficient","The report describes that pressing G while holding Ctrl does not register, which is a clear observed behavior.","The report lacks critical information about the context and settings needed to reproduce the bug, leading to a classification of Non-Executable.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1848","0","227","2075","0.00041340","2026-07-10T16:09:08","{
  ""issue_key"": ""MC-298921"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The report does not specify the exact context or settings under which the Ctrl + G key combination is being used, making it unclear how to reproduce the issue.""
  },
  ""expected_behavior"": {
    ""presence"": ""Not Present"",
    ""quality"": ""Not Applicable"",
    ""reason"": ""The report does not explicitly state what the expected behavior should be when pressing Ctrl + G.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The report describes that pressing G while holding Ctrl does not register, which is a clear observed behavior.""
  },
  ""overall_reason"": ""The report lacks critical information about the context and settings needed to reproduce the bug, leading to a classification of Non-Executable.""
}"
"MC-299218","Non-Executable","The report does not specify how to trigger the full screen toggle or the state of the game before the action, making it unclear how to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","The report does not specify how to trigger the full screen toggle or the state of the game before the action, making it unclear how to reproduce the issue.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be when toggling full screen.","Present","Sufficient","The report describes the game freezing and the jukebox going silent, which provides a clear outcome of the action taken.","The report describes an observable issue but lacks critical details on how to reproduce it, leading to a classification of Non-Executable.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1821","0","230","2051","0.00041115","2026-07-10T16:09:20","{
  ""issue_key"": ""MC-299218"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The report does not specify how to trigger the full screen toggle or the state of the game before the action, making it unclear how to reproduce the issue.""
  },
  ""expected_behavior"": {
    ""presence"": ""Not Present"",
    ""quality"": ""Not Applicable"",
    ""reason"": ""The report does not explicitly state what the expected behavior should be when toggling full screen.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The report describes the game freezing and the jukebox going silent, which provides a clear outcome of the action taken.""
  },
  ""overall_reason"": ""The report describes an observable issue but lacks critical details on how to reproduce it, leading to a classification of Non-Executable.""
}"
"MC-299342","Executable","The report provides enough information about the action (playing the 'lava chicken' music disc on a jukebox) and the observed behavior (no audio despite volume settings being at 100%) to attempt reproduction.","Not Assessed","Not Applicable","Not Applicable","The report provides enough information about the action (playing the 'lava chicken' music disc on a jukebox) and the observed behavior (no audio despite volume settings being at 100%) to attempt reproduction.","Present","Accurate","The expected behavior is clearly stated as the music should play with audio when the disc is used.","Present","Sufficient","The observed behavior is clearly described, indicating that the music plays but without audio.","The report is actionable as it specifies the main action and the observed issue, allowing for an attempt to reproduce the bug.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1864","0","228","2092","0.00041640","2026-07-10T16:09:24","{
  ""issue_key"": ""MC-299342"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The report provides enough information about the action (playing the 'lava chicken' music disc on a jukebox) and the observed behavior (no audio despite volume settings being at 100%) to attempt reproduction.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly stated as the music should play with audio when the disc is used.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is clearly described, indicating that the music plays but without audio.""
  },
  ""overall_reason"": ""The report is actionable as it specifies the main action and the observed issue, allowing for an attempt to reproduce the bug.""
}"
"MC-299897","Executable","The report provides a clear description of the actions needed to reproduce the bug, including the specific items and conditions required.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear description of the actions needed to reproduce the bug, including the specific items and conditions required.","Present","Accurate","The report clearly states that XP should increase when using Mending items, which aligns with Minecraft mechanics.","Present","Sufficient","The report describes the observed behavior of XP not increasing, providing enough detail to understand the issue.","The report is well-structured, providing clear reproduction steps, expected behavior, and observed behavior, making it actionable for further investigation.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","2168","0","216","2384","0.00045480","2026-07-10T16:09:30","{
  ""issue_key"": ""MC-299897"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The report provides a clear description of the actions needed to reproduce the bug, including the specific items and conditions required.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The report clearly states that XP should increase when using Mending items, which aligns with Minecraft mechanics.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The report describes the observed behavior of XP not increasing, providing enough detail to understand the issue.""
  },
  ""overall_reason"": ""The report is well-structured, providing clear reproduction steps, expected behavior, and observed behavior, making it actionable for further investigation.""
}"
"MC-299632","Non-Executable","The report does not provide any specific actions or context to reproduce the issue with NBT 'ArmorItems' and 'HandItems'.","Irreproducible","Not Applicable","Missing Information","The report does not provide any specific actions or context to reproduce the issue with NBT 'ArmorItems' and 'HandItems'.","Not Present","Not Applicable","There is no clear expected behavior stated in the report.","Not Present","Not Applicable","There is no description of what actually happened in relation to the issue.","The report lacks sufficient detail to understand how to reproduce the bug, as well as any expected or observed behaviors.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1799","0","208","2007","0.00039465","2026-07-10T16:09:35","{
  ""issue_key"": ""MC-299632"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The report does not provide any specific actions or context to reproduce the issue with NBT 'ArmorItems' and 'HandItems'.""
  },
  ""expected_behavior"": {
    ""presence"": ""Not Present"",
    ""quality"": ""Not Applicable"",
    ""reason"": ""There is no clear expected behavior stated in the report.""
  },
  ""observed_behavior"": {
    ""presence"": ""Not Present"",
    ""quality"": ""Not Applicable"",
    ""reason"": ""There is no description of what actually happened in relation to the issue.""
  },
  ""overall_reason"": ""The report lacks sufficient detail to understand how to reproduce the bug, as well as any expected or observed behaviors.""
}"
"MC-299909","Non-Executable","The report describes a symptom (failed to load skin texture) but lacks specific details on how to trigger the issue, such as the exact steps taken before the error occurs.","Irreproducible","Not Applicable","Missing Information","The report describes a symptom (failed to load skin texture) but lacks specific details on how to trigger the issue, such as the exact steps taken before the error occurs.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior should be when loading a skin texture.","Present","Sufficient","The report describes the error message received when attempting to load the skin texture, indicating that the issue is recognized.","The report identifies a specific error related to skin texture loading but does not provide enough information on how to reproduce the issue, making it non-executable.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1906","0","237","2143","0.00042810","2026-07-10T16:09:39","{
  ""issue_key"": ""MC-299909"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The report describes a symptom (failed to load skin texture) but lacks specific details on how to trigger the issue, such as the exact steps taken before the error occurs.""
  },
  ""expected_behavior"": {
    ""presence"": ""Not Present"",
    ""quality"": ""Not Applicable"",
    ""reason"": ""The report does not explicitly state what the expected behavior should be when loading a skin texture.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The report describes the error message received when attempting to load the skin texture, indicating that the issue is recognized.""
  },
  ""overall_reason"": ""The report identifies a specific error related to skin texture loading but does not provide enough information on how to reproduce the issue, making it non-executable.""
}"
"MC-299966","Non-Executable","The report does not specify how to trigger the 'dinnerbone' effect on the happy ghast, making it unclear how to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","The report does not specify how to trigger the 'dinnerbone' effect on the happy ghast, making it unclear how to reproduce the issue.","Not Present","Not Applicable","The report does not explicitly state what the expected behavior is when attempting to 'dinnerbone' a happy ghast.","Present","Sufficient","The report describes the observed behavior of not being able to 'dinnerbone' the happy ghast.","The report lacks critical information on how to reproduce the bug, specifically the method to apply the 'dinnerbone' effect, which is essential for an executable report.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1787","0","241","2028","0.00041265","2026-07-10T16:09:44","{
  ""issue_key"": ""MC-299966"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The report does not specify how to trigger the 'dinnerbone' effect on the happy ghast, making it unclear how to reproduce the issue.""
  },
  ""expected_behavior"": {
    ""presence"": ""Not Present"",
    ""quality"": ""Not Applicable"",
    ""reason"": ""The report does not explicitly state what the expected behavior is when attempting to 'dinnerbone' a happy ghast.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The report describes the observed behavior of not being able to 'dinnerbone' the happy ghast.""
  },
  ""overall_reason"": ""The report lacks critical information on how to reproduce the bug, specifically the method to apply the 'dinnerbone' effect, which is essential for an executable report.""
}"
"MC-300025","Non-Executable","The report does not specify how to trigger the interaction or the context in which it should occur, making it unclear how to reproduce the issue.","Irreproducible","Not Applicable","Missing Information","The report does not specify how to trigger the interaction or the context in which it should occur, making it unclear how to reproduce the issue.","Not Present","Not Applicable","There is no explicit expected behavior stated in the report.","Present","Sufficient","The report indicates that there is no NBT 'interaction' when the command is executed, which describes the observed behavior.","The report lacks critical information on how to trigger the interaction, making it non-executable despite describing the observed behavior.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1840","0","219","2059","0.00040740","2026-07-10T16:09:48","{
  ""issue_key"": ""MC-300025"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The report does not specify how to trigger the interaction or the context in which it should occur, making it unclear how to reproduce the issue.""
  },
  ""expected_behavior"": {
    ""presence"": ""Not Present"",
    ""quality"": ""Not Applicable"",
    ""reason"": ""There is no explicit expected behavior stated in the report.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The report indicates that there is no NBT 'interaction' when the command is executed, which describes the observed behavior.""
  },
  ""overall_reason"": ""The report lacks critical information on how to trigger the interaction, making it non-executable despite describing the observed behavior.""
}"
"MC-300031","Non-Executable","The report does not provide specific details on how to trigger the raid or the conditions under which vindicators should spawn.","Irreproducible","Not Applicable","Missing Information","The report does not provide specific details on how to trigger the raid or the conditions under which vindicators should spawn.","Not Present","Not Applicable","There is no clear expected behavior stated in the report.","Present","Sufficient","The report describes that vindicators are not spawning during raids, which is a clear observation.","The report lacks critical information on how to reproduce the issue, making it non-executable despite the presence of an observed behavior.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1806","0","210","2016","0.00039690","2026-07-10T16:09:53","{
  ""issue_key"": ""MC-300031"",
  ""steps_to_reproduce"": {
    ""label"": ""Non-Executable"",
    ""reproducibility"": ""Irreproducible"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Missing Information"",
    ""reason"": ""The report does not provide specific details on how to trigger the raid or the conditions under which vindicators should spawn.""
  },
  ""expected_behavior"": {
    ""presence"": ""Not Present"",
    ""quality"": ""Not Applicable"",
    ""reason"": ""There is no clear expected behavior stated in the report.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The report describes that vindicators are not spawning during raids, which is a clear observation.""
  },
  ""overall_reason"": ""The report lacks critical information on how to reproduce the issue, making it non-executable despite the presence of an observed behavior.""
}"
"MC-300033","Executable","The report provides a clear sequence of actions to reproduce the item duplication issue using the /item modify command.","Not Assessed","Not Applicable","Not Applicable","The report provides a clear sequence of actions to reproduce the item duplication issue using the /item modify command.","Present","Accurate","The expected behavior is clearly stated as the item not duplicating, which aligns with typical game mechanics.","Present","Sufficient","The observed behavior is clearly described, indicating that the item eventually duplicates, which is a direct result of the steps provided.","The report is well-structured with clear steps, expected behavior, and observed behavior, making it actionable for reproduction attempts.","valid_json","gpt-4o-mini-2024-07-18","Prompts_Raw_Final_V6_PilotApproved","1913","0","217","2130","0.00041715","2026-07-10T16:09:57","{
  ""issue_key"": ""MC-300033"",
  ""steps_to_reproduce"": {
    ""label"": ""Executable"",
    ""reproducibility"": ""Not Assessed"",
    ""validity"": ""Not Applicable"",
    ""failure_type"": ""Not Applicable"",
    ""reason"": ""The report provides a clear sequence of actions to reproduce the item duplication issue using the /item modify command.""
  },
  ""expected_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Accurate"",
    ""reason"": ""The expected behavior is clearly stated as the item not duplicating, which aligns with typical game mechanics.""
  },
  ""observed_behavior"": {
    ""presence"": ""Present"",
    ""quality"": ""Sufficient"",
    ""reason"": ""The observed behavior is clearly described, indicating that the item eventually duplicates, which is a direct result of the steps provided.""
  },
  ""overall_reason"": ""The report is well-structured with clear steps, expected behavior, and observed behavior, making it actionable for reproduction attempts.""
}"
