"Metric","Value"
"Version","improved"
"Phase","full"
"Model","gpt-4o-mini-2024-07-18"
"Prompt version","Prompts_Improved_Final_V16_PilotApproved"
"Prediction file","C:\Users\mayum\Desktop\SWT301\SWT301_SE1925_G6\Results\Improved\full_llm_output_improved.csv"
"Ground truth file","C:\Users\mayum\Desktop\SWT301\SWT301_SE1925_G6\Data\Improved\full_ground_truth_improved.csv"
"Total prediction rows","139"
"Valid JSON outputs","139"
"Valid label predictions","139"
"Ground truth cases","139"
"Matched cases","139"
"Evaluated cases","139"
"Missing predictions","0"
"Extra predictions","0"
"Invalid labels","0"
"Mismatches","37"
"Correct","102"
"Incorrect","37"
"Accuracy","0.7338"
"Cohen Kappa","0.2590"
"Kappa threshold","0.70"
"Threshold passed","False"
"Kappa band","Below acceptable threshold (< 0.70)"
"Kappa interpretation","Below the predefined acceptable threshold. Review the annotation guideline, disagreement cases, and pilot labels before running the full evaluation."
"GT Executable -> LLM Executable","91"
"GT Executable -> LLM Non-Executable","3"
"GT Non-Executable -> LLM Executable","34"
"GT Non-Executable -> LLM Non-Executable","11"
"Total input tokens","614907"
"Total cached input tokens","0"
"Total output tokens","30980"
"Total tokens","645887"
"Total cost USD","0.11082405"
