"timestamp","version","phase","row_index","total_rows","issue_key","status","prediction","reason","s2r_reproducibility","s2r_validity","s2r_failure_type","expected_behavior_presence","expected_behavior_quality","observed_behavior_presence","observed_behavior_quality","error_message","model","prompt_version","seed","system_fingerprint","input_tokens","cached_input_tokens","output_tokens","total_tokens","cost_usd"
"2026-07-11T10:03:52","improved","pilot","1","26","MC-300962","valid_json","Executable","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary actions and expected outcomes based on the original report.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V18_PilotCandidate","210","fp_4e2e0e5f15","5069","0","230","5299","0.00089835"
"2026-07-11T10:04:11","improved","pilot","2","26","MC-299218","valid_json","Non-Executable","The report does not specify that audio from the jukebox is already playing before toggling fullscreen, which is critical to assess the audio behavior after the transition.","Irreproducible","Not Applicable","Missing Information","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V18_PilotCandidate","210","fp_4e2e0e5f15","4678","0","251","4929","0.00085230"
"2026-07-11T10:04:16","improved","pilot","3","26","MC-301018","valid_json","Executable","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary actions and expected outcomes.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V18_PilotCandidate","210","fp_4e2e0e5f15","4791","0","219","5010","0.00085005"
"2026-07-11T10:04:25","improved","pilot","4","26","MC-300634","valid_json","Non-Executable","The steps to reproduce do not specify the scale, density, or specific interactions that lead to the lag, making it unclear how to consistently reproduce the issue.","Irreproducible","Not Applicable","Missing Information","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V18_PilotCandidate","210","fp_4e2e0e5f15","4782","0","236","5018","0.00085890"
"2026-07-11T10:04:28","improved","pilot","5","26","MC-299909","valid_json","Executable","The steps provide a clear and actionable path to reproduce the issue of failing to load skin textures, including specific actions and expected outcomes.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V18_PilotCandidate","210","fp_4e2e0e5f15","5108","0","234","5342","0.00090660"
"2026-07-11T10:04:32","improved","pilot","6","26","MC-300861","valid_json","Executable","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary setup and actions to observe the intended behavior.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V18_PilotCandidate","210","fp_4e2e0e5f15","4841","0","218","5059","0.00085695"
"2026-07-11T10:04:35","improved","pilot","7","26","MC-300776","valid_json","Executable","The steps provide a clear and actionable path to reproduce the intended bug regarding elytra and firework mechanics.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V18_PilotCandidate","210","fp_4e2e0e5f15","5081","0","215","5296","0.00089115"
"2026-07-11T10:04:40","improved","pilot","8","26","MC-300107","valid_json","Executable","The steps provide a clear and actionable path to reproduce the intended bug regarding the Copper Golem's transformation.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V18_PilotCandidate","210","fp_4e2e0e5f15","5069","0","213","5282","0.00088815"
"2026-07-11T10:04:44","improved","pilot","9","26","MC-300598","valid_json","Non-Executable","The steps require the use of the '/summon' command without enabling cheats in a default Survival world, which is not possible.","Irreproducible","Not Applicable","Wrong Information","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V18_PilotCandidate","210","fp_4e2e0e5f15","4761","0","238","4999","0.00085695"
"2026-07-11T10:04:48","improved","pilot","10","26","MC-300539","valid_json","Executable","The steps provide a clear and actionable path to reproduce the bug, requiring only general Minecraft knowledge.","Not Assessed","Not Applicable","Not Applicable","Present","Accurate","Present","Sufficient","","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V18_PilotCandidate","210","fp_4e2e0e5f15","4928","0","208","5136","0.00086400"
