"Metric","Raw","Improved","Difference Improved - Raw"
"Version","raw","improved",""
"Phase","development","development",""
"Model","gpt-4o-mini-2024-07-18","gpt-4o-mini-2024-07-18",""
"Prompt version","Prompts_Raw_Final_V11_DevelopmentTuned","Prompts_Improved_Final_V19_DevelopmentTuned",""
"Total prediction rows","75","75","0"
"Valid JSON outputs","75","75","0"
"Valid label predictions","75","75","0"
"Ground truth cases","75","75","0"
"Matched cases","75","75","0"
"Evaluated cases","75","75","0"
"Missing predictions","0","0","0"
"Extra predictions","0","0","0"
"Invalid labels","0","0","0"
"Mismatches","4","9","5"
"Correct","71","66","-5"
"Incorrect","4","9","5"
"Accuracy","0.9467","0.8800","-0.0667"
"Cohen Kappa","0.8678","0.7216","-0.1462"
"Kappa threshold","0.70","0.70","0.0000"
"Threshold passed","True","True",""
"GT Executable -> LLM Executable","19","47","28"
"GT Executable -> LLM Non-Executable","1","3","2"
"GT Non-Executable -> LLM Executable","3","6","3"
"GT Non-Executable -> LLM Non-Executable","52","19","-33"
"Total input tokens","220271","418338","198067"
"Total cached input tokens","2816","5376","2560"
"Total output tokens","16575","17210","635"
"Total tokens","236846","435548","198702"
"Total cost USD","0.04277445","0.07267350","0.02989905"

"Interpretation","Value","Note"
"Accuracy change","-0.0667","Improved accuracy minus Raw accuracy"
"Cohen Kappa change","-0.1462","Improved Cohen Kappa minus Raw Cohen Kappa"
"Mismatch change","5","Improved mismatches minus Raw mismatches"
"Invalid label change","0","Improved invalid labels minus Raw invalid labels"
"Cost change USD","0.02989905","Improved cost minus Raw cost"
"Conclusion","Improved reached the target Cohen Kappa threshold.","Threshold: Cohen Kappa >= 0.70"
