timestamp,version,phase,row_index,total_rows,issue_key,status,prediction,reason,error_message,model,prompt_version,input_tokens,cached_input_tokens,output_tokens,total_tokens,cost_usd
2026-07-02T21:30:32,raw,full,1,139,MC-298921,valid_json,Executable,"The report provides a clear action (holding ctrl and pressing G) and describes the observed incorrect behavior (G key not registering), allowing another person to reasonably attempt to reproduce the bug.",,gpt-4o-mini-2024-07-18,v2,612,0,64,676,0.00013020
2026-07-02T21:30:38,raw,full,2,139,MC-299218,valid_json,Non-Executable,"The report describes a symptom of the game freezing and the jukebox going silent but does not provide specific actions or conditions that trigger this issue, making it unclear how to reproduce the bug.",,gpt-4o-mini-2024-07-18,v2,585,0,67,652,0.00012795
2026-07-02T21:30:40,raw,full,3,139,MC-299342,valid_json,Non-Executable,"The report describes a symptom (no audio when playing a music disc) but does not provide clear steps or actions to reproduce the issue, making it non-executable.",,gpt-4o-mini-2024-07-18,v2,628,0,63,691,0.00013200
2026-07-02T21:30:44,raw,full,4,139,MC-299897,valid_json,Executable,"The report provides clear steps to reproduce the bug, including specific actions and conditions that trigger the issue, such as holding two Mending items and the observed behavior of XP not increasing.",,gpt-4o-mini-2024-07-18,v2,932,0,64,996,0.00017820
2026-07-02T21:30:47,raw,full,5,139,MC-299632,valid_json,Non-Executable,"The report does not provide any concrete actions or conditions to reproduce the issue, only stating that certain NBT items can't be used normally without specifying how to trigger the problem.",,gpt-4o-mini-2024-07-18,v2,563,0,64,627,0.00012285
2026-07-02T21:30:50,raw,full,6,139,MC-299909,valid_json,Non-Executable,"The report describes an error without providing clear steps or actions to reproduce the issue, making it vague and non-executable.",,gpt-4o-mini-2024-07-18,v2,670,0,54,724,0.00013290
2026-07-02T21:30:52,raw,full,7,139,MC-299966,valid_json,Non-Executable,The report states a symptom (cannot dinnerbone a happy ghast) without providing specific actions or context on how to trigger the issue.,,gpt-4o-mini-2024-07-18,v2,551,0,57,608,0.00011685
2026-07-02T21:30:55,raw,full,8,139,MC-300025,valid_json,Executable,"The report provides clear steps to reproduce the bug, including specific commands and actions that lead to the observed incorrect behavior.",,gpt-4o-mini-2024-07-18,v2,604,0,51,655,0.00012120
2026-07-02T21:30:57,raw,full,9,139,MC-300031,valid_json,Non-Executable,"The report states a symptom (vindicators not spawning) without providing any concrete actions or conditions to reproduce the issue. Additionally, the edit indicates that the bug may not exist, further complicating reproducibility.",,gpt-4o-mini-2024-07-18,v2,570,0,71,641,0.00012810
2026-07-02T21:31:00,raw,full,10,139,MC-300033,valid_json,Executable,"The report provides clear steps to reproduce the bug, including specific commands and actions that lead to the observed behavior.",,gpt-4o-mini-2024-07-18,v2,677,0,50,727,0.00013155
2026-07-02T21:31:06,raw,full,11,139,MC-300107,valid_json,Executable,"The report provides concrete steps to create Copper Golems and mentions specific items and commands, allowing another person to reasonably attempt to reproduce the bug.",,gpt-4o-mini-2024-07-18,v2,681,0,57,738,0.00013635
2026-07-02T21:31:08,raw,full,12,139,MC-300143,valid_json,Non-Executable,"The report describes symptoms of the issue but does not provide specific actions or conditions that trigger the behavior, making it unclear how to reproduce the bug.",,gpt-4o-mini-2024-07-18,v2,605,0,59,664,0.00012615
2026-07-02T21:31:11,raw,full,13,139,MC-300388,valid_json,Executable,The report provides clear instructions on how to set up the environment (creating a box filled with water source blocks and placing a spawner with an egg) and describes the expected and observed behavior regarding mob spawning.,,gpt-4o-mini-2024-07-18,v2,695,0,69,764,0.00014565
2026-07-02T21:31:13,raw,full,14,139,MC-300395,valid_json,Non-Executable,"The report describes a symptom of corrupted blocks without providing specific actions or conditions that trigger the issue, making it impossible for another person to reproduce the bug.",,gpt-4o-mini-2024-07-18,v2,630,0,60,690,0.00013050
2026-07-02T21:31:15,raw,full,15,139,MC-300396,valid_json,Executable,"The report provides clear steps to reproduce the bug, including creating a world, applying a status effect, pausing the game, and checking the effect after unpausing.",,gpt-4o-mini-2024-07-18,v2,651,0,62,713,0.00013485
2026-07-02T21:31:18,raw,full,16,139,MC-300408,valid_json,Executable,"The report provides clear and concrete steps to reproduce the bug, including specific actions and observations related to the Copper Golem's behavior.",,gpt-4o-mini-2024-07-18,v2,758,0,54,812,0.00014610
2026-07-02T21:31:20,raw,full,17,139,MC-300409,valid_json,Executable,"The report provides a concrete action of teleporting piglins to a magma block and describes the observed behavior of a command block dropping, which allows another person to attempt to reproduce the bug.",,gpt-4o-mini-2024-07-18,v2,625,0,65,690,0.00013275
2026-07-02T21:31:22,raw,full,18,139,MC-300420,valid_json,Non-Executable,"The report describes the issue but does not provide clear steps or actions that a user can take to reproduce the bug, making it difficult to understand how to trigger the problem.",,gpt-4o-mini-2024-07-18,v2,629,0,64,693,0.00013275
2026-07-02T21:31:25,raw,full,19,139,MC-300473,valid_json,Non-Executable,"The report describes a crash when interacting with an invisible item frame after an update but does not provide clear steps or commands to reproduce the issue, making it vague and lacking concrete actions.",,gpt-4o-mini-2024-07-18,v2,655,0,66,721,0.00013785
2026-07-02T21:31:27,raw,full,20,139,MC-300497,valid_json,Non-Executable,"The report states a symptom (cannot play the game) without providing specific actions, setup, or conditions that trigger the issue.",,gpt-4o-mini-2024-07-18,v2,566,0,55,621,0.00011790
2026-07-02T21:31:29,raw,full,21,139,MC-300515,valid_json,Non-Executable,The report states a symptom (endermans making sounds of teleporting in boats) without providing specific actions or conditions to reproduce the issue.,,gpt-4o-mini-2024-07-18,v2,558,0,58,616,0.00011850
2026-07-02T21:31:31,raw,full,22,139,MC-300516,valid_json,Non-Executable,The report states a symptom (no banner pillager is present) without providing specific actions or conditions to reproduce the issue.,,gpt-4o-mini-2024-07-18,v2,553,0,54,607,0.00011535
